
[00:00:00.000 --> 00:00:03.980]  這個題目叫《衆志成城爲救主》
[00:00:03.980 --> 00:00:05.180]  其實不是很貼切
[00:00:05.180 --> 00:00:06.020]  一會兒我解釋
[00:00:06.020 --> 00:00:08.960]  不是貼切的當中有多貼切的一個主題
[00:00:08.960 --> 00:00:10.820]  我先要回應
[00:00:10.820 --> 00:00:13.620]  現在在香港、臺灣
[00:00:13.620 --> 00:00:16.420]  其實主流是來自臺灣的
[00:00:16.420 --> 00:00:18.800]  牧者的教導的教會
[00:00:18.800 --> 00:00:20.960]  就提倡不慶祝聖誕節
[00:00:20.960 --> 00:00:21.920]  其實30年前
[00:00:21.920 --> 00:00:24.380]  我教我希臘文的老師
[00:00:24.380 --> 00:00:26.100]  他本身都不慶祝聖誕節
[00:00:26.100 --> 00:00:29.380]  他是清教徒那邊的訓練過來的
[00:00:29.380 --> 00:00:30.720]  但是他個人不慶祝
[00:00:30.720 --> 00:00:33.700]  但是他並沒有反對教會慶祝
[00:00:33.700 --> 00:00:38.060]  但是現在是教會提倡不慶祝聖誕節
[00:00:38.060 --> 00:00:42.360]  與此同時也提倡不慶祝聖誕節的教會
[00:00:42.360 --> 00:00:44.100]  這些都是來自臺灣的教導
[00:00:44.100 --> 00:00:44.900]  很奇怪
[00:00:44.900 --> 00:00:47.100]  我對臺灣人沒有偏見
[00:00:47.100 --> 00:00:50.360]  一月份我們都是一幫臺灣團隊的人來
[00:00:50.360 --> 00:00:54.420]  臺灣整個社會2300萬人
[00:00:54.420 --> 00:01:00.140]  包括基督教是傾向迷信的市場
[00:01:00.140 --> 00:01:02.620]  是非常之緊要
[00:01:02.620 --> 00:01:04.180]  只要你提倡迷信
[00:01:04.180 --> 00:01:05.980]  人就湧進來
[00:01:05.980 --> 00:01:08.580]  不慶祝聖誕節
[00:01:08.580 --> 00:01:12.220]  然後教會就提倡慶祝
[00:01:12.220 --> 00:01:16.620]  祝盤節、五旬節、如月節
[00:01:16.620 --> 00:01:17.620]  我覺得很奇怪
[00:01:17.620 --> 00:01:19.340]  我必須要先回應
[00:01:19.340 --> 00:01:21.340]  今天先要回應
[00:01:21.340 --> 00:01:27.420]  第一,如果教會的弟兄姊妹舉辦一些如月節晚餐
[00:01:27.420 --> 00:01:28.940]  去經驗一下
[00:01:28.940 --> 00:01:29.780]  我覺得沒有問題
[00:01:29.780 --> 00:01:31.420]  這個我絕不反對
[00:01:31.420 --> 00:01:34.340]  但是將如月節變成了我們要守的如月節
