
[00:00:00.000 --> 00:00:02.000]  各位 午安
[00:00:02.000 --> 00:00:06.360]  幼稚園仔呢 呢排就錦高峰期放曬架啦 吼
[00:00:06.360 --> 00:00:08.860]  咁大家呢 都真係保重身體啦
[00:00:08.860 --> 00:00:11.160]  一齊可以有健康嘅身體 或者呢
[00:00:11.160 --> 00:00:13.440]  一齊有生命氣息 一齊去敬拜上主
[00:00:13.440 --> 00:00:15.160]  其實真係唔係理所當然
[00:00:15.160 --> 00:00:16.260]  係上主嘅恩典
[00:00:16.260 --> 00:00:19.260]  我哋先有童心嘅禱告
[00:00:19.260 --> 00:00:23.200]  創天造地嘅主 我哋善立 向你跟前
[00:00:23.200 --> 00:00:24.720]  多謝你去
[00:00:24.720 --> 00:00:28.200]  著著聖經去啟示 你嘅心意
[00:00:28.200 --> 00:00:30.000]  打開你嘅話語
[00:00:30.000 --> 00:00:34.000]  成為我哋生命嘅藍圖 生命嘅指引
[00:00:34.000 --> 00:00:36.000]  求使您喺當中親自嘅說話
[00:00:36.000 --> 00:00:39.700]  以至無論講嘅 聽嘅 一同去蒙福
[00:00:39.700 --> 00:00:42.800]  聽我嘅禱告 奉靠我救主 耶穌基督
[00:00:42.800 --> 00:00:46.200]  寶貴嘅聖名 童心去求 阿們
[00:00:46.200 --> 00:00:48.600]  人呢 常常好鍾意呢 互相去比較
[00:00:48.600 --> 00:00:50.400]  咁食一飯 食晏晝飯呢
[00:00:50.400 --> 00:00:52.800]  咁呀 我冇心聽隔離枱嘅人講乜
[00:00:52.800 --> 00:00:55.100]  咁你坐喺隔離 你梗係會聽到㗎啦
[00:00:55.100 --> 00:00:57.900]  咁三個人 爸爸媽媽同個女
[00:00:57.900 --> 00:00:59.300]  咩大概內容係咁啦
[00:00:59.300 --> 00:01:00.900]  咁呢 媽媽就話啦
[00:01:00.900 --> 00:01:02.300]  哎 搭少咗個站
[00:01:02.300 --> 00:01:05.200]  由嗰度行到嚟呢度呢 咁遠路呢
[00:01:05.200 --> 00:01:09.300]  哇 隻腳好痛 喘晒氣 好辛苦
[00:01:09.300 --> 00:01:12.400]  如果你係丈夫聽到呢番說話 你點回應呀
[00:01:12.400 --> 00:01:15.500]  睇睇話 搭少個站行到嚟
[00:01:15.500 --> 00:01:17.100]  腳都痛 喘晒氣 好辛苦
[00:01:17.100 --> 00:01:19.300]  你丈夫你點回應呀
[00:01:19.300 --> 00:01:21.800]  下次搭車 搭巴士 搭的士囉
[00:01:21.800 --> 00:01:24.500]  自駕的士 司機嚟嘅 弟兄係
[00:01:24.500 --> 00:01:26.400]  丈夫呢 咁樣講喎
[00:01:26.400 --> 00:01:30.200]  你水皮咋嘛
[00:01:30.200 --> 00:01:31.200]  你試下啦
[00:01:31.200 --> 00:01:35.000]  即係如果我呢 同我個女一陣間呢 搭少個站
