
[00:00:00.000 --> 00:00:02.780]  那麼今天的講題呢
[00:00:02.780 --> 00:00:07.140]  正式是《約翰福音神蹟》一
[00:00:07.140 --> 00:00:09.380]  那麼就
[00:00:09.380 --> 00:00:11.340]  有些隱喻就是
[00:00:11.340 --> 00:00:13.800]  還有二三四五六這樣子
[00:00:13.800 --> 00:00:15.180]  可以一直講下去
[00:00:15.180 --> 00:00:18.000]  那麼《約翰福音神蹟》一
[00:00:18.000 --> 00:00:21.440]  那麼大家如果信了主一段時間
[00:00:21.440 --> 00:00:22.800]  看過《聖經》
[00:00:22.800 --> 00:00:25.160]  都會看過這個神蹟
[00:00:25.160 --> 00:00:26.780]  那麼這個神蹟呢
[00:00:26.780 --> 00:00:29.060]  大家有沒有留意到我的題目
[00:00:29.480 --> 00:00:30.860]  的選擇
[00:00:30.860 --> 00:00:34.240]  為什麼要選擇叫做《約翰福音神蹟》一
[00:00:34.240 --> 00:00:37.260]  除了有一個次序
[00:00:37.260 --> 00:00:39.560]  還有一二三四五六之外呢
[00:00:39.560 --> 00:00:42.260]  為什麼我不直接用那個神蹟
[00:00:42.260 --> 00:00:44.360]  本身那個內容
[00:00:44.360 --> 00:00:45.800]  很多人講到這裡
[00:00:45.800 --> 00:00:46.680]  都是說
[00:00:46.680 --> 00:00:48.340]  隨便走的神蹟
[00:00:48.340 --> 00:00:49.880]  為什麼不用這個呢?
[00:00:49.880 --> 00:00:52.080]  那麼有些原因的
[00:00:52.080 --> 00:00:53.780]  那麼一路講下去的時候
[00:00:53.780 --> 00:00:56.140]  就慢慢再交代這件事情
[00:00:56.140 --> 00:00:58.580]  那麼我們看《約翰福音》
[00:00:58.580 --> 00:01:01.780]  這個神蹟是記載在《約翰福音》二章
[00:01:01.780 --> 00:01:03.840]  一至十一節的
[00:01:03.840 --> 00:01:05.800]  很簡單的十一節經文
[00:01:05.800 --> 00:01:08.120]  我們也看看這個經文
[00:01:08.120 --> 00:01:11.260]  那麼就投影片帶了出來
[00:01:11.260 --> 00:01:13.600]  那麼大家也可以讀你自己的聖經
[00:01:13.600 --> 00:01:17.860]  那麼我們也一起讀一次二章一至十一節
[00:01:17.860 --> 00:01:20.440]  第三人
[00:01:20.440 --> 00:01:22.680]  在加利利的迦納
[00:01:22.680 --> 00:01:24.680]  有取親的現蹟
[00:01:24.680 --> 00:01:27.280]  耶穌的母親在那裡
[00:01:27.280 --> 00:01:31.280]  耶穌和他們徒弟也被請去附近
[00:01:31.280 --> 00:01:32.980]  走勇進了
[00:01:32.980 --> 00:01:35.280]  耶穌的母親對他說
[00:01:35.280 --> 00:01:37.280]  他們活有走了
[00:01:37.280 --> 00:01:39.280]  耶穌說:母親
[00:01:39.280 --> 00:01:41.680]  我與你有什麼相干
[00:01:41.680 --> 00:01:44.080]  我的時候還活有到
[00:01:44.080 --> 00:01:46.280]  他母親對傭人說
[00:01:46.280 --> 00:01:48.480]  她告訴你們什麼
[00:01:48.480 --> 00:01:50.480]  你們就做什麼
[00:01:50.480 --> 00:01:53.480]  照猶太人潔淨的規矩
[00:01:53.480 --> 00:01:56.380]  有六口石缸擺在那裡
[00:01:56.380 --> 00:01:59.580]  每口可以盛兩三桶水
[00:01:59.580 --> 00:02:01.580]  耶穌對傭人說
[00:02:01.580 --> 00:02:03.780]  那缸倒滿了水
[00:02:03.780 --> 00:02:05.780]  他們就倒滿了
[00:02:05.780 --> 00:02:07.280]  直到缸口
[00:02:07.280 --> 00:02:08.780]  耶穌又說
[00:02:08.780 --> 00:02:11.080]  現在可以吐出來
[00:02:11.080 --> 00:02:13.080]  送給管賢直的
[00:02:13.080 --> 00:02:15.080]  他們就送去了
[00:02:15.080 --> 00:02:18.580]  管賢直的上了那水邊的酒
[00:02:18.580 --> 00:02:21.180]  並不知道是哪裡來的
[00:02:21.180 --> 00:02:23.780]  只有吐水的傭人知道
[00:02:23.780 --> 00:02:26.780]  管賢直的便叫新郎來
[00:02:26.780 --> 00:02:27.980]  對他說
[00:02:27.980 --> 00:02:30.380]  人都是先擺上好酒
[00:02:30.380 --> 00:02:32.180]  等客喝足了
[00:02:32.180 --> 00:02:33.980]  才擺上次的
[00:02:33.980 --> 00:02:36.780]  你倒把好酒立到如今
[00:02:36.780 --> 00:02:40.580]  這是耶穌所行的頭一件神蹟
[00:02:40.580 --> 00:02:43.580]  是他在你們的家行的
[00:02:43.580 --> 00:02:45.580]  顯出他的榮耀來
[00:02:45.580 --> 00:02:48.380]  他的門徒就信他了
[00:02:48.380 --> 00:02:51.580]  很簡單的十一節經文
