
[00:00:00.000 --> 00:00:05.220]  今天跟大家思考的聖經也是一個耶穌裡面說的比喻
[00:00:05.220 --> 00:00:08.080]  今天的題目叫做「圓主悲歌」
[00:00:08.080 --> 00:00:15.860]  因為今天的經文實在不是一個很愉快的畫面
[00:00:15.860 --> 00:00:18.700]  不過也值得我們思考一個很重要的
[00:00:18.700 --> 00:00:21.500]  耶穌給我們的思考的事情
[00:00:21.500 --> 00:00:26.400]  首先關於「圓主悲歌」其實是一個很重要的關鍵
[00:00:26.400 --> 00:00:28.740]  就是關於一個葡萄園
[00:00:28.740 --> 00:00:33.520]  所以其實先去刺激一下大家的想法
[00:00:33.520 --> 00:00:38.960]  你有沒有做一個業主的慘痛經歷經歷過呢?
[00:00:38.960 --> 00:00:43.040]  即是你有沒有做過租客又有一個慘痛經歷經歷過呢?
[00:00:43.040 --> 00:00:47.740]  那你覺得做業主好一點還是做租客好一點呢?
[00:00:47.740 --> 00:00:51.120]  業主好一點還是租客好一點?
[00:00:51.120 --> 00:00:54.540]  理論上應該業主是收租的 好像很和美
[00:00:54.540 --> 00:00:59.020]  但有時候你也遇到一些很麻煩的租罷
[00:00:59.020 --> 00:01:04.640]  因為我也上網看 原來在美國在過去COVID的期間
[00:01:04.640 --> 00:01:09.760]  有一個叫做「禁止驅逐租客令」
[00:01:09.760 --> 00:01:15.880]  禁止驅逐租客令就是那個人沒得交租 你也吹噓不著
[00:01:15.880 --> 00:01:20.820]  不過怎樣翻譯普通話 麻煩Karen 吹噓不著
[00:01:20.820 --> 00:01:28.460]  即是內需吾河 我在網上看到有人不交租兩三年的時間
[00:01:28.460 --> 00:01:33.620]  即是內需吾河 但同時你有沒有做租客又很爽
[00:01:33.620 --> 00:01:36.920]  因為有時候你會遇到一些無良業主
[00:01:36.920 --> 00:01:43.040]  即是你見到無良業主的設備又爛 又不肯換
[00:01:43.040 --> 00:01:47.480]  什麼都要你賠 很多很多的東西
[00:01:47.480 --> 00:01:51.040]  所以做業主好些還是租客好些
[00:01:51.040 --> 00:01:54.900]  其實都很視乎你的對手是什麼人
[00:01:54.900 --> 00:01:59.760]  即是你是好業主 面對好租客 大家都好
[00:01:59.760 --> 00:02:04.340]  如果你是一個壞業主 你的租客又壞
[00:02:04.340 --> 00:02:09.720]  那就看誰壞了 看上帝怎樣帶領你
[00:02:09.720 --> 00:02:13.980]  不過今天我們讀的經文正正好像有一個租客有個業主
[00:02:13.980 --> 00:02:17.920]  他們面對著他們之間的糾紛
[00:02:17.920 --> 00:02:23.060]  所以我們希望我們一起細味這段聖經所講的東西
[00:02:23.060 --> 00:02:31.340]  這段聖經是來自馬赫福音第十二章 第一節至第十二節
[00:02:31.340 --> 00:02:36.580]  我想再讀多一次 讓我們加深這個印象
[00:02:36.580 --> 00:02:38.820]  耶穌就用比喻對他們說
[00:02:38.820 --> 00:02:42.980]  有人栽了一個葡萄園周圍圈上尼巴
[00:02:42.980 --> 00:02:46.260]  挖了一個壓走池 蓋了一座樓
[00:02:46.260 --> 00:02:49.380]  租給援護就往外國去了
[00:02:49.380 --> 00:02:53.260]  到這時候 打發一個僕人到援護那裡
[00:02:53.260 --> 00:02:56.500]  要從援護收葡萄園的果子
[00:02:56.500 --> 00:03:00.820]  援護拿著他 打了他 叫他空手回去
[00:03:00.820 --> 00:03:03.940]  再打發一個僕人到他們那裡
[00:03:03.940 --> 00:03:07.380]  他們打傷他的頭並且凌辱他
[00:03:07.380 --> 00:03:11.100]  又打發一個僕人去 他們就殺了他
[00:03:11.100 --> 00:03:13.460]  後又打發好些僕人去
[00:03:13.460 --> 00:03:16.940]  又被他們打的 又被他們殺的
[00:03:16.940 --> 00:03:19.860]  園主還有一位是他的愛子
[00:03:19.860 --> 00:03:21.780]  沒後又打發他去
[00:03:21.780 --> 00:03:26.980]  意思說 他們必尊敬我的兒子
[00:03:26.980 --> 00:03:29.700]  不料 那些援護彼此說
[00:03:29.700 --> 00:03:31.380]  這是承受產業的
[00:03:31.380 --> 00:03:35.580]  來吧 我們殺他 產業就歸我們了
[00:03:35.580 --> 00:03:39.820]  於是拿著他 殺了他 把他丟在園外
[00:03:39.820 --> 00:03:43.460]  這樣 葡萄園的主人要怎樣辦呢
[00:03:43.460 --> 00:03:46.140]  他要來除滅那些援護
[00:03:46.140 --> 00:03:48.700]  將葡萄園轉給別人
[00:03:48.700 --> 00:03:50.060]  經上寫著說
[00:03:50.060 --> 00:03:51.820]  將人所棄的石頭
[00:03:51.820 --> 00:03:54.740]  已作了方角的頭塊石頭
[00:03:54.740 --> 00:03:56.260]  這是主所做的
[00:03:56.260 --> 00:03:58.580]  在我們眼中看為稀奇
[00:03:58.580 --> 00:04:01.180]  這經你們沒有念過嗎
[00:04:01.180 --> 00:04:04.380]  他們看出這比喻是指著他們說的
[00:04:04.380 --> 00:04:06.020]  就想要捉拿他
[00:04:06.020 --> 00:04:10.820]  只是懼怕百姓 於是離開他走了
[00:04:10.820 --> 00:04:13.540]  這段聖經是來自《馬可福音》的第十二章
[00:04:13.540 --> 00:04:14.580]  一至對十二節
[00:04:14.580 --> 00:04:17.260]  因為我們正在學習《馬可福音》的主學
[00:04:17.260 --> 00:04:18.740]  所以特意選擇的經文
