
[00:00:00.000 --> 00:00:07.000]  今日希望能夠講一些民間宗教和社團的關係
[00:00:07.000 --> 00:00:10.000]  那些社團關係牽涉到很多層面
[00:00:10.000 --> 00:00:14.000]  包括一些半宗教性的民間組織
[00:00:14.000 --> 00:00:17.000]  如果你說黑社會是一種都可以未嘗不可
[00:00:17.000 --> 00:00:19.000]  因為它有很多宗教儀式在那裡
[00:00:19.000 --> 00:00:21.000]  另外一些節旗
[00:00:21.000 --> 00:00:24.000]  就快要是專武節了
[00:00:24.000 --> 00:00:26.000]  那些節旗也都是一些宗教色彩
[00:00:26.000 --> 00:00:28.000]  加上節旗色彩也都是和群體有關的
[00:00:28.000 --> 00:00:30.000]  如果比較少一點的時候
[00:00:30.000 --> 00:00:32.000]  那個社團和宗教的現象
[00:00:32.000 --> 00:00:36.000]  甚至是簡單到好像一個家庭裡面的造君
[00:00:36.000 --> 00:00:37.000]  和城隍土地
[00:00:37.000 --> 00:00:39.000]  那些都可以叫做一個社團有關
[00:00:39.000 --> 00:00:41.000]  變成那個神那個信仰
[00:00:41.000 --> 00:00:43.000]  再不是一個個人的神
[00:00:43.000 --> 00:00:46.000]  這個神或者這個信仰或者這種宗教活動
[00:00:46.000 --> 00:00:48.000]  不單只是個人層面裡面有些東西
[00:00:48.000 --> 00:00:51.000]  好像以前我們說的醫病那些個人層面
[00:00:51.000 --> 00:00:53.000]  但是現在就是整個社團層面
[00:00:53.000 --> 00:00:55.000]  這個社團可能是那個家人
[00:00:55.000 --> 00:00:56.000]  可能是那個鄉
[00:00:56.000 --> 00:00:57.000]  或者可能是那個族
[00:00:57.000 --> 00:01:00.000]  或者甚至可能是某些行業
[00:01:00.000 --> 00:01:02.000]  例如好像三行老
[00:01:02.000 --> 00:01:03.000]  拜老班
[00:01:03.000 --> 00:01:04.000]  老班先師
[00:01:04.000 --> 00:01:05.000]  那個是一個行業來的
[00:01:05.000 --> 00:01:10.000]  那些就是有些很不同的看法在那裡
[00:01:10.000 --> 00:01:19.000]  首先我們看看一個很重要的概念
[00:01:19.000 --> 00:01:21.000]  中國人我們看神
[00:01:21.000 --> 00:01:24.000]  看那些神明什麼都好
[00:01:24.000 --> 00:01:26.000]  就將它分很多等級的
[00:01:26.000 --> 00:01:27.000]  有級數的
[00:01:27.000 --> 00:01:29.000]  不是神就是一種
[00:01:29.000 --> 00:01:30.000]  那不止在我們的信仰
[00:01:30.000 --> 00:01:32.000]  或者在我們的傳統裡面
[00:01:32.000 --> 00:01:34.000]  神明都有很多不同的級數
[00:01:34.000 --> 00:01:38.000]  而這種級數是反映了人間的社會價值體制的
[00:01:38.000 --> 00:01:40.000]  例如那個例子這樣
[00:01:40.000 --> 00:01:44.000]  在那個民間的體制裡面
[00:01:44.000 --> 00:01:45.000]  最高就是皇帝
[00:01:45.000 --> 00:01:48.000]  皇帝之下就是士大夫那些官
[00:01:48.000 --> 00:01:49.000]  做官那些人
[00:01:49.000 --> 00:01:51.000]  官是高於平民
[00:01:51.000 --> 00:01:52.000]  但是低於皇帝的
[00:01:52.000 --> 00:01:55.000]  然後就在社會階層裡面
[00:01:55.000 --> 00:01:58.000]  官之下就是那些有技術的人員
[00:01:58.000 --> 00:01:59.000]  好像醫生
[00:01:59.000 --> 00:02:00.000]  好像豆毛佬
[00:02:00.000 --> 00:02:01.000]  鐵匠 工匠
[00:02:01.000 --> 00:02:02.000]  那些匠人
[00:02:02.000 --> 00:02:04.000]  有一技謀生的
[00:02:04.000 --> 00:02:07.000]  然後再下去就是那些農民
[00:02:07.000 --> 00:02:10.000]  商人始終沒什麼地位的
[00:02:10.000 --> 00:02:13.000]  商人似乎在價值體制之下
[00:02:13.000 --> 00:02:14.000]  就不是那麼重要的
[00:02:14.000 --> 00:02:16.000]  然後農民之下就是那些
[00:02:16.000 --> 00:02:19.000]  黑衣 妓女 流氓 地貓
[00:02:19.000 --> 00:02:21.000]  那些市井之徒
[00:02:21.000 --> 00:02:22.000]  那些叫商人
[00:02:22.000 --> 00:02:23.000]  在這個系統裡面
[00:02:23.000 --> 00:02:24.000]  如果我們很簡單來說
[00:02:24.000 --> 00:02:25.000]  就有五類
[00:02:25.000 --> 00:02:27.000]  皇族 有那些貴族
[00:02:27.000 --> 00:02:28.000]  就是有天子
[00:02:28.000 --> 00:02:30.000]  然後就有士大夫 官員
[00:02:30.000 --> 00:02:32.000]  那些官僚階級
[00:02:32.000 --> 00:02:33.000]  統治者階層
[00:02:33.000 --> 00:02:35.000]  然後有一班技術人員
[00:02:35.000 --> 00:02:37.000]  如果英文就是Artisan那班人
[00:02:37.000 --> 00:02:40.000]  有一技謀生的
[00:02:40.000 --> 00:02:43.000]  然後再下去一點就是農民
[00:02:43.000 --> 00:02:45.000]  中國農民很重要
[00:02:45.000 --> 00:02:46.000]  以農立國
[00:02:46.000 --> 00:02:48.000]  農業社會很重要
[00:02:48.000 --> 00:02:53.000]  農民之下就是那些市井之徒
[00:02:53.000 --> 00:02:56.000]  包括賊 妓女 流氓 地貓
[00:02:56.000 --> 00:02:58.000]  甚至可能是藝人
[00:02:58.000 --> 00:02:59.000]  都算是那一類
