
[00:00:00.000 --> 00:00:04.000]  今年是我們教會慶祝二十週年
[00:00:04.000 --> 00:00:05.900]  回想這二十年來
[00:00:05.900 --> 00:00:09.200]  生命核真的是從很小的一個開始
[00:00:09.200 --> 00:00:11.200]  成長到如今
[00:00:11.200 --> 00:00:13.440]  二十年前的我們怎麼會想得到
[00:00:13.440 --> 00:00:16.900]  今天我們發展到如今的景況呢?
[00:00:16.900 --> 00:00:21.500]  神的帶領永遠是超乎我們所求所想的
[00:00:21.500 --> 00:00:25.600]  當時我們所想的只不過是一間堂會而已
[00:00:25.600 --> 00:00:29.100]  神所想的卻是整個movement
[00:00:29.100 --> 00:00:32.700]  一個使徒網絡的一個連結
[00:00:32.700 --> 00:00:36.100]  當時我們所想的只是成長
[00:00:36.100 --> 00:00:39.800]  神所想的卻是影響力
[00:00:39.800 --> 00:00:43.300]  當我們回顧這二十年來所走過的路
[00:00:43.300 --> 00:00:46.800]  我想我們真的不能夠不心存敬畏
[00:00:46.800 --> 00:00:49.200]  因為生命核的意象
[00:00:49.200 --> 00:00:54.300]  的確是遠大過我們當時所領會的
[00:00:54.300 --> 00:00:56.700]  生命核不但是指的
[00:00:56.700 --> 00:01:00.500]  一個信徒屬靈生命的更新
[00:01:00.500 --> 00:01:05.600]  生命核不但是指的教會的增長跟復興
[00:01:05.600 --> 00:01:09.400]  生命核更是代表一個影響世代
[00:01:09.400 --> 00:01:11.700]  轉化成事的管道
[00:01:11.700 --> 00:01:12.800]  Amen
[00:01:12.800 --> 00:01:14.900]  事實上這個意象
[00:01:14.900 --> 00:01:18.500]  也是那個範圍也是遠大過我們
[00:01:18.500 --> 00:01:22.600]  傳統教會所能夠領會
[00:01:22.600 --> 00:01:24.900]  我從小在教會長大
[00:01:24.900 --> 00:01:30.100]  你知道在傳統中國這種教會裡面的教會觀
[00:01:30.100 --> 00:01:32.100]  還是很狹窄的
[00:01:32.100 --> 00:01:36.000]  我們所想到的還是我們自己而已
[00:01:36.000 --> 00:01:38.500]  就好像保羅在以佛所書裡面
[00:01:38.500 --> 00:01:41.100]  當他問候以佛所的信徒的時候
[00:01:41.100 --> 00:01:43.900]  他說我聽見你們信從主耶穌
[00:01:43.900 --> 00:01:46.100]  親愛眾聖徒
[00:01:46.100 --> 00:01:48.000]  我請問你一個教會
[00:01:48.000 --> 00:01:49.600]  能夠信從主耶穌
[00:01:49.600 --> 00:01:51.900]  親愛眾聖徒好不好
[00:01:51.900 --> 00:01:53.700]  好很好
[00:01:53.700 --> 00:01:55.400]  非常滿足的做一個牧師
[00:01:55.400 --> 00:01:57.200]  如果你的信徒信從主耶穌
[00:01:57.200 --> 00:01:59.200]  親愛眾聖徒
[00:01:59.200 --> 00:02:02.300]  可是保羅沒有很滿足
[00:02:02.300 --> 00:02:05.700]  保羅說我求神開你們的眼睛
[00:02:05.700 --> 00:02:07.700]  讓你們能夠真知道祂
[00:02:07.700 --> 00:02:09.000]  換句話說
[00:02:09.000 --> 00:02:10.800]  眼睛還沒開
[00:02:10.800 --> 00:02:14.200]  所以保羅說我求神開你們的眼睛
[00:02:14.200 --> 00:02:15.100]  能夠知道
[00:02:15.100 --> 00:02:16.300]  知道什麼呢
[00:02:16.300 --> 00:02:18.500]  知道神的恩召
[00:02:18.500 --> 00:02:20.000]  祂的Calling
[00:02:20.000 --> 00:02:21.600]  祂的呼召
[00:02:21.600 --> 00:02:23.400]  有何等的指望
[00:02:23.400 --> 00:02:24.500]  知道什麼呢
[00:02:24.500 --> 00:02:27.000]  知道神在你們所做的工作
[00:02:27.000 --> 00:02:29.400]  有何等的榮耀
[00:02:29.400 --> 00:02:30.300]  知道什麼呢
[00:02:30.300 --> 00:02:32.400]  知道神在你們身上的能力
[00:02:32.400 --> 00:02:34.600]  何等的浩大
[00:02:34.600 --> 00:02:35.300]  換句話說
[00:02:35.300 --> 00:02:39.600]  不要只是停留在自我的滿足的裡面
[00:02:39.600 --> 00:02:42.200]  求神擴張我們的眼目
[00:02:42.200 --> 00:02:44.900]  要能夠看見神在我們身上
[00:02:44.900 --> 00:02:48.200]  所能成就偉大奇妙的事情
[00:02:48.200 --> 00:02:49.400]  Amen
[00:02:49.400 --> 00:02:55.200]  生命和不只是有一個建造榮耀教會的使命
[00:02:55.200 --> 00:02:59.800]  生命和不但有一個流向萬國萬民的使命
[00:02:59.800 --> 00:03:03.800]  生命和更有一個社區的使命
[00:03:03.800 --> 00:03:05.300]  這個社區的使命
[00:03:05.300 --> 00:03:09.900]  就將生命的江河永留在社區當中
[00:03:09.900 --> 00:03:11.500]  帶來醫治
[00:03:11.500 --> 00:03:13.500]  帶來城市的轉化
[00:03:13.500 --> 00:03:14.700]  Amen
