
[00:00:00.000 --> 00:00:05.760]  所以很開心能夠有機會跟大家分享這個題目
[00:00:05.760 --> 00:00:07.360]  人生的追尋
[00:00:07.360 --> 00:00:09.360]  我發現當我預備的時候
[00:00:09.360 --> 00:00:11.360]  我便想 原來人生的追尋
[00:00:11.360 --> 00:00:16.680]  可以有很多的字眼都可以有這個意思
[00:00:16.680 --> 00:00:18.180]  例如「等待」
[00:00:18.180 --> 00:00:20.180]  人生有什麼「等待」
[00:00:20.180 --> 00:00:22.180]  可能我們中間就說
[00:00:22.180 --> 00:00:25.180]  快點完啦 我很餓 想去吃下午茶
[00:00:25.180 --> 00:00:27.880]  人生有什麼「尋求」
[00:00:27.880 --> 00:00:29.880]  人生有什麼「期盼」
[00:00:29.880 --> 00:00:31.880]  人生有什麼「渴望」
[00:00:31.880 --> 00:00:34.880]  這個問題 我們在座的學生
[00:00:34.880 --> 00:00:36.880]  將會被人問很多次
[00:00:36.880 --> 00:00:38.880]  你長大後想做什麼
[00:00:38.880 --> 00:00:40.880]  你有什麼「渴望」
[00:00:40.880 --> 00:00:43.880]  放心 是無法回答的
[00:00:43.880 --> 00:00:45.880]  我女兒比你們大一點
[00:00:45.880 --> 00:00:49.880]  中四 她到現在也回答不出來
[00:00:49.880 --> 00:00:51.880]  所以我猜
[00:00:51.880 --> 00:00:55.880]  你渴望自己有一個地方
[00:00:55.880 --> 00:00:57.880]  可能有一間房
[00:00:57.880 --> 00:00:59.880]  可能有一間自己的家
[00:00:59.880 --> 00:01:02.880]  那你覺得 如果你要追尋
[00:01:02.880 --> 00:01:05.880]  或者建立這件事 你要多久呢
[00:01:05.880 --> 00:01:07.880]  猜猜
[00:01:07.880 --> 00:01:10.880]  可能我們中間成年人就會實際一點
[00:01:10.880 --> 00:01:13.880]  做這個優惠 她給我20年
[00:01:13.880 --> 00:01:15.880]  起碼要20年
[00:01:15.880 --> 00:01:18.880]  還要是爸爸媽媽幫忙給首期
[00:01:18.880 --> 00:01:20.880]  是不是
[00:01:20.880 --> 00:01:23.880]  如果你肯努力的話
[00:01:23.880 --> 00:01:26.880]  嘩 這位姐姐真是厲害
[00:01:26.880 --> 00:01:30.880]  四年 賺到錢賣樓
[00:01:30.880 --> 00:01:33.880]  考考大家的眼睛
[00:01:33.880 --> 00:01:37.880]  這個廣告有什麼錯呢
[00:01:37.880 --> 00:01:40.880]  我特別看看中一的學生
[00:01:40.880 --> 00:01:42.880]  請May老師幫我看看
[00:01:42.880 --> 00:01:44.880]  誰能答得出 要獎賞她
[00:01:44.880 --> 00:01:46.880]  當我看見這個新聞的時候
[00:01:46.880 --> 00:01:48.880]  就說 什麼
[00:01:48.880 --> 00:01:50.880]  後來我看下去就知道了
[00:01:50.880 --> 00:01:52.880]  有什麼問題
[00:01:52.880 --> 00:01:54.880]  3 2 1
[00:01:54.880 --> 00:01:57.880]  有沒有人敢答 有獎的
[00:01:57.880 --> 00:01:59.880]  你們小食部通常賣什麼東西吃
[00:01:59.880 --> 00:02:02.880]  我轉錢給May老師請你們吃東西
[00:02:02.880 --> 00:02:04.880]  沒有啊 沒有問題啊
[00:02:04.880 --> 00:02:07.880]  這個人四年 賺到一億賣樓
[00:02:07.880 --> 00:02:09.880]  她做什麼工作啊
[00:02:09.880 --> 00:02:12.880]  看不看到 有沒有問題啊
[00:02:12.880 --> 00:02:13.880]  有問題 Good
[00:02:13.880 --> 00:02:15.880]  好 就你了 男同學
[00:02:15.880 --> 00:02:17.880]  你猜猜什麼問題
[00:02:17.880 --> 00:02:23.880]  是 有什麼問題呢 你覺得
[00:02:24.880 --> 00:02:29.880]  你猜猜為什麼這個字幕是對的
[00:02:29.880 --> 00:02:32.880]  猜猜 你猜猜就可以了
[00:02:32.880 --> 00:02:39.880]  有可能嗎 是不是
[00:02:39.880 --> 00:02:40.880]  你覺得
[00:02:40.880 --> 00:02:42.880]  沒有 可能是
[00:02:42.880 --> 00:02:44.880]  她只是吃杯麵
[00:02:44.880 --> 00:02:47.880]  所以每個月只能用到52元
[00:02:47.880 --> 00:02:48.880]  OK 好 只是吃杯麵
[00:02:48.880 --> 00:02:50.880]  所以吃了52元杯麵
[00:02:50.880 --> 00:02:51.880]  OK 好
[00:02:51.880 --> 00:02:53.880]  但也要May老師獎賞她
[00:02:53.880 --> 00:02:55.880]  她很主動地回答
[00:02:55.880 --> 00:02:56.880]  好 請說
[00:02:56.880 --> 00:03:05.880]  是啦 沒有可能 是不是
[00:03:05.880 --> 00:03:07.880]  這個也要獎賞 這個很主動
[00:03:07.880 --> 00:03:09.880]  這班學生很主動 聰明
[00:03:09.880 --> 00:03:12.880]  我後來看 其實她很有問題
[00:03:12.880 --> 00:03:17.880]  首先 一億是韓圜來的
[00:03:17.880 --> 00:03:18.880]  韓國人來的
[00:03:18.880 --> 00:03:20.880]  但是她折算港幣
[00:03:20.880 --> 00:03:23.880]  所以她每個月是有12,000元工資
[00:03:23.880 --> 00:03:24.880]  是港幣來的
[00:03:24.880 --> 00:03:26.880]  所以這個廣告為什麼這麼吸睛呢
[00:03:26.880 --> 00:03:29.880]  就是說 算來算去都算不出來
[00:03:29.880 --> 00:03:31.880]  同樣 當然
[00:03:31.880 --> 00:03:35.880]  四年 她省極 吃西北風
[00:03:35.880 --> 00:03:37.880]  都沒有可能買到房子
[00:03:37.880 --> 00:03:40.880]  文章就寫說 她儲到首期
[00:03:40.880 --> 00:03:41.880]  抽到一些單人
[00:03:41.880 --> 00:03:45.880]  類似我們居屋那類的房屋
[00:03:45.880 --> 00:03:48.880]  折算港幣大概是六十多萬
[00:03:48.880 --> 00:03:51.880]  但是都很厲害
[00:03:51.880 --> 00:03:54.880]  四年能夠上樓
[00:03:54.880 --> 00:03:56.880]  真的給她一個厲害
