
[00:00:00.000 --> 00:00:04.000]  好,我今天要分享的講題叫做
[00:00:04.000 --> 00:00:07.000]  「愛,我們回家吧!」
[00:00:07.000 --> 00:00:12.000]  這個題目是未有家庭崇拜之前我已經創作了
[00:00:12.000 --> 00:00:16.000]  所以不關家庭崇拜的事
[00:00:16.000 --> 00:00:19.000]  之前大家再上一個星期就是
[00:00:19.000 --> 00:00:22.000]  「不能放棄主權系列」,是嗎?
[00:00:22.000 --> 00:00:24.000]  我們這次是第二講
[00:00:24.000 --> 00:00:26.000]  而我分享的經文就是
[00:00:26.000 --> 00:00:30.000]  「爾塞亞書」的四十章一至十一節
[00:00:30.000 --> 00:00:38.000]  我聽說你們都是一些很願意在這裡崇拜的
[00:00:38.000 --> 00:00:41.000]  離開是會來的,所以我也不多說了
[00:00:41.000 --> 00:00:44.000]  就是說你們有聽過阿南第一篇
[00:00:44.000 --> 00:00:47.000]  「爾塞亞書」系列的第一講
[00:00:47.000 --> 00:00:49.000]  講到那個題目叫做
[00:00:49.000 --> 00:00:51.000]  「我中伏了嗎?」,是嗎?
[00:00:51.000 --> 00:00:54.000]  我覺得這個名字很棒
[00:00:54.000 --> 00:00:56.000]  它帶出了什麼?
[00:00:56.000 --> 00:00:59.000]  說先知他們有一個呼召
[00:00:59.000 --> 00:01:03.000]  是一個吃力不討好的呼召
[00:01:03.000 --> 00:01:07.000]  高牧師說那些人叫他們被擄回歸
[00:01:07.000 --> 00:01:09.000]  其實是在說多少?
[00:01:09.000 --> 00:01:11.000]  10%?
[00:01:11.000 --> 00:01:13.000]  賭仙應召而已
[00:01:13.000 --> 00:01:16.000]  就是說為什麼這麼多人
[00:01:16.000 --> 00:01:18.000]  四十幾萬人都只有10%呢?
[00:01:18.000 --> 00:01:20.000]  不如我們今天就探討一下
[00:01:20.000 --> 00:01:24.000]  以色列民為什麼要拒絕先知的信息
[00:01:24.000 --> 00:01:28.000]  是否單單因為如果要回去耶路撒冷
[00:01:28.000 --> 00:01:30.000]  是一個廢墟?
[00:01:30.000 --> 00:01:33.000]  又或者是重建聖殿呢?
[00:01:33.000 --> 00:01:35.000]  就是可能疫情那些
[00:01:35.000 --> 00:01:36.000]  我們現在就說
[00:01:36.000 --> 00:01:40.000]  剛才聽說那些材料來不了
[00:01:40.000 --> 00:01:42.000]  是否因為沒有材料
[00:01:42.000 --> 00:01:44.000]  覺得去建聖殿是難呢?
[00:01:44.000 --> 00:01:47.000]  還是因為住慣了在巴比倫
[00:01:47.000 --> 00:01:52.000]  熬不了苦所以他們不應召呢?
[00:01:52.000 --> 00:01:56.000]  Ivan曾經在港島說過
[00:01:56.000 --> 00:01:57.000]  在四十九章
[00:01:57.000 --> 00:02:00.000]  以色列民覺得上帝不記得他們
[00:02:00.000 --> 00:02:02.000]  但上帝說
[00:02:02.000 --> 00:02:07.000]  「苦人焉能忘記他吃奶的嬰孩
[00:02:07.000 --> 00:02:09.000]  不憐憫他所生的兒子
[00:02:09.000 --> 00:02:13.000]  即或有忘記,我卻不忘記你」
[00:02:13.000 --> 00:02:14.000]  上帝說
[00:02:14.000 --> 00:02:18.000]  「就算媽媽忘記餵奶給嬰孩
[00:02:18.000 --> 00:02:20.000]  他也不會忘記」
[00:02:20.000 --> 00:02:23.000]  先知很努力去宣講
[00:02:23.000 --> 00:02:25.000]  但為什麼以色列民
[00:02:25.000 --> 00:02:28.000]  他們都聽不入耳呢?
[00:02:28.000 --> 00:02:30.000]  我曾經聽過一些弟兄姊妹分享過
[00:02:30.000 --> 00:02:33.000]  她說「舊約的神很惡
[00:02:33.000 --> 00:02:35.000]  動一點也會死
