
[00:00:00.000 --> 00:00:04.800]  當我們去看使徒行傳特別是使徒保羅的腳中的時候
[00:00:04.800 --> 00:00:07.800]  我們不單止看到他去的不同的地方
[00:00:07.800 --> 00:00:10.600]  所為神所做的不同的工作
[00:00:10.600 --> 00:00:12.600]  建立不同的教會
[00:00:12.600 --> 00:00:16.000]  更加堅固很多的信徒
[00:00:16.000 --> 00:00:20.400]  但也都體會到他在這些過程裡面
[00:00:20.400 --> 00:00:24.600]  他那種堅持不棄侍奉主的心
[00:00:24.600 --> 00:00:27.200]  就是我們今天去學校
[00:00:27.400 --> 00:00:31.000]  也都成為我們行走主路
[00:00:31.000 --> 00:00:35.200]  侍奉神的道路上一個美好的鼓勵和借給
[00:00:35.200 --> 00:00:37.400]  今天我們用一個題目
[00:00:37.400 --> 00:00:40.000]  就是堅持不棄侍奉主
[00:00:40.000 --> 00:00:44.400]  這個主要是集中在使徒保羅
[00:00:44.400 --> 00:00:47.800]  第二次的宣教行程裡面所到的一個地方
[00:00:47.800 --> 00:00:50.400]  這個地方一說出來大家都很熟悉的
[00:00:50.400 --> 00:00:54.200]  他的名字叫做哥林多
[00:00:54.400 --> 00:00:58.400]  有沒有聽過哥林多 一定有
[00:00:58.400 --> 00:01:02.000]  我們在這個地圖裡面知道
[00:01:02.000 --> 00:01:05.400]  這個就是使徒保羅第二次的宣教行程
[00:01:05.400 --> 00:01:08.000]  上一個月說到的時候
[00:01:08.000 --> 00:01:09.200]  我們也說過了
[00:01:09.200 --> 00:01:11.400]  他是由安提訛出發的
[00:01:11.400 --> 00:01:14.000]  差不多每一次這三次的宣教行程
[00:01:14.000 --> 00:01:16.000]  都是由安提訛這個教會
[00:01:16.000 --> 00:01:18.800]  就是差派他出去宣教教會出發
[00:01:18.800 --> 00:01:21.400]  所以他經過了這些不同的地方
[00:01:21.600 --> 00:01:27.600]  兼顧了第一次使徒保羅的宣教行程所建立的教會
[00:01:27.600 --> 00:01:30.200]  包括了比西底的安提訛
[00:01:30.200 --> 00:01:34.400]  爾戈廉和特比路斯德這些地方
[00:01:34.400 --> 00:01:40.200]  他本來很想去加拉泰比推來的
[00:01:40.200 --> 00:01:42.200]  但是聖靈就禁止他
[00:01:42.200 --> 00:01:44.600]  所以聖靈禁止他 他就順服聖靈
[00:01:44.600 --> 00:01:47.600]  本來又想去到亞細亞這邊
[00:01:47.800 --> 00:01:53.200]  這裡就是這次我們有些電影節目很快就會去的
[00:01:53.200 --> 00:01:56.000]  就是啟示錄所記載的
[00:01:56.000 --> 00:02:00.600]  亞細亞七個在啟示錄記載的教會
[00:02:00.600 --> 00:02:03.200]  包括了伊芬索推亞推拉等等的地方
[00:02:03.200 --> 00:02:07.200]  但是那次保羅沒有去到
[00:02:07.200 --> 00:02:11.400]  又是因為聖靈又不叫他去那裡
[00:02:11.400 --> 00:02:14.600]  所以他很順服聖靈的禁止和帶領
[00:02:14.800 --> 00:02:18.400]  他就去到這個特羅亞的地方
[00:02:18.400 --> 00:02:21.600]  結果就有一個馬其頓人向他顯現
[00:02:21.600 --> 00:02:25.000]  馬其頓就在這邊 所以是歐洲的地方
[00:02:25.000 --> 00:02:30.800]  所以原來這次第二次試圖和他的宣教行程
[00:02:30.800 --> 00:02:33.000]  神要帶領他有一個新的領域
[00:02:33.000 --> 00:02:35.000]  就是從這個亞洲的地方
[00:02:35.000 --> 00:02:37.200]  今天就是土耳其這個地方
[00:02:37.200 --> 00:02:39.400]  就去到歐洲的地方
[00:02:39.400 --> 00:02:42.200]  所以他就在那裡見到馬其頓議長
[00:02:42.400 --> 00:02:47.400]  去到馬其頓省整個省的第一個駐防城
[00:02:47.400 --> 00:02:49.200]  這個就是菲勒比
[00:02:49.200 --> 00:02:50.400]  所以在菲勒比那裡
[00:02:50.400 --> 00:02:52.800]  我們記得在上個月講到的時候
[00:02:52.800 --> 00:02:57.200]  很精彩的菲勒比就顯出聖靈的大能
[00:02:57.200 --> 00:02:59.000]  建立了菲勒比的教會
[00:02:59.000 --> 00:03:03.200]  然後我們見到有女帝亞禁足全家信主
[00:03:03.200 --> 00:03:05.400]  菲勒比的教會就建立起來
[00:03:05.400 --> 00:03:08.000]  接著上一次我們就繼續講
[00:03:08.000 --> 00:03:10.800]  就是他去到另外有幾個城市
[00:03:11.000 --> 00:03:15.400]  包括了貼薩萊加和比利亞
[00:03:15.400 --> 00:03:18.800]  還有就是亞甸
