
[00:00:00.000 --> 00:00:02.880]  這個題目叫做「真門徒」
[00:00:02.880 --> 00:00:05.520]  那麼你說門徒也有真有假的嗎?
[00:00:05.520 --> 00:00:07.000]  當然有啦,是不是?
[00:00:07.000 --> 00:00:08.320]  有真有假的
[00:00:08.320 --> 00:00:12.960]  就好像你買一個那些叫做LB袋
[00:00:12.960 --> 00:00:15.200]  大家知道什麼叫LB袋嗎?
[00:00:15.200 --> 00:00:18.480]  LB袋呢,有真LB
[00:00:18.480 --> 00:00:21.400]  也是冒牌LB的,是不是?
[00:00:21.400 --> 00:00:23.600]  那通常呢,如果要冒牌
[00:00:23.600 --> 00:00:25.800]  你會冒些什麼牌啊?
[00:00:25.800 --> 00:00:28.440]  是不是那些很cheap的那些你會冒牌啊?
[00:00:28.440 --> 00:00:31.000]  當然不是啦,那麼cheap冒來幹嘛呢,是不是?
[00:00:31.000 --> 00:00:34.520]  當然冒那些是很貴的,高價的
[00:00:34.520 --> 00:00:37.520]  譬如勞力士標,也有冒牌的
[00:00:37.520 --> 00:00:39.080]  我有一次去大陸
[00:00:39.080 --> 00:00:41.440]  有一個人去那個不知道什麼
[00:00:41.440 --> 00:00:43.760]  我也不知道那個叫什麼羅湖城
[00:00:43.760 --> 00:00:45.040]  有一個女生走出去
[00:00:45.040 --> 00:00:48.400]  「唉,先生,你要不要勞力士標啊?」
[00:00:48.400 --> 00:00:51.280]  看一看她,她說「四百多塊而已」
[00:00:51.280 --> 00:00:53.080]  「四百多塊就勞力士標?」
[00:00:53.080 --> 00:00:54.120]  「當然是假的啦」
[00:00:54.120 --> 00:00:56.360]  她說「如果不是假的,怎麼可以四百多塊呢?」
[00:00:56.360 --> 00:00:59.200]  還這樣去罵我一頓
[00:00:59.200 --> 00:01:03.560]  所以呢,那為什麼她不冒一隻水晶標啊?
[00:01:03.560 --> 00:01:05.320]  為什麼要勞力士標啊,是不是?
[00:01:05.320 --> 00:01:08.840]  因為勞力士標是很厲害的嘛,是不是?
[00:01:08.840 --> 00:01:11.320]  撈歷史啊,金撈啊,什麼撈啊,是不是?
[00:01:11.320 --> 00:01:14.520]  那些十萬八萬,十幾二十萬都不奇怪的
[00:01:14.520 --> 00:01:16.480]  哇,所以呢,好的東西呢
[00:01:16.480 --> 00:01:17.960]  就會有假冒的
[00:01:17.960 --> 00:01:20.280]  所以呢,瞞途
[00:01:20.280 --> 00:01:23.720]  就有假冒的,有真的有假的
[00:01:23.720 --> 00:01:28.560]  那我今天就跟大家分享這個題目叫做「真瞞途」
[00:01:28.560 --> 00:01:32.400]  那這個「真瞞途」呢,又可以稱為什麼呢?
[00:01:32.400 --> 00:01:34.360]  瞞途,說了啦
[00:01:34.360 --> 00:01:35.440]  那瞞途是什麼意思呢?
[00:01:35.440 --> 00:01:39.360]  瞞途這個字呢,在英文叫做Disciple
[00:01:39.360 --> 00:01:41.880]  這個字呢,在希臘文裡面的含義呢
[00:01:41.880 --> 00:01:44.040]  就是說,是一個學生
[00:01:44.040 --> 00:01:47.120]  好像邵怡,你有很多瞞途的,是不是?
[00:01:47.120 --> 00:01:49.920]  因為你是教書的嘛,肯定有很多瞞途
[00:01:49.920 --> 00:01:51.600]  他能不能學到你的東西呢?
[00:01:51.600 --> 00:01:54.760]  另外一件事,但是你是這樣教,是不是?
[00:01:54.760 --> 00:01:59.960]  所以呢,瞞途這個字呢,可以解釋為跟學習有關係的
[00:01:59.960 --> 00:02:02.240]  第二呢,就稱為信途
[00:02:02.240 --> 00:02:03.760]  那為什麼叫做信途呢?
[00:02:03.760 --> 00:02:06.360]  因為我們信耶穌嘛,是不是?
[00:02:06.360 --> 00:02:07.360]  我們信耶穌
[00:02:07.360 --> 00:02:11.000]  所以呢,我們就可以被稱為叫做信途
[00:02:11.000 --> 00:02:13.880]  我們學習神的話語,所以被稱為瞞途
[00:02:13.880 --> 00:02:15.120]  跟從耶穌
[00:02:15.120 --> 00:02:18.200]  所以耶穌有多少個瞞途啊?大家知不知道?
[00:02:18.200 --> 00:02:19.280]  耶穌有多少個瞞途啊?
[00:02:19.280 --> 00:02:21.040]  十二瞞途嘛,是不是?
[00:02:21.040 --> 00:02:22.840]  那十二個瞞途就是跟著祂
[00:02:22.840 --> 00:02:24.520]  哇,那時候耶穌的瞞途啊
[00:02:24.520 --> 00:02:26.960]  跟著祂,走走,站站
[00:02:26.960 --> 00:02:28.800]  吃飯,幾味
[00:02:28.800 --> 00:02:31.920]  一起住,一起睡,一起起床
[00:02:31.920 --> 00:02:33.680]  真的是跟祂的,是不是?
[00:02:33.680 --> 00:02:37.320]  所以那些真的是入室弟子來的
[00:02:37.320 --> 00:02:39.560]  就不是說,好像有邵怡的學生
[00:02:39.560 --> 00:02:41.560]  我想沒有多少個學生去過你家,是不是?
[00:02:41.560 --> 00:02:42.800]  都有啊?
[00:02:42.800 --> 00:02:45.440]  全部你教的學生都去過你家?當然不是了,是不是?
[00:02:45.440 --> 00:02:47.600]  可能你挑選有些
[00:02:47.600 --> 00:02:50.600]  OK的,才讓他去你家的嘛,如果不是去你家
[00:02:50.600 --> 00:02:53.400]  反轉了你家,你不就很大件事?
[00:02:53.400 --> 00:02:54.960]  但是呢,他們不是這樣的
[00:02:54.960 --> 00:02:57.080]  耶穌的瞞途,跟祂一起出入
[00:02:57.080 --> 00:02:58.480]  一起去地方
[00:02:58.480 --> 00:02:59.600]  一起受苦
[00:02:59.600 --> 00:03:00.720]  一起開心
[00:03:00.720 --> 00:03:02.200]  一起吃飯
[00:03:02.200 --> 00:03:03.640]  是這樣的
[00:03:03.640 --> 00:03:05.800]  那所以呢,就是很不同的
[00:03:05.800 --> 00:03:06.960]  那基督徒是什麼呢?
[00:03:06.960 --> 00:03:10.280]  因為我們信的是耶穌基督嘛
[00:03:10.280 --> 00:03:11.800]  所以就叫做基督徒
[00:03:11.800 --> 00:03:13.200]  那基督是什麼意思呢?
[00:03:13.200 --> 00:03:14.200]  基督這個字呢
[00:03:14.200 --> 00:03:16.680]  就是舊約裡面有一個叫彌賽亞
[00:03:16.680 --> 00:03:18.080]  英文叫 Messiah
[00:03:18.080 --> 00:03:19.360]  中文叫 Christ
[00:03:19.360 --> 00:03:21.200]  所以我們叫 Jesus Christ
[00:03:21.200 --> 00:03:22.920]  是不是? Jesus Christ
[00:03:22.920 --> 00:03:25.040]  其實這個 Messiah 這個字
[00:03:25.040 --> 00:03:27.360]  跟 Christ 這個字是同一個意思的
[00:03:27.360 --> 00:03:29.080]  只不過一個是希伯來文
[00:03:29.080 --> 00:03:31.080]  一個呢,就是希列文
[00:03:31.080 --> 00:03:33.080]  那英文是什麼呢?
[00:03:33.080 --> 00:03:35.600]  英文是什麼呢?
[00:03:35.600 --> 00:03:36.480]  Christ 嘛
[00:03:36.480 --> 00:03:38.520]  Christ 就是英文
[00:03:38.520 --> 00:03:39.680]  那個音嘛
[00:03:39.680 --> 00:03:40.960]  那其實這個字是什麼呢?
[00:03:40.960 --> 00:03:41.880]  其實這個字有意思的
[00:03:41.880 --> 00:03:42.760]  這個字就是說
[00:03:42.760 --> 00:03:44.480]  壽高的意思
[00:03:44.480 --> 00:03:45.520]  壽高的
[00:03:45.520 --> 00:03:46.480]  壽高的意思是什麼呢?
[00:03:46.480 --> 00:03:50.040]  就是說君王、祭司和先知在舊約裡面
[00:03:50.040 --> 00:03:53.280]  是要經過用油在頭上壽高
[00:03:53.280 --> 00:03:58.160]  那就是說有一個是被接納了
[00:03:58.160 --> 00:04:01.080]  就成為了神的喜悅
[00:04:01.080 --> 00:04:05.000]  或者是神給他成為了君王
[00:04:05.000 --> 00:04:06.160]  或者祭司或者先知
[00:04:06.160 --> 00:04:08.040]  好像今天做傳道
