
[00:00:00.000 --> 00:00:03.420]  多謝港牧師這麼客氣的介紹
[00:00:03.420 --> 00:00:05.820]  我就覺得有少少尷尬
[00:00:05.820 --> 00:00:08.760]  想起牧師應該是想起聖經
[00:00:08.760 --> 00:00:10.760]  怎會想起一件單車
[00:00:10.760 --> 00:00:12.760]  一個不務正業的人
[00:00:12.760 --> 00:00:15.120]  希望今天和你分享的
[00:00:15.120 --> 00:00:17.620]  你都發覺我是真的牧師
[00:00:17.620 --> 00:00:22.400]  講的訊息都是福音的好訊息
[00:00:22.400 --> 00:00:24.800]  講開仰慕的人
[00:00:24.800 --> 00:00:27.860]  我自己都是時常仰慕一些
[00:00:27.860 --> 00:00:30.360]  是很忠於福音
[00:00:30.360 --> 00:00:32.960]  亦都是能夠清楚表達的
[00:00:32.960 --> 00:00:35.760]  其中一位叫做郭培里
[00:00:35.760 --> 00:00:37.760]  不知道大家有沒有聽過
[00:00:37.760 --> 00:00:41.160]  我自己都是做得比較多的
[00:00:41.160 --> 00:00:42.760]  是翻譯的
[00:00:42.760 --> 00:00:46.700]  翻譯你知道自己沒有什麼原創的東西
[00:00:46.700 --> 00:00:49.060]  都是拿別人的東西
[00:00:49.060 --> 00:00:51.760]  所以自己真的沒有什麼很值得
[00:00:51.760 --> 00:00:54.560]  港牧師仰慕的地方
[00:00:54.560 --> 00:00:56.560]  多謝他客氣的介紹
[00:00:56.560 --> 00:00:58.960]  各位我今天和你分享的
[00:00:58.960 --> 00:01:03.460]  就是說到底你還欠缺什麼
[00:01:03.460 --> 00:01:07.260]  或者你的人生是已經非常非常的
[00:01:07.260 --> 00:01:09.260]  美滿幸福
[00:01:09.260 --> 00:01:13.260]  但是有沒有一件不可少的東西
[00:01:13.260 --> 00:01:15.760]  我們還是欠缺的呢
[00:01:15.760 --> 00:01:18.560]  你會不會問一下自己這個問題
[00:01:18.560 --> 00:01:22.060]  我還欠缺什麼
[00:01:22.060 --> 00:01:24.260]  如果你問對問題
[00:01:24.260 --> 00:01:26.660]  又找對答案
[00:01:26.660 --> 00:01:28.660]  那你的人生
[00:01:28.660 --> 00:01:33.260]  就一定會在一個很對的軌跡
[00:01:33.260 --> 00:01:34.760]  一直去走
[00:01:34.760 --> 00:01:36.360]  有力去走
[00:01:36.360 --> 00:01:40.060]  而且走到最終的時候
[00:01:40.060 --> 00:01:43.260]  你覺得是不枉此生
[00:01:43.260 --> 00:01:45.360]  有沒有想到沒有
[00:01:45.360 --> 00:01:47.860]  有時候我們寄託的東西
[00:01:47.860 --> 00:01:49.860]  或者是自己的事業
[00:01:49.860 --> 00:01:51.460]  或者是自己的學問
[00:01:51.460 --> 00:01:53.460]  或者是自己的家庭
[00:01:53.460 --> 00:01:57.360]  但是我懷疑這一切無論多好
[00:01:57.360 --> 00:02:00.660]  都未必可以將一個最終的
[00:02:00.660 --> 00:02:04.260]  最重要的答案給過我們
[00:02:04.260 --> 00:02:08.260]  我分享的就是聽過伯培里牧師
[00:02:08.260 --> 00:02:10.060]  講的一段經文
[00:02:10.060 --> 00:02:13.360]  我記得他說這個人就真的很精彩
[00:02:13.360 --> 00:02:14.560]  很出色
[00:02:14.560 --> 00:02:17.460]  簡直是社會的精英來的
[00:02:17.460 --> 00:02:20.260]  他問問題問到他很到家
[00:02:20.260 --> 00:02:23.660]  而且他問問題的那個對象
