
[00:00:00.000 --> 00:00:02.940]  OK,我們祈禱
[00:00:02.940 --> 00:00:04.940]  真是天父上帝,我們來到你面前
[00:00:04.940 --> 00:00:07.360]  我們不單止是要敬拜你
[00:00:07.360 --> 00:00:11.540]  還有我們真的要從你的華語當中得到幫助
[00:00:11.540 --> 00:00:14.500]  還有我們懇求你親自對我們講說話
[00:00:14.500 --> 00:00:19.080]  你透過你僕人所準備的訊息來對我們講說話
[00:00:19.080 --> 00:00:23.500]  讓我們明白真道願意走出來去榮耀你
[00:00:23.500 --> 00:00:25.200]  主亦交托給你
[00:00:25.200 --> 00:00:27.000]  求主你都給我們謙卑的心
[00:00:27.000 --> 00:00:31.000]  亦要有安靜的心去領受著你自己的華語
[00:00:31.000 --> 00:00:34.000]  奉主耶穌基督的成名,Amen
[00:00:34.000 --> 00:00:37.500]  好,今天我們又來到主題
[00:00:37.500 --> 00:00:41.800]  這次的主題應該是第十二的了
[00:00:41.800 --> 00:00:44.500]  不是,第十一
[00:00:44.500 --> 00:00:49.500]  第十一的主題這次是講衛生的
[00:00:49.500 --> 00:00:54.000]  上次我們講過謙卑,講過彼此尊重
[00:00:54.000 --> 00:00:56.500]  今天來到這個衛生的時候
[00:00:56.500 --> 00:00:58.500]  我們看看衛生
[00:00:58.500 --> 00:01:00.500]  要衛生給耶穌基督
[00:01:00.500 --> 00:01:02.500]  要衛生給上帝
[00:01:02.500 --> 00:01:06.500]  好像是很容易的一些說法
[00:01:06.500 --> 00:01:09.500]  但是原來我們也發覺到
[00:01:09.500 --> 00:01:14.000]  在衛生方面我們其實有很多的難阻
[00:01:14.000 --> 00:01:16.000]  其中今天我們要看看
[00:01:16.000 --> 00:01:19.000]  有什麼難阻我們需要去突破
[00:01:19.000 --> 00:01:21.500]  以致我們衛生給基督
[00:01:21.500 --> 00:01:23.000]  衛生給神的時候
[00:01:23.000 --> 00:01:27.500]  不會受這些難阻而令到我們有困難
[00:01:27.500 --> 00:01:32.000]  馬太福音這段今天我們所讀的經文
[00:01:32.000 --> 00:01:36.000]  就是登身部分的一段經文
[00:01:36.000 --> 00:01:40.000]  如果之前大家有留意到的時候
[00:01:40.000 --> 00:01:44.000]  我們也曾經講過馬太福音在登身部分
[00:01:44.000 --> 00:01:50.000]  就拿到一些經文去看其他的主題
[00:01:50.000 --> 00:01:54.000]  我相信可能你也會記得
[00:01:54.000 --> 00:01:56.000]  我曾經講過尊重神
[00:01:56.000 --> 00:01:59.000]  以至於尊重人的那篇講道
[00:01:59.000 --> 00:02:02.500]  就是登身部分的其中一段經文
[00:02:02.500 --> 00:02:08.500]  今天也來到登身部分的另外一段教導
[00:02:08.500 --> 00:02:15.000]  再次給弟兄姊妹們去記住
[00:02:15.000 --> 00:02:21.000]  其實登身部分是主耶穌對他的門徒的要求
[00:02:21.000 --> 00:02:25.000]  他對象主要是跟隨他的人
[00:02:25.000 --> 00:02:26.500]  是那些門徒
[00:02:26.500 --> 00:02:32.000]  他對他們的要求是高過世上的標準
[00:02:32.000 --> 00:02:34.500]  這些要求當中
[00:02:34.500 --> 00:02:38.000]  今天要講的就是衛生
[00:02:38.000 --> 00:02:43.000]  我們信徒怎樣去衛生給耶穌
[00:02:43.000 --> 00:02:44.500]  怎樣去衛生給神
[00:02:44.500 --> 00:02:49.000]  我們才可以配得上去跟隨他
[00:02:49.000 --> 00:02:52.000]  如果你記得主耶穌也說過
[00:02:52.000 --> 00:02:54.000]  若有人要跟從我
[00:02:54.000 --> 00:02:58.500]  就應該背起十字架來跟從我
[00:02:58.500 --> 00:03:00.500]  這個背起十字架
[00:03:00.500 --> 00:03:05.000]  不表示我們每一個人都一定會有困難
[00:03:05.000 --> 00:03:08.000]  或者有災難來到我們身上
[00:03:08.000 --> 00:03:11.000]  我們就背起十字架來跟隨耶穌
[00:03:11.000 --> 00:03:12.500]  但更重要的是
[00:03:12.500 --> 00:03:15.500]  你要準備
[00:03:15.500 --> 00:03:17.500]  無論遇到什麼困難
[00:03:17.500 --> 00:03:20.500]  你都要這樣跟隨主耶穌
[00:03:20.500 --> 00:03:26.000]  這就是衛生的一種表現
[00:03:26.000 --> 00:03:30.000]  主耶穌帶我們來到這個神的大家庭當中
[00:03:30.000 --> 00:03:33.000]  我們成為這個大家庭的一份子
[00:03:33.000 --> 00:03:36.000]  我是這個大家庭的家人
[00:03:36.000 --> 00:03:39.000]  你想想作為一個家人在一個家庭當中
[00:03:39.000 --> 00:03:41.500]  是否我們需要去衛生
[00:03:41.500 --> 00:03:43.500]  是否我們需要去投入
[00:03:43.500 --> 00:03:45.000]  我們需要去負責任
[00:03:45.000 --> 00:03:49.500]  這就等於你來到神的天國這個大家庭當中
[00:03:49.500 --> 00:03:51.000]  你都需要做的事
[00:03:51.000 --> 00:03:52.500]  你是需要負責任的
[00:03:52.500 --> 00:03:54.000]  你是需要投入的
[00:03:54.000 --> 00:03:58.000]  你是需要在當中有衛生
[00:03:58.000 --> 00:04:00.500]  說到衛生於神的時候
[00:04:00.500 --> 00:04:03.500]  主耶穌用一句說話來總括了
[00:04:03.500 --> 00:04:06.000]  剛才我們讀的經文
[00:04:06.000 --> 00:04:08.000]  在第33節就說
[00:04:08.000 --> 00:04:11.000]  你們要先求他的國
[00:04:11.000 --> 00:04:13.000]  和他的義
