
[00:00:00.000 --> 00:00:03.000]  寄兄姊妹平安
[00:00:03.000 --> 00:00:06.000]  在這裡從台灣跟大家問候
[00:00:06.000 --> 00:00:14.000]  現在是我們台灣的早上3點45分
[00:00:14.000 --> 00:00:18.000]  我們是在半夜起來跟大家一起來講到
[00:00:18.000 --> 00:00:23.000]  我相信這段時間寄兄姊妹們都感受到
[00:00:23.000 --> 00:00:28.000]  在這個疫情 台灣現在雖然是開放
[00:00:28.000 --> 00:00:31.000]  那麼中國大陸從1月8號也開始開放
[00:00:31.000 --> 00:00:37.000]  但是這個疫情其實是又起來了
[00:00:37.000 --> 00:00:39.000]  但是我們可以看見
[00:00:39.000 --> 00:00:42.000]  這個疫情一直在變化的中間
[00:00:42.000 --> 00:00:48.000]  那麼不管是解封或者是又是怎麼樣子
[00:00:48.000 --> 00:00:49.000]  一個新奇的發生
[00:00:49.000 --> 00:00:55.000]  好像今天我們天天都處在一個不定的環境當中
[00:00:55.000 --> 00:00:59.000]  那麼在這個新的一年的開始
[00:00:59.000 --> 00:01:03.000]  我盼望雖然是我們仍然不能夠確定
[00:01:03.000 --> 00:01:05.000]  未來是如何
[00:01:05.000 --> 00:01:07.000]  甚至我們都不能夠確定
[00:01:07.000 --> 00:01:10.000]  這今年是會是一個怎麼樣的一個年
[00:01:10.000 --> 00:01:15.000]  但是讓我們仍然帶著一個盼望的心
[00:01:15.000 --> 00:01:18.000]  來開啟這一年的時間
[00:01:18.000 --> 00:01:21.000]  在格魯西書第一章27節
[00:01:21.000 --> 00:01:26.000]  今天我們所讀的經文裡面提到
[00:01:26.000 --> 00:01:28.000]  他說神願意叫他們知道
[00:01:28.000 --> 00:01:35.000]  這奧秘在外邦人中有何等豐盛的榮耀
[00:01:35.000 --> 00:01:42.000]  就是基督在你們心裡成了有榮耀的盼望
[00:01:42.000 --> 00:01:45.000]  在這個地方提到一句話說
[00:01:45.000 --> 00:01:50.000]  基督在你們心裡成了有榮耀的盼望
[00:01:50.000 --> 00:01:52.000]  丟梓貝跟你旁邊說
[00:01:52.000 --> 00:01:58.000]  基督在你的心裡成了有榮耀的盼望
[00:01:58.000 --> 00:02:01.000]  現在丟梓貝
[00:02:01.000 --> 00:02:05.000]  今天這個時代當你打開報紙打開新聞
[00:02:05.000 --> 00:02:08.000]  你聽到的你所看到的
