
[00:00:00.000 --> 00:00:04.800]  我們看羅馬書時一定要認識一個很基本的前提
[00:00:04.800 --> 00:00:08.600]  就是保羅對神恩典的看法
[00:00:08.600 --> 00:00:10.100]  是看得很重
[00:00:10.100 --> 00:00:13.600]  他覺得這是世界上最珍貴的一件事
[00:00:13.600 --> 00:00:17.100]  對保羅來說在大媽世家路上的經歷
[00:00:17.100 --> 00:00:22.300]  讓他感覺到神基督耶穌的奇妙的愛
[00:00:22.300 --> 00:00:26.300]  和無價可比的恩典
[00:00:26.300 --> 00:00:27.900]  他以前是一個怎樣的人呢?
[00:00:27.900 --> 00:00:30.000]  他是一個逼迫基督徒的人
[00:00:30.000 --> 00:00:32.200]  人家要扔死史蒂芬的時候用石頭扔
[00:00:32.200 --> 00:00:34.900]  他還幫人拿衣服
[00:00:34.900 --> 00:00:36.300]  他說了一句名句
[00:00:36.300 --> 00:00:38.700]  這句名句是什麼呢?
[00:00:38.700 --> 00:00:42.500]  他說:上帝對我們顯示了無比的愛
[00:00:42.500 --> 00:00:45.200]  當我們還是罪人的時候
[00:00:45.200 --> 00:00:47.500]  基督已經為我們死了
[00:00:47.500 --> 00:00:51.300]  這位上兩課的目者已經跟我們分享過
[00:00:51.300 --> 00:00:53.500]  這個羅馬書第五章八節
[00:00:53.500 --> 00:00:56.500]  不是說人我們有什麼值得神的愛
[00:00:56.500 --> 00:01:00.700]  或者我們做了一些事情值得神的愛
[00:01:00.700 --> 00:01:04.000]  當我們還是罪的奴僕的時候
[00:01:04.000 --> 00:01:06.200]  根本就不值得神的愛
[00:01:06.200 --> 00:01:09.900]  但是他的恩典臨到我們身上
[00:01:09.900 --> 00:01:11.400]  在這個前提之下
[00:01:11.400 --> 00:01:13.200]  神先愛我們
[00:01:13.200 --> 00:01:14.900]  而且這個愛是無價的
[00:01:14.900 --> 00:01:16.900]  是百百次給我們
[00:01:16.900 --> 00:01:18.600]  所以聖經馬太福音說
[00:01:18.600 --> 00:01:20.500]  一個年輕的官來到耶穌面前
[00:01:20.500 --> 00:01:23.200]  他說:律法我守了
[00:01:23.200 --> 00:01:25.400]  我怎樣來換你的榮生呢?
[00:01:25.400 --> 00:01:28.700]  第一,我自己就不覺得他真的守了
[00:01:28.700 --> 00:01:30.000]  律法的目的是什麼?
[00:01:30.000 --> 00:01:32.000]  讓你知道你是個罪人
[00:01:32.000 --> 00:01:34.900]  如果你看一下查什麼叫律法
[00:01:34.900 --> 00:01:36.800]  當他們被猶太人被擄的時候
[00:01:36.800 --> 00:01:38.300]  在巴比倫已經開始寫了
[00:01:38.300 --> 00:01:40.100]  那些塔木耳
[00:01:40.100 --> 00:01:41.600]  613條
[00:01:41.600 --> 00:01:43.600]  洗個手怎樣洗都有一定的次序
[00:01:43.600 --> 00:01:46.600]  洗個臉怎樣洗都有一定的次序
[00:01:46.600 --> 00:01:48.800]  你是不是真的能夠守得到呢?
[00:01:48.800 --> 00:01:52.500]  律法是讓我們知道我們是個罪人
[00:01:52.500 --> 00:01:53.600]  在這裡我想停一停
[00:01:53.600 --> 00:01:57.300]  我想花三四分鐘講一講自己的經歷
[00:01:57.300 --> 00:02:02.800]  因為這三個禮拜都挺辛苦的
[00:02:02.800 --> 00:02:05.800]  三個禮拜前我去了一個很短的短訊
[00:02:05.800 --> 00:02:10.200]  三天在中國某個三線四線城市裡
[00:02:10.200 --> 00:02:12.200]  一去到第一天我就很感動
[00:02:12.200 --> 00:02:16.000]  因為看到有些很毀身的墓者
[00:02:16.000 --> 00:02:17.600]  真的很毀身
[00:02:17.600 --> 00:02:19.200]  那個墓者轉身都轉不到
[00:02:19.200 --> 00:02:21.400]  背部已經是脊骨有事
[00:02:21.400 --> 00:02:26.200]  但是我看到神給他的力量在那裡的教會
[00:02:26.200 --> 00:02:29.600]  但是當晚我馬上發高燒
[00:02:29.600 --> 00:02:30.600]  但是又很好
[00:02:30.600 --> 00:02:35.000]  兩粒Paracetamol那些超級Panadol
