
[00:00:00.000 --> 00:00:03.400]  今年暑假我們教會有四個不同的短訓
[00:00:03.400 --> 00:00:04.900]  是否四個呢?
[00:00:04.900 --> 00:00:05.900]  應該是四個
[00:00:05.900 --> 00:00:06.900]  一個去洛杉磯
[00:00:06.900 --> 00:00:08.900]  一個去紐約
[00:00:08.900 --> 00:00:12.400]  另外有兩個在中國大陸的短訓
[00:00:12.400 --> 00:00:15.900]  今年我們去紐約的短訓隊
[00:00:15.900 --> 00:00:20.900]  全部都是高中生
[00:00:20.900 --> 00:00:24.900]  今次的經驗是開了他們的眼界
[00:00:24.900 --> 00:00:29.900]  他們沒有想過到紐約的時候要做這樣的事情
[00:00:29.900 --> 00:00:31.900]  想和大家分享一下
[00:00:31.900 --> 00:00:34.900]  他們其中一個參加者的見證
[00:00:34.900 --> 00:00:35.900]  他今天來不了
[00:00:35.900 --> 00:00:37.900]  所以唯有拍攝了
[00:00:37.900 --> 00:00:38.900]  說英文的
[00:00:38.900 --> 00:00:40.900]  不過應該不是太難聽
[00:00:54.900 --> 00:01:18.900]  (英文)
[00:01:18.900 --> 00:01:21.900]  (英文)
[00:01:21.900 --> 00:01:45.900]  (英文)
[00:01:45.900 --> 00:01:56.900]  (英文)
[00:01:56.900 --> 00:02:09.900]  (英文)
[00:02:09.900 --> 00:02:32.900]  (英文)
[00:02:32.900 --> 00:02:56.900]  (英文)
[00:02:56.900 --> 00:02:58.900]  大家可不可以相信一個年輕人
[00:02:58.900 --> 00:03:03.900]  (英文)
[00:03:03.900 --> 00:03:06.900]  三年前他已經去紐約做短訓
[00:03:06.900 --> 00:03:08.900]  在街頭報道
[00:03:08.900 --> 00:03:09.900]  有時候我在想
[00:03:09.900 --> 00:03:10.900]  這班年輕人
[00:03:10.900 --> 00:03:14.900]  可能很多大人說話都沒有他們那麼流利
[00:03:14.900 --> 00:03:15.900]  會不會呢?
[00:03:15.900 --> 00:03:17.900]  可能我們做爹地媽咪
[00:03:17.900 --> 00:03:19.900]  又不用看廣告
[00:03:19.900 --> 00:03:20.900]  (英文)
[00:03:20.900 --> 00:03:23.900]  所以我看到今天的年輕人
[00:03:23.900 --> 00:03:27.900]  聰明、醒目、有勇氣
[00:03:27.900 --> 00:03:29.900]  其實你不知道原來
[00:03:29.900 --> 00:03:31.900]  他們是very capable
[00:03:31.900 --> 00:03:33.900]  相當有能力
[00:03:33.900 --> 00:03:34.900]  可以去衛生
[00:03:34.900 --> 00:03:36.900]  做這樣的工作
[00:03:36.900 --> 00:03:37.900]  當然
[00:03:37.900 --> 00:03:38.900]  街頭報道
[00:03:38.900 --> 00:03:41.900]  因為他說從來不知道做了什麼
[00:03:41.900 --> 00:03:42.900]  去到那一晚
[00:03:42.900 --> 00:03:45.900]  才說明天你們去街頭報道
[00:03:45.900 --> 00:03:47.900]  有沒有訓練?
[00:03:47.900 --> 00:03:48.900]  去之前
[00:03:48.900 --> 00:03:49.900]  Pastor Matt、Pastor Daniel
[00:03:49.900 --> 00:03:51.900]  給了你一點訓練
[00:03:51.900 --> 00:03:54.900]  一個下午兩個小時
[00:03:54.900 --> 00:03:58.900]  他們是不是教一個leader?
[00:03:58.900 --> 00:04:00.900]  很明顯不是
[00:04:00.900 --> 00:04:01.900]  但是這班年輕人
[00:04:01.900 --> 00:04:04.900]  竟然可以完成他們的工作
[00:04:04.900 --> 00:04:05.900]  每一天
[00:04:05.900 --> 00:04:06.900]  每一天
[00:04:06.900 --> 00:04:08.900]  去到紐約街頭
[00:04:08.900 --> 00:04:09.900]  華爾街
[00:04:09.900 --> 00:04:11.900]  Worker's Center
[00:04:11.900 --> 00:04:13.900]  在那裡和陌生人
[00:04:13.900 --> 00:04:14.900]  分享信仰
[00:04:14.900 --> 00:04:16.900]  講福音
[00:04:16.900 --> 00:04:19.900]  我覺得為什麼他們能夠做到這樣的事情?
[00:04:19.900 --> 00:04:20.900]  他們有沒有受過訓練?
[00:04:20.900 --> 00:04:21.900]  有沒有其他的東西?
[00:04:21.900 --> 00:04:22.900]  我相信
[00:04:22.900 --> 00:04:25.900]  其中一個最主要的原因是什麼?
[00:04:25.900 --> 00:04:26.900]  因為他們去的時候
[00:04:26.900 --> 00:04:29.900]  帶著宣教的心
