
[00:00:00.000 --> 00:00:03.120]  我們一起讀的是《舊約聖經》
[00:00:03.120 --> 00:00:07.880]  我們有個題目叫做《基督自保盡藏舊約》
[00:00:07.880 --> 00:00:09.620]  不同的地方就是
[00:00:09.620 --> 00:00:11.700]  我們不單止只是看一個故事
[00:00:11.700 --> 00:00:16.880]  我們想將整個故事在整本聖經裡面去明白
[00:00:16.880 --> 00:00:19.040]  原來聖經是一本書來的
[00:00:19.040 --> 00:00:22.820]  舊約很多時候是一個影子指向新約
[00:00:22.820 --> 00:00:26.860]  我們已經讀到獵王記上下了
[00:00:26.860 --> 00:00:30.760]  如果你是有跟著我們那個讀經計劃去
[00:00:30.760 --> 00:00:32.820]  今天1月1號你看一下
[00:00:32.820 --> 00:00:37.360]  就會讀獵王記上第19、第20章
[00:00:37.360 --> 00:00:40.920]  明天繼續21至22章
[00:00:40.920 --> 00:00:44.800]  我今天就會和大家講這個
[00:00:44.800 --> 00:00:49.080]  獵王記上第19章 以利沙的呼召
[00:00:49.080 --> 00:00:53.840]  去到這個位 在聖經裡面那個歷史
[00:00:53.840 --> 00:00:56.680]  我們已經進入非常歷史的部分
[00:00:56.680 --> 00:01:01.940]  我想值得我想和大家去溫習一下
[00:01:01.940 --> 00:01:04.420]  一個簡短的舊約歷史
[00:01:04.420 --> 00:01:08.220]  因為如果你明白舊約歷史是怎麼樣的
[00:01:08.220 --> 00:01:10.680]  你知道那些書在哪裡寫的
[00:01:10.680 --> 00:01:13.340]  我想你就清晰很多 如果不是的話
[00:01:13.340 --> 00:01:16.320]  我記得我很多年讀聖經都不知道發生什麼事
[00:01:16.320 --> 00:01:19.820]  因為不是很熟悉舊約的歷史
[00:01:19.820 --> 00:01:22.700]  其實舊約歷史不是這麼複雜的
[00:01:22.700 --> 00:01:27.460]  如果你可以抓到一些重要的點
[00:01:27.460 --> 00:01:32.420]  就是里程碑 其實你都是抓到大概的神髓的
[00:01:32.420 --> 00:01:35.740]  如果你說從以色列人的歷史角度來說
[00:01:35.740 --> 00:01:38.760]  你可以說他們從阿伯拉罕大約公元前
[00:01:38.760 --> 00:01:42.280]  2000年的那個呼召開始
[00:01:42.280 --> 00:01:45.020]  我們最近在聖誕節的時候
[00:01:45.020 --> 00:01:47.880]  剛剛講完兩篇講阿伯拉罕的呼召
[00:01:47.880 --> 00:01:52.140]  是非常有意思 也是有深度的
[00:01:52.140 --> 00:01:55.540]  如果大家有機會都可以回去聽一下
[00:01:55.540 --> 00:02:02.960]  阿伯拉罕 接著在阿伯拉罕以撒瓦閣
[00:02:02.960 --> 00:02:09.020]  接著在約瑟那個時候就去了埃及
[00:02:09.020 --> 00:02:11.720]  但是約瑟創世紀完的時候
[00:02:11.720 --> 00:02:14.980]  已經在預言將來會有一個出埃及
[00:02:14.980 --> 00:02:18.020]  於是去到摩西的時候
[00:02:18.020 --> 00:02:21.260]  在上帝通過摩西在大以色列出埃及
[00:02:21.260 --> 00:02:24.400]  大概是公元前1440年左右
[00:02:24.400 --> 00:02:28.380]  當然這些號碼都有很多不同的討論
[00:02:28.380 --> 00:02:31.360]  不同的學者有不同的看法
[00:02:31.360 --> 00:02:35.320]  出了埃及之後
[00:02:35.320 --> 00:02:37.440]  本來應該很快可以去到迦南
[00:02:37.440 --> 00:02:41.440]  但是因為他們在曠野中的大叛逆
[00:02:41.440 --> 00:02:45.160]  一會兒我們會透過摩西五經的一些主題
[00:02:45.160 --> 00:02:49.160]  所以他們結果就是有40年的時間
[00:02:49.160 --> 00:02:51.920]  在曠野以至一代過去一代再來
[00:02:51.920 --> 00:02:53.220]  接著進入迦南
[00:02:53.220 --> 00:02:57.760]  帶我們進入約瑟亞紀和史詩紀
[00:02:57.760 --> 00:03:01.400]  結果就成為一個非常混亂的時代
[00:03:01.400 --> 00:03:04.040]  於是史詩紀最後是一個呼喊
[00:03:04.040 --> 00:03:08.120]  我們需要一個君王以色列人國中沒有王
[00:03:08.120 --> 00:03:12.680]  做自己眼中害惡的事
[00:03:12.680 --> 00:03:16.360]  於是就開始了君王
[00:03:16.360 --> 00:03:19.220]  這個就帶我們進入薩姆爾紀
[00:03:19.220 --> 00:03:24.020]  薩姆爾紀裡面有的是蘇羅王和大衛王
[00:03:24.020 --> 00:03:27.580]  其實兩個結果都不是很皇帝
[00:03:27.580 --> 00:03:30.140]  如果你記得那個大圖畫
[00:03:30.140 --> 00:03:35.140]  就是蘇羅和大衛都是兩個君王的上升和下墜
[00:03:35.140 --> 00:03:40.020]  就完結了薩姆爾紀上下
[00:03:40.020 --> 00:03:43.140]  接著就去到列王紀上下
[00:03:43.140 --> 00:03:44.180]  就是我們現在在看的
[00:03:44.180 --> 00:03:47.940]  其實一開始就是大衛傳位給索羅門
[00:03:47.940 --> 00:03:51.740]  如果你上個星期有聽我的《家有雜誌》
[00:03:51.740 --> 00:03:56.540]  你都知道上個星期其實是在講索羅門的上升和下墜
[00:03:56.540 --> 00:04:01.720]  索羅門的故事在列王紀上的一至十一章
[00:04:01.720 --> 00:04:05.140]  其實反映了索羅門都是下墜
[00:04:05.140 --> 00:04:06.780]  而且下墜得很厲害
[00:04:06.780 --> 00:04:08.360]  因為索羅門的墜
[00:04:08.360 --> 00:04:11.440]  因為他貪愛愛邦女子
[00:04:11.440 --> 00:04:14.100]  也跟他們一起去敬拜那些假偶像
[00:04:14.100 --> 00:04:18.300]  以色列人墮入了一個空前的一個罪孽
[00:04:18.300 --> 00:04:20.260]  因為這個罪孽的緣故
[00:04:20.260 --> 00:04:25.300]  上帝就將大衛的國一分為二
[00:04:25.300 --> 00:04:28.100]  分了南國和北國
[00:04:28.100 --> 00:04:31.760]  如果你知道大概北國是叫以色列
[00:04:31.760 --> 00:04:35.060]  南國就是猶大
[00:04:35.060 --> 00:04:36.980]  主要就是猶大的支派
[00:04:36.980 --> 00:04:39.140]  北國其它的支派
[00:04:39.140 --> 00:04:42.100]  很可惜就算分裂了之後
[00:04:42.100 --> 00:04:48.100]  其實南北都不是忠心敬拜
[00:04:48.100 --> 00:04:55.000]  北面尤其是整個國都是拜偶像、假神的
[00:04:55.000 --> 00:04:58.820]  因為這個緣故上帝就派遣了亞述人
[00:04:58.820 --> 00:05:02.700]  廢了或者滅了以色列國
[00:05:02.700 --> 00:05:04.060]  北面的以色列國
[00:05:04.060 --> 00:05:06.380]  公元721年
[00:05:06.380 --> 00:05:10.940]  南國本來都應該是吸取教訓
[00:05:10.940 --> 00:05:13.900]  但結果他們也都沒有吸取教訓
[00:05:13.900 --> 00:05:20.140]  而令到他們自己都繼續墮落
[00:05:20.140 --> 00:05:22.540]  那些君王很墮落
[00:05:22.540 --> 00:05:27.920]  帶著整個國家一起去敬拜假神
[00:05:27.920 --> 00:05:30.420]  於是在巴比倫
[00:05:30.420 --> 00:05:35.520]  也在公元前586年就將南國都滅了
