
[00:00:00.000 --> 00:00:03.600]  今日我揀呢一個嘅題目呢有兩個原因
[00:00:03.600 --> 00:00:07.120]  第一有部劇集叫做《曾榮歲月》
[00:00:07.120 --> 00:00:08.840]  我未睇曬呀
[00:00:08.840 --> 00:00:10.760]  都係講國內而家呢
[00:00:10.760 --> 00:00:12.960]  好成功嘅企業家
[00:00:12.960 --> 00:00:15.800]  過往係政策未開放嘅時候
[00:00:15.800 --> 00:00:19.440]  佢哋春江水暖鴨先知
[00:00:19.440 --> 00:00:24.480]  預先呢係做一啲自由經濟嘅活動
[00:00:24.480 --> 00:00:26.240]  結果呢今日成為
[00:00:26.480 --> 00:00:30.400]  中國好多行業裏面嘅億萬富翁
[00:00:30.400 --> 00:00:33.880]  所以喺每一個階段嘅轉變裏面
[00:00:33.880 --> 00:00:35.840]  能夠預掌先機
[00:00:35.840 --> 00:00:36.720]  係好特別
[00:00:36.720 --> 00:00:39.280]  佢哋過往呢
[00:00:39.280 --> 00:00:43.440]  掙扎嗰啲嘅情況呢
[00:00:43.440 --> 00:00:46.120]  就真係好賺人熱淚
[00:00:46.120 --> 00:00:49.320]  咁另外一個原因呢就最近有一班
[00:00:49.320 --> 00:00:51.760]  港福好資深嘅一班人
[00:00:51.760 --> 00:00:54.560]  佢哋圍爐取暖
[00:00:54.960 --> 00:00:56.960]  取暖完畢就搵一個人傳
[00:00:56.960 --> 00:00:58.640]  WhatsApp話畀佢聽
[00:00:58.640 --> 00:01:00.320]  佢話牧師呀
[00:01:00.320 --> 00:01:03.000]  我哋班大英子母好懷念昔日
[00:01:03.000 --> 00:01:07.360]  即係入A3就捲起褲腳
[00:01:07.360 --> 00:01:09.680]  由二百人到今日
[00:01:09.680 --> 00:01:12.320]  用過幾間酒店
[00:01:12.320 --> 00:01:15.440]  所以會展唔敢借畀我哋其中一原因
[00:01:15.440 --> 00:01:17.440]  就係我借親邊間邊間賊
[00:01:17.440 --> 00:01:20.080]  即係呢個Hilton
[00:01:20.080 --> 00:01:21.560]  做咗長實呀
[00:01:21.560 --> 00:01:23.440]  仲有呢個Furama
[00:01:23.760 --> 00:01:25.720]  仲有呢個Ritz Carlton
[00:01:25.720 --> 00:01:29.960]  Conrad冇拆但佢都大裝瘦
[00:01:29.960 --> 00:01:31.360]  所以我哋要逼佢出嚟
[00:01:31.360 --> 00:01:34.880]  咁呢另外嗰啲嘅Office呢
[00:01:34.880 --> 00:01:37.040]  由華昌啦
[00:01:37.040 --> 00:01:38.800]  嗰條好斜嗰條路
[00:01:38.800 --> 00:01:42.280]  華昌咁呢就搬咗落鑽石會
[00:01:42.280 --> 00:01:43.920]  鑽石會再嚟到呢度
[00:01:43.920 --> 00:01:45.960]  呢度由三分二
[00:01:45.960 --> 00:01:47.240]  到全層
[00:01:47.240 --> 00:01:48.640]  到連埋二樓
[00:01:48.640 --> 00:01:50.320]  當中好漂泊
[00:01:50.320 --> 00:01:53.600]  丁姐妹同埋當時嘅童工
[00:01:53.800 --> 00:01:55.080]  都相當付出
