
[00:00:00.000 --> 00:00:06.600]  主耶穌說:你們要到全世界 直到地極傳揚這個訊息 福音
[00:00:06.600 --> 00:00:12.940]  所以福音眾議員會的望渡號 又回到香港了
[00:00:12.940 --> 00:00:19.220]  我們第一隻來香港的船 增到差不多四十年前
[00:00:26.740 --> 00:00:31.780]  一九六零年的伊麗莎白皇后號 曾經坐在我們的海港那裏
[00:00:31.780 --> 00:00:38.640]  遲些我會再見到她 在詹士邦的片裏面
[00:00:38.640 --> 00:00:45.820]  我們記得主耶穌在臨升天之前的說話
[00:00:54.480 --> 00:00:57.360]  當聖靈來到你身上 臨充滿你的時候
[00:00:57.360 --> 00:01:01.800]  你就會去到耶路撒冷 撒瑪利亞 猶太地極 做我們的見證
[00:01:01.800 --> 00:01:18.320]  我們也記得聖經裏面說到 我們每一天將神的話語傳到世界的各地
[00:01:21.920 --> 00:01:26.000]  我的生命開始的時候 就由美國的紐約開始
[00:01:26.000 --> 00:01:36.440]  我的爸爸和我的祖父就由荷蘭 一路來到美國定居
[00:01:36.440 --> 00:01:40.800]  我的祖父其實是一個無神論者
[00:01:40.800 --> 00:01:43.260]  他不相信有神
[00:01:43.260 --> 00:01:47.920]  但是神有很奇妙的計劃
[00:01:47.920 --> 00:01:51.640]  我想多講一點給你知
[00:01:52.920 --> 00:01:55.440]  當我們也看看剛才讀的兩段經文
[00:01:55.440 --> 00:02:03.040]  但是我們今天早上有些很特別的東西要給你
[00:02:03.040 --> 00:02:16.600]  今天早上我們很開心 因為貴教會真的支持了我們OM的工作很多年
[00:02:16.600 --> 00:02:20.000]  所以今天早上我願意每人都送兩本書給你 免費的
[00:02:21.920 --> 00:02:29.720]  特別是我們親愛的姊妹陳平明姑娘在OM服侍了很多年
[00:02:29.720 --> 00:02:37.000]  我很想一本是我自己寫的書送給你
[00:02:37.000 --> 00:02:44.520]  也不是很好 因為也賣不出去
[00:02:52.800 --> 00:02:57.760]  但是我們底下有很多書 雖然其他那三堂的弟兄姊妹已經帶了很多書走了
[00:02:57.760 --> 00:03:05.360]  昨晚我就和大家說 我送免費的書給你們
[00:03:05.360 --> 00:03:12.520]  但是楊牧師來報告的時候說 我們拿了那些書也是做一些奉獻
[00:03:12.520 --> 00:03:19.960]  現在我和楊牧師要有一點點的協調了 大家
[00:03:22.920 --> 00:03:31.120]  第一 第二本書是免費送給你 我送給你的 但是接著你就可以奉獻
[00:03:31.120 --> 00:03:38.320]  有人說 哇 為什麼你還拿這麼多書來 香港已經有很多書賣了
[00:03:38.320 --> 00:03:44.320]  我希望你們今天也有機會可以去探望這個望渡號
[00:03:44.320 --> 00:03:45.920]  因為今天是最後一天開船
