
[00:00:00.000 --> 00:00:01.520]  每一年年尾的時候
[00:00:01.520 --> 00:00:03.800]  無論報紙、大眾傳媒
[00:00:03.800 --> 00:00:08.920]  都會來來去去有當年的十大事件回顧
[00:00:08.920 --> 00:00:11.840]  或者叫大家選出一些事件
[00:00:11.840 --> 00:00:13.560]  是值得去檢視的
[00:00:13.560 --> 00:00:17.720]  電視台裡面也都會有一些國際大事回顧
[00:00:17.720 --> 00:00:18.840]  這個是對的
[00:00:18.840 --> 00:00:19.880]  但是我在想
[00:00:19.880 --> 00:00:23.240]  只是回顧知道有什麼事發生
[00:00:23.240 --> 00:00:24.920]  其實是不足夠的
[00:00:24.920 --> 00:00:26.720]  其實我們要去探索
[00:00:26.720 --> 00:00:28.880]  為什麼有這件事發生
[00:00:29.080 --> 00:00:30.440]  這件事發生之後
[00:00:30.440 --> 00:00:32.640]  那個後遺症影響
[00:00:32.640 --> 00:00:34.040]  是會有什麼事
[00:00:34.040 --> 00:00:36.800]  我們透過回顧、反思
[00:00:36.800 --> 00:00:39.720]  於是我們就能夠去檢視到
[00:00:39.720 --> 00:00:41.280]  究竟我們的生命裡面
[00:00:41.280 --> 00:00:42.560]  有什麼問題
[00:00:42.560 --> 00:00:44.760]  然後我們怎樣去面對未來的日子
[00:00:44.760 --> 00:00:46.160]  這個是很重要的
[00:00:46.160 --> 00:00:48.560]  作為基督徒我更加提醒
[00:00:48.560 --> 00:00:51.360]  我們應該在我們的年終的時候
[00:00:51.360 --> 00:00:53.080]  抽一些時間出來
[00:00:53.080 --> 00:00:55.000]  來檢討今天
[00:00:55.000 --> 00:00:57.600]  我這一年裡面我有什麼經歷
[00:00:57.760 --> 00:00:59.520]  我有什麼特別的感受
[00:00:59.520 --> 00:01:01.680]  或者我的成敗得失
[00:01:01.680 --> 00:01:03.640]  我屬靈的生命的成長
[00:01:03.640 --> 00:01:05.560]  還是倒退呢
[00:01:05.560 --> 00:01:07.960]  究竟神在我身上
[00:01:07.960 --> 00:01:10.400]  在今年裡面有什麼獨特的作為呢
