
[00:00:00.000 --> 00:00:04.440]  我們聽講道之前,我們先有個祈禱
[00:00:04.440 --> 00:00:08.760]  請我們每位頂子妹來到妳的私人寶座面前
[00:00:08.760 --> 00:00:11.240]  我們再一次向妳降服
[00:00:11.240 --> 00:00:14.000]  為妳打開我們的心眼,打開我們的靈
[00:00:14.000 --> 00:00:18.480]  讓我們領受聖靈,跟我們的心講說話
[00:00:18.480 --> 00:00:22.160]  奉耶穌基督名,吩咐一切仁義不屬於妳的
[00:00:22.160 --> 00:00:23.640]  難阻我們親近妳的
[00:00:23.640 --> 00:00:26.080]  一切的勢力都要離開我們
[00:00:26.080 --> 00:00:29.880]  讓我們今天每一位頂子妹都分別為聖
[00:00:29.880 --> 00:00:31.960]  我們單單的仰望妳
[00:00:31.960 --> 00:00:35.080]  聽妳的聲音,並且跟隨妳的心意
[00:00:35.080 --> 00:00:36.920]  多謝妳聽我們的禱告
[00:00:36.920 --> 00:00:40.840]  奉耶穌基督特聖的名,阿們
[00:00:40.840 --> 00:00:45.120]  我們中國人有一句說話叫做「薪火相傳」
[00:00:45.120 --> 00:00:50.840]  意思是把最好的祝福一代一代傳下去
[00:00:50.840 --> 00:00:55.080]  但究竟什麼是最好的祝福呢?
[00:00:55.080 --> 00:00:57.480]  2022年的福布斯雜誌
[00:00:57.480 --> 00:01:01.080]  仍然選李嘉誠為香港的首富
[00:01:01.080 --> 00:01:05.120]  李嘉誠究竟有什麼可以傳遞給他的下一代呢?
[00:01:05.120 --> 00:01:07.160]  我相信多數都是錢
[00:01:07.160 --> 00:01:12.080]  但是錢是不是最好的祝福呢?
[00:01:12.080 --> 00:01:14.600]  葉問,我都沒有人不認識
[00:01:14.600 --> 00:01:18.640]  葉問又想什麼傳遞給他的下一代呢?
[00:01:18.640 --> 00:01:21.320]  我覺得都是詠春的絕技
[00:01:21.320 --> 00:01:25.840]  但是詠春的絕技是不是最好的祝福呢?
[00:01:25.840 --> 00:01:28.280]  古臣巴菲特
[00:01:28.280 --> 00:01:30.880]  他有什麼傳遞給他的下一代呢?
[00:01:30.880 --> 00:01:33.760]  但是竟然不是一些炒股的絕技
[00:01:33.760 --> 00:01:35.640]  或者是投資的心得
[00:01:35.640 --> 00:01:39.040]  竟然是有自信心
[00:01:39.040 --> 00:01:44.720]  他的子女有發展一技之長的自由
[00:01:44.720 --> 00:01:49.120]  但是這些是不是都是最好的祝福呢?
[00:01:49.120 --> 00:01:52.360]  各位家長、各位爸爸媽媽
[00:01:52.360 --> 00:01:55.920]  你有什麼最好的祝福
[00:01:55.920 --> 00:01:59.080]  你希望傳遞給你的下一代呢?
[00:01:59.080 --> 00:02:02.720]  會不會是豐厚的家財
[00:02:02.720 --> 00:02:09.920]  讓你的下一代不用一生去為口奔馳
[00:02:09.920 --> 00:02:12.200]  又或者會不會是良好的教育呢?
[00:02:12.200 --> 00:02:16.960]  在世界知名的大學取得博士學位
[00:02:16.960 --> 00:02:20.480]  又或者會不會是良好的前程呢?
[00:02:20.480 --> 00:02:24.000]  在世界著名的瓜葛公司裡面擔任
[00:02:24.000 --> 00:02:27.040]  是最有前途的職位
[00:02:27.040 --> 00:02:30.120]  也會不會是美好的見證
[00:02:30.120 --> 00:02:37.280]  幫助你的下一代最終成為真心跟從耶穌的人
[00:02:37.280 --> 00:02:40.120]  父母子女組成家庭
[00:02:40.120 --> 00:02:41.960]  這個是神的心意
[00:02:41.960 --> 00:02:44.120]  但是同樣原來神的心意
[00:02:44.120 --> 00:02:47.480]  他的命定是希望通過這些家庭
[00:02:47.480 --> 00:02:50.400]  將神所賜給人的祝福
[00:02:50.400 --> 00:02:52.920]  一代一代地傳下去
[00:02:52.920 --> 00:02:55.960]  讓我們今天來看第一段聖經
[00:02:55.960 --> 00:02:58.800]  創世紀五章一至三節
[00:02:58.800 --> 00:03:00.360]  如果看到的話我們一起讀
[00:03:00.360 --> 00:03:02.080]  一二三
[00:03:02.080 --> 00:03:05.560]  當阿當的後代記在下面
[00:03:05.560 --> 00:03:07.680]  當神造人的日子
[00:03:07.680 --> 00:03:10.560]  是照著自己的樣式造的
[00:03:10.560 --> 00:03:12.800]  並且造男造女
[00:03:12.800 --> 00:03:15.480]  在他們被造的日子
[00:03:15.480 --> 00:03:18.000]  神賜福給他們
[00:03:18.000 --> 00:03:19.960]  稱他們為人
[00:03:19.960 --> 00:03:22.760]  阿當活到一百三十歲
[00:03:22.760 --> 00:03:24.880]  生了一個兒子
[00:03:24.880 --> 00:03:28.480]  形象樣式和自己相似
[00:03:28.480 --> 00:03:31.560]  就給他起名叫瑟特
[00:03:31.560 --> 00:03:34.240]  請留意中間
[00:03:34.240 --> 00:03:36.360]  神賜福給他們
[00:03:36.360 --> 00:03:38.000]  稱他們為人
[00:03:38.000 --> 00:03:39.760]  這個是分開的
[00:03:39.760 --> 00:03:43.200]  可能有些解經就說神賜福給他們
[00:03:43.200 --> 00:03:44.320]  所以稱他們為人
[00:03:44.320 --> 00:03:45.520]  不是,是兩樣東西
[00:03:45.520 --> 00:03:47.680]  神叫我們叫人類
