
[00:00:00.000 --> 00:00:02.400]  與主同行過豐年
[00:00:02.400 --> 00:00:08.100]  我們渴望我們人生走的是一個豐富的生活
[00:00:08.100 --> 00:00:12.180]  我們人生面對的是一個豐富的人生
[00:00:12.180 --> 00:00:20.720]  但我想人生有一樣的事情
[00:00:20.720 --> 00:00:25.020]  是中年是人生的必然的階段
[00:00:25.020 --> 00:00:28.020]  我看來大家似乎是八十後
[00:00:28.020 --> 00:00:31.420]  還差一點點時間才到中年
[00:00:31.420 --> 00:00:33.420]  我們還是這樣看
[00:00:33.420 --> 00:00:37.900]  但我想我們也無法無須去抗拒
[00:00:37.900 --> 00:00:41.600]  始終人生始終會來到一個階段
[00:00:41.600 --> 00:00:43.100]  豐年是一個人
[00:00:43.100 --> 00:00:46.600]  中年是一個人生必然的轉變
[00:00:46.600 --> 00:00:50.940]  你的轉變其實對我們有不同的影響
[00:00:50.940 --> 00:00:53.920]  對有些人來說是黃金的歲月
[00:00:53.920 --> 00:00:56.720]  也可以是低沉的時段
[00:00:56.720 --> 00:01:00.920]  其實是很看我們怎樣去面對處理我們的人生
[00:01:00.920 --> 00:01:04.220]  我剛來的時候有些頂智妹跟我聊天
[00:01:04.220 --> 00:01:05.420]  怎樣呀
[00:01:05.420 --> 00:01:06.420]  然後再問我
[00:01:06.420 --> 00:01:07.700]  我有三個女兒
[00:01:07.700 --> 00:01:09.400]  我三個女兒都長大了
[00:01:09.400 --> 00:01:10.460]  第一個結了婚
[00:01:10.460 --> 00:01:12.260]  第二個在三藩市工作
[00:01:12.260 --> 00:01:14.760]  第三個在紐約工作
[00:01:14.760 --> 00:01:15.900]  有頂智妹就問我
[00:01:15.900 --> 00:01:17.840]  咦 那你不是空巢
[00:01:17.840 --> 00:01:19.100]  嘩 是呀 空巢
[00:01:19.100 --> 00:01:20.300]  剩下我兩個
[00:01:20.300 --> 00:01:21.580]  她說怎樣呀
[00:01:21.580 --> 00:01:24.940]  空巢是可以更開心
[00:01:24.940 --> 00:01:27.480]  我現在你隨時哪晚叫我
[00:01:27.480 --> 00:01:29.220]  除了不用在仇人院吃飯
[00:01:29.220 --> 00:01:30.220]  即是教書
[00:01:30.220 --> 00:01:32.220]  你哪晚叫我出來吃飯
[00:01:32.220 --> 00:01:33.420]  我都可以了
[00:01:33.420 --> 00:01:35.220]  我們兩個人可以隨時
[00:01:35.220 --> 00:01:37.260]  放假我們可以去哪裏
[00:01:37.260 --> 00:01:38.300]  我們走走
[00:01:38.300 --> 00:01:40.060]  以前我們要顧著買餸
[00:01:40.060 --> 00:01:42.100]  我們要顧著回去看功課
[00:01:42.100 --> 00:01:43.460]  空巢是可以
[00:01:43.460 --> 00:01:46.240]  對於我來說是一個更自由
[00:01:46.240 --> 00:01:48.040]  更寬鬆的時間
[00:01:48.040 --> 00:01:50.900]  但是空巢也可以是兩夫婦
[00:01:50.900 --> 00:01:52.380]  督眼督鼻
[00:01:52.380 --> 00:01:54.180]  不知怎樣過的今晚
[00:01:54.180 --> 00:01:58.620]  所以有些時候面對人生這個中年
[00:01:58.620 --> 00:02:01.020]  我們真的可以是黃金歲月
[00:02:01.020 --> 00:02:02.480]  很開心
[00:02:02.480 --> 00:02:04.820]  因為中年有我們中年的特色
[00:02:04.820 --> 00:02:07.820]  同樣地也可以是一個消沉的時間
