
[00:00:00.000 --> 00:00:05.620]  今日的題目是《亂世信徒》
[00:00:05.620 --> 00:00:10.960]  《生活在水深火熱》當中的最後一講
[00:00:10.960 --> 00:00:13.520]  我們一直以來在這幾個星期
[00:00:13.520 --> 00:00:16.420]  都在討論《但以理書》
[00:00:16.420 --> 00:00:18.800]  但以理書和他三位的朋友
[00:00:18.800 --> 00:00:21.480]  如何在這麼困難的環境中
[00:00:21.480 --> 00:00:24.780]  仍然保持他們的信仰
[00:00:24.780 --> 00:00:26.600]  我們先讀一段經文
[00:00:26.600 --> 00:00:35.500]  《但以理》第三章十六節至第十八節
[00:00:35.500 --> 00:00:37.200]  這裡他這樣說
[00:00:37.200 --> 00:00:41.600]  撒德拉米薩和阿伯尼戈對王說
[00:00:41.600 --> 00:00:46.440]  「尼布甲尼薩,這件事我們不必回答你
[00:00:46.440 --> 00:00:48.360]  即便如此
[00:00:48.360 --> 00:00:54.400]  我們所侍奉的神能將我們從烈火的窯中救出來」
[00:00:54.400 --> 00:01:01.500]  「王,他也必救我的手,我們脫離你的手,即或不然
[00:01:01.500 --> 00:01:05.260]  王,你當知道,我們決不侍奉你的神
[00:01:05.260 --> 00:01:08.360]  也不敬拜你所立的金像」
[00:01:08.360 --> 00:01:09.760]  這裡說到
[00:01:09.760 --> 00:01:12.920]  但以理那三位的朋友
[00:01:12.920 --> 00:01:15.960]  撒德拉米薩和阿伯尼戈
[00:01:15.960 --> 00:01:19.180]  他們如何面對這個迫害
[00:01:19.180 --> 00:01:29.680]  就是尼布甲尼薩王在其地方樹立了一個很大的金像
[00:01:29.680 --> 00:01:36.400]  他要求所有國人都要向金像下拜
[00:01:36.400 --> 00:01:39.580]  但撒德拉米薩和阿伯尼戈
[00:01:39.580 --> 00:01:46.540]  不要忘記他們已經在宮廷中有職位
[00:01:46.540 --> 00:01:50.440]  他雖然是食皇帝的飯
[00:01:50.440 --> 00:01:54.860]  但在大是大非的情況下
[00:01:54.860 --> 00:01:59.360]  他要作出一個生與死的決定
[00:01:59.360 --> 00:02:00.660]  因為他們知道
[00:02:00.660 --> 00:02:04.520]  如果他們決定不向金像下拜
[00:02:04.520 --> 00:02:05.740]  已經說得很清楚
[00:02:05.740 --> 00:02:11.620]  他們的後果就是被扔到火爐裡必死無疑
[00:02:11.620 --> 00:02:18.960]  我們會想像這是一個非常困難的決定
[00:02:18.960 --> 00:02:22.600]  但撒德拉米薩和阿伯尼戈
[00:02:22.600 --> 00:02:26.060]  在當時他們非常年輕
[00:02:26.060 --> 00:02:28.360]  年紀不大
[00:02:28.360 --> 00:02:33.040]  但他們仍然抱著這樣的信心
[00:02:33.040 --> 00:02:35.700]  生活在水深火熱的裡面
[00:02:35.700 --> 00:02:37.040]  遭受這個迫害
[00:02:37.040 --> 00:02:39.040]  他們有一個為主受苦
[00:02:39.040 --> 00:02:41.280]  為神受苦的心智
[00:02:41.280 --> 00:02:43.720]  他們決定
[00:02:43.720 --> 00:02:48.180]  如果神不拯救我們
[00:02:48.180 --> 00:02:52.540]  我們仍然不會向金像下拜
[00:02:52.540 --> 00:02:58.720]  但他們仍然深信神的能力和神的保守
[00:02:58.720 --> 00:03:03.860]  在整個基督教歷史裡
[00:03:03.860 --> 00:03:05.460]  差不多有兩千年了
[00:03:05.460 --> 00:03:09.300]  在這麼多年的歷史裡
[00:03:09.300 --> 00:03:15.100]  基督徒在每一個世代都經歷不同的迫害
[00:03:15.100 --> 00:03:17.880]  有一個早期基督教的教父
[00:03:17.880 --> 00:03:19.920]  在第一和第二世紀
[00:03:19.920 --> 00:03:25.900]  他叫做土特良
[00:03:25.900 --> 00:03:28.240]  他是怎樣信主的呢?
[00:03:28.240 --> 00:03:33.820]  當時很多基督徒被抓到羅馬的競技場
[00:03:33.820 --> 00:03:35.860]  餵獅子
[00:03:35.860 --> 00:03:37.400]  餵猛獸
[00:03:37.400 --> 00:03:39.820]  甚至被殺
[00:03:39.820 --> 00:03:41.480]  被釘十字架
[00:03:41.480 --> 00:03:43.800]  被火燒
[00:03:43.800 --> 00:03:45.280]  他怎樣信主呢?
[00:03:45.280 --> 00:03:48.360]  他去到其中一個競技場
[00:03:48.360 --> 00:03:52.160]  去觀看這些基督徒如何受苦
[00:03:52.160 --> 00:03:54.040]  如何受死
[00:03:54.040 --> 00:03:59.920]  當這些基督徒被帶到競技場中間的時候
[00:03:59.920 --> 00:04:03.860]  這些基督徒一路走一路唱詩歌
[00:04:03.860 --> 00:04:08.480]  他就被這種情景所震撼
[00:04:08.480 --> 00:04:09.760]  震撼到一個地步
[00:04:09.760 --> 00:04:12.580]  他就信了主
[00:04:12.580 --> 00:04:14.420]  他信了主之後
[00:04:14.420 --> 00:04:17.820]  他寫了一句說話
[00:04:17.820 --> 00:04:29.000]  他說:殉道者的血是孕育教會的種子
[00:04:29.000 --> 00:04:31.760]  另一個早期的
[00:04:31.760 --> 00:04:35.680]  一個很出名的神學家叫做奧古斯丁
[00:04:35.680 --> 00:04:37.180]  或者你也聽過
[00:04:37.180 --> 00:04:39.040]  Augustine
[00:04:39.040 --> 00:04:42.820]  他講到這群殉道者
[00:04:42.820 --> 00:04:46.800]  雖然被捆綁、被監禁、被鞭打
[00:04:46.800 --> 00:04:48.820]  被虐待、被火燒
[00:04:48.820 --> 00:04:50.560]  甚至被屠殺
[00:04:50.560 --> 00:04:56.720]  但是他們的數目是繼續增加
[00:04:56.720 --> 00:05:00.480]  所以這個迫害
[00:05:00.480 --> 00:05:04.600]  不是會消滅基督教的信仰
[00:05:04.600 --> 00:05:07.240]  反而是剛剛好相反
[00:05:07.240 --> 00:05:13.780]  這些迫害是令到這些基督徒的數目更加增加
[00:05:13.780 --> 00:05:16.160]  我們很多時候生活在美國
[00:05:16.160 --> 00:05:20.480]  相對來說是一個很安逸的環境
[00:05:20.480 --> 00:05:25.100]  或者這些迫害對於我們來說是很遙遠的事
[00:05:25.100 --> 00:05:29.280]  或者是在很遙遠的地方
[00:05:29.280 --> 00:05:30.420]  但是你知不知道
[00:05:30.420 --> 00:05:32.200]  近這幾百年裡面
[00:05:32.200 --> 00:05:40.400]  被屠殺或者被殺害的基督徒的數目
[00:05:40.400 --> 00:05:49.560]  不能夠跟我們近一個世紀被殉道的基督徒的數目為多
[00:05:49.560 --> 00:05:51.120]  就是說近一個世紀
[00:05:51.120 --> 00:05:56.120]  被殉道或者被殺害的基督徒的數目
[00:05:56.120 --> 00:05:59.560]  比過往那幾百年要更加多
[00:05:59.560 --> 00:06:05.960]  不要以為這些迫害是離我們很遙遠的
[00:06:05.960 --> 00:06:08.520]  我們來看看ISIS
[00:06:08.520 --> 00:06:11.500]  在今年2月份
[00:06:11.500 --> 00:06:15.220]  在利比亞的地方
[00:06:15.220 --> 00:06:20.980]  捉了21個埃及的Coptic Christians
[00:06:20.980 --> 00:06:23.240]  Coptic是什麼呢?
[00:06:23.240 --> 00:06:29.140]  Coptic其實是很遠古的一群基督徒
[00:06:29.140 --> 00:06:32.660]  這些基督徒是去到埃及的地方
[00:06:32.660 --> 00:06:36.380]  他們一直將基督教的傳統遺傳下來
[00:06:36.380 --> 00:06:39.380]  在埃及的地方
[00:06:39.380 --> 00:06:42.300]  這群基督徒叫Coptic Christians
[00:06:42.300 --> 00:06:44.380]  這群Coptic Christians
[00:06:44.380 --> 00:06:47.520]  這群基督徒去到利比亞的地方打工
[00:06:47.520 --> 00:06:48.880]  但是很不幸
[00:06:48.880 --> 00:06:51.120]  利比亞有戰亂
[00:06:51.120 --> 00:06:54.020]  ISIS就捉了這群基督徒
[00:06:54.020 --> 00:06:55.500]  有21個之多
[00:06:55.500 --> 00:07:00.060]  捉了他們到利比亞的岸邊被屠殺
[00:07:00.060 --> 00:07:03.040]  或者你會這樣想
[00:07:03.040 --> 00:07:05.020]  這些在中東的地方
[00:07:05.020 --> 00:07:08.160]  對於我們來說是比較遙遠的
[00:07:08.160 --> 00:07:09.340]  其實並不是
[00:07:09.340 --> 00:07:13.720]  上星期我們有一位姊妹
[00:07:13.720 --> 00:07:17.700]  在肯塔基州
[00:07:17.700 --> 00:07:19.360]  叫Kim Davids
[00:07:19.360 --> 00:07:20.580]  我們來看看她的樣子
[00:07:20.580 --> 00:07:26.740]  因為她在縣政府裡面是做工作的
[00:07:26.740 --> 00:07:32.600]  她不肯在同性婚姻的婚姻證書上簽紙
[00:07:32.600 --> 00:07:36.840]  所以被法官被判入獄
[00:07:36.840 --> 00:07:41.120]  New York Times 的主題是說什麼呢?
[00:07:41.120 --> 00:07:44.160]  Clerk in Kentucky Chooses Jail
[00:07:44.160 --> 00:07:47.820]  Overdeal on Same-Sex Marriage
[00:07:47.820 --> 00:07:52.140]  就是說在肯塔基州有一個官員
[00:07:52.140 --> 00:07:54.100]  他寧願坐牢
[00:07:54.100 --> 00:08:02.520]  也不願意在同性婚姻事件上做生意
[00:08:02.520 --> 00:08:08.440]  你會發覺原來迫害基督徒不是遙遠的事
[00:08:08.440 --> 00:08:10.220]  其實
[00:08:10.220 --> 00:08:11.740]  甚至可以這樣說
[00:08:11.740 --> 00:08:18.620]  美國是一個基督教立國的國家
[00:08:18.620 --> 00:08:25.360]  迫害基督徒的事現在已經發生在我們眼前
[00:08:25.360 --> 00:08:27.500]  不要以為很遙遠
[00:08:27.500 --> 00:08:31.460]  其實現在我們都在面對著
[00:08:31.460 --> 00:08:35.080]  其實在兩千五百年多前
[00:08:35.080 --> 00:08:41.900]  三個很年輕的希伯來少年
