
[00:00:00.640 --> 00:00:03.400]  今天我們要開始一個新的系列 我們講到
[00:00:03.400 --> 00:00:04.440]  歌羅西書
[00:00:04.440 --> 00:00:06.800]  歌羅西書
[00:00:06.800 --> 00:00:11.760]  我們在前面 我大概是應該是在三年前
[00:00:11.760 --> 00:00:13.880]  我們曾經講過以符所書
[00:00:13.880 --> 00:00:16.400]  以符所書講到教會
[00:00:16.400 --> 00:00:18.480]  歌羅西書講基督
[00:00:18.480 --> 00:00:22.760]  教會與基督這兩個可以說是整個聖經
[00:00:22.760 --> 00:00:24.240]  裡面最重要的兩個主題
[00:00:24.240 --> 00:00:28.760]  舊約裡面講基督 預言基督 新約
[00:00:29.040 --> 00:00:31.040]  就是基督的實體
[00:00:31.040 --> 00:00:34.760]  那我們可以看見舊約跟新約裡面都在講到基督
[00:00:34.760 --> 00:00:37.920]  所有的每一卷書 你都可以看見基督
[00:00:37.920 --> 00:00:42.000]  你讀聖經裡面 每一卷書裡面 你都要讀出基督來
[00:00:42.000 --> 00:00:45.640]  這是我們讀聖經很重要的一件事情
[00:00:45.640 --> 00:00:49.360]  整個聖經的中心就是基督 跟你旁邊說
[00:00:49.360 --> 00:00:51.360]  整個聖經的中心就是基督
[00:00:51.360 --> 00:00:55.160]  基督就是我們人生的中心
[00:00:55.440 --> 00:00:59.360]  基督是我們人生的盼望 在歌羅西書裡面講到
[00:00:59.360 --> 00:01:02.320]  盼望的很重要 今天我們要講這個盼望
[00:01:02.320 --> 00:01:05.200]  在這個末世的時候你會發現
[00:01:05.200 --> 00:01:09.120]  越來越多的這些的末世的徵兆發生
[00:01:09.120 --> 00:01:13.840]  就像剛才今天唱詩歌 敬拜團在提的
[00:01:13.840 --> 00:01:16.880]  這個好像是很多事情我們今天打開報紙
[00:01:16.880 --> 00:01:19.280]  聽到都是一些讓我們覺得好像是
[00:01:19.280 --> 00:01:22.000]  讓我們覺得很沉的一些事情
[00:01:22.160 --> 00:01:26.320]  但是親愛的公子妹 我們所信的這位基督 他是我們的盼望
[00:01:26.320 --> 00:01:28.680]  他是我們人生的盼望
[00:01:28.680 --> 00:01:31.920]  跟你旁邊說 基督是你的盼望
[00:01:31.920 --> 00:01:34.560]  講的時候帶著盼望講 好不好
[00:01:34.560 --> 00:01:36.960]  親愛的公子妹 你們在敬拜的時候
[00:01:36.960 --> 00:01:39.960]  如果你的心沒有被提起來 你接下來就會打開
[00:01:39.960 --> 00:01:41.880]  你的心就很難了
[00:01:41.880 --> 00:01:44.920]  所以我常常在外面領會的時候
[00:01:44.920 --> 00:01:48.400]  我都是要 make sure 敬拜的詩歌
[00:01:48.400 --> 00:01:50.240]  大家的心要先被提起來
[00:01:50.600 --> 00:01:54.240]  敬拜 親愛的公子妹 我們在所敬拜的這位祖
