
[00:00:00.000 --> 00:00:07.000]  記者:請姐妹平安
[00:00:07.000 --> 00:00:11.900]  記者:在剛剛過去的巴西里約熱內盧的奧運會
[00:00:11.900 --> 00:00:17.100]  中國女排可以說是經歷了一段扣人心緣的逆轉旅程
[00:00:17.100 --> 00:00:20.000]  在這一屆的奧運會裏面
[00:00:20.000 --> 00:00:22.300]  中國女排在小組賽
[00:00:22.300 --> 00:00:27.200]  她就接連的輸給荷蘭、塞爾維亞和美國
[00:00:27.200 --> 00:00:32.700]  她最後僅能夠以小組第四名的成績出線
[00:00:32.700 --> 00:00:36.800]  中國隊在四分之一決賽擊敗了巴西
[00:00:36.800 --> 00:00:40.200]  半決賽的時候再擊敗荷蘭
[00:00:40.200 --> 00:00:47.900]  到決賽的時候再打敗在小組賽裏面以3比0勝出的塞爾維亞
[00:00:47.900 --> 00:00:53.400]  在她們的隊友以及中國無數的電視觀眾面前
[00:00:53.400 --> 00:00:58.100]  中國隊在先失一局的情況之下力挽狂瀾
[00:00:58.100 --> 00:01:00.200]  反勝三局
[00:01:00.200 --> 00:01:05.500]  事隔了12年之後再奪得女排的奧運金牌
[00:01:05.500 --> 00:01:12.900]  逆轉幾乎成為了中國隊在今屆奧運會的一大主題
[00:01:12.900 --> 00:01:15.200]  同樣命運的逆轉
[00:01:15.200 --> 00:01:20.700]  也是以斯帖記整個故事所表達出來的主題
[00:01:20.700 --> 00:01:23.200]  我們看看一些背景資料
[00:01:23.200 --> 00:01:30.700]  以斯帖記其實是發生在伊斯拉紀第六和第七章之間的事件
[00:01:30.700 --> 00:01:34.400]  記載了那些居住在波斯國的猶太人
[00:01:34.400 --> 00:01:36.000]  差點被人滅族
[00:01:36.000 --> 00:01:38.100]  最後得以化險為夷
[00:01:38.100 --> 00:01:40.700]  轉憂為喜的歷程
[00:01:40.700 --> 00:01:42.500]  以斯帖記的時代
[00:01:42.500 --> 00:01:45.000]  已經有第一批的猶太人
[00:01:45.000 --> 00:01:50.100]  在索羅巴伯的帶領之下回到耶路撒冷
[00:01:50.100 --> 00:01:53.600]  對於這些回到耶路撒冷的猶太人來說
[00:01:53.600 --> 00:01:56.800]  當日最重大的一個神學問題就是
[00:01:56.800 --> 00:01:59.100]  我們是否仍然是神的子民
[00:01:59.100 --> 00:02:02.500]  和神有約的關係呢?
[00:02:02.500 --> 00:02:06.200]  而對於那些散居外地的猶太人來說
[00:02:06.200 --> 00:02:10.700]  他們沒有聖殿、沒有先知、沒有聖神
