
[00:00:00.000 --> 00:00:05.440]  各位聽眾,我想問問大家,有多少人試過祝福別人?
[00:00:05.440 --> 00:00:06.440]  可不可以舉手?
[00:00:06.440 --> 00:00:14.760]  很少不祝福別人,我想問一問,你在哪些時間你會祝福別人呢?
[00:00:14.760 --> 00:00:29.960]  是否那些喜慶日子,或者大時大節,喜慶,婚禮,生日,你都會祝福的,是不是?
[00:00:31.000 --> 00:00:39.160]  我想問一問大家,在別人的大喜日子,祝福別人的時候,你除了說了祝福之外,你還告訴別人?
[00:00:39.160 --> 00:00:46.080]  不過有些事情我不客氣告訴你,有些事情你很壞的,我想問一問大家,有多少人有試過?
[00:00:46.080 --> 00:00:54.080]  就是恭喜別人,祝福別人的時候,加上那些是負面的東西在那裡,可不可以舉手?有多少人試過的,舉手?
[00:00:55.160 --> 00:01:01.160]  也有啊,原來不是打招呼而已,極少,是不是呢?
[00:01:01.160 --> 00:01:20.480]  中國人有一句話,人之將死,其言也善,特別是臨死的時候,你說的話,全部都不要說那些不好的東西了,都是好的東西了,
[00:01:20.480 --> 00:01:23.680]  因為你不知道死了之後別人怎麼對你的,是不是?
[00:01:25.880 --> 00:01:32.760]  另一方面,在那些好的日子,你都不會說那些不好的東西,使別人不開心,你都想別人開心的,
[00:01:32.760 --> 00:01:45.880]  但是今天我就很想和大家來看看,猶太人有一個習慣,就是所有的長輩臨死的時候,都會為他的子女祝福的,
[00:01:47.320 --> 00:02:03.160]  一般猶太人的祝福都是一樣,都是說那些好的東西,中國人臨死的時候,大部分是說遺產、分配,這個就是下一堂我會說的,就是遺願了。
[00:02:03.160 --> 00:02:17.000]  這一堂專門講的,就是講到祝福,但是今天我要和大家來講,先祖的祝福,特別是希伯來書十一章二十到二十二節提及的祝福,
[00:02:18.280 --> 00:02:29.160]  是和一般人的祝福有很不同的地方,我很想和大家來看看,這些很不同的地方在哪裏呢?
[00:02:29.160 --> 00:02:34.680]  首先我們讀一讀希伯來書十一章二十到二十二節,我們一起讀。
