
[00:00:00.000 --> 00:00:04.120]  今天我們會特別來講一個題目
[00:00:04.120 --> 00:00:07.400]  就是教會的紀律
[00:00:07.400 --> 00:00:09.480]  這個題目比較少講
[00:00:09.480 --> 00:00:13.440]  我在教會今年已經第十四年
[00:00:13.440 --> 00:00:16.480]  我從來沒有觸碰過這個題目
[00:00:16.480 --> 00:00:18.800]  因為教會很少執行discipline
[00:00:18.800 --> 00:00:21.080]  或者有discipline這樣的東西
[00:00:21.080 --> 00:00:25.120]  但是今天想和大家討論一個信仰的團體
[00:00:25.120 --> 00:00:29.440]  我們對discipline這件事有什麼聖經給我們提醒
[00:00:29.440 --> 00:00:31.160]  分兩個point和大家分享
[00:00:31.160 --> 00:00:33.960]  第一個就是我們首先要明白discipline
[00:00:33.960 --> 00:00:35.840]  為什麼要有紀律呢
[00:00:35.840 --> 00:00:37.320]  紀律這件事用來做什麼
[00:00:37.320 --> 00:00:39.200]  它的重要性在哪裡呢
[00:00:39.200 --> 00:00:41.600]  第二我們先來談一談教會裡面
[00:00:41.600 --> 00:00:44.480]  如果要設立一些紀律或者執行的時候
[00:00:44.480 --> 00:00:47.800]  我們大概要注意些什麼
[00:00:47.800 --> 00:00:52.520]  第一當然是明白紀律的重要性
[00:00:52.520 --> 00:00:55.640]  在當初神創造天地的時候
[00:00:55.640 --> 00:00:59.360]  這個地是淤泛黑暗
[00:00:59.360 --> 00:01:01.520]  空虛混沌
[00:01:01.520 --> 00:01:04.800]  神要處理空虛混沌的問題
[00:01:04.800 --> 00:01:06.760]  開始創造
[00:01:06.760 --> 00:01:10.240]  處理空虛的問題就是用創造
[00:01:10.240 --> 00:01:13.480]  創造了天上的飛鳥
[00:01:13.480 --> 00:01:16.160]  地上的動物
[00:01:16.160 --> 00:01:17.840]  然後海裡的魚
[00:01:17.840 --> 00:01:19.240]  然後有植物
[00:01:19.240 --> 00:01:22.960]  然後照著它的形象創造了人
[00:01:22.960 --> 00:01:25.880]  然後賜福給他們讓他們可以生養更多
[00:01:25.880 --> 00:01:29.920]  所以處理空虛的問題就是用創造然後充滿
[00:01:29.920 --> 00:01:32.560]  然後各樣的東西都可以生長然後充滿
[00:01:32.560 --> 00:01:34.640]  所以可見神不喜歡空虛
[00:01:34.640 --> 00:01:36.600]  神喜歡充滿
