
[00:00:00.000 --> 00:00:02.140]  來到公園二千年
[00:00:02.140 --> 00:00:06.020]  那今年就是二千零二十五年
[00:00:06.020 --> 00:00:07.580]  那麼來到二千年的時候
[00:00:07.580 --> 00:00:09.300]  有人這樣說
[00:00:09.300 --> 00:00:13.300]  在...
[00:00:13.300 --> 00:00:18.620]  我自己控制可以了
[00:00:18.620 --> 00:00:20.500]  可以嗎?我自己控制
[00:00:20.500 --> 00:00:23.980]  那麼來到公園二千年的時候
[00:00:23.980 --> 00:00:27.900]  我們了解在過去三十年
[00:00:27.900 --> 00:00:31.860]  就是說比以前三百年
[00:00:31.860 --> 00:00:35.940]  了解去研究身經的預言是更多
[00:00:35.940 --> 00:00:38.580]  很多人來到這個年代
[00:00:38.580 --> 00:00:43.060]  都很想了解到底未來發生什麼事情
[00:00:43.060 --> 00:00:45.860]  那麼其實我們所相信的身經
[00:00:45.860 --> 00:00:48.460]  有四分之一的篇幅
[00:00:48.460 --> 00:00:50.820]  人類有二十五八星
[00:00:50.820 --> 00:00:53.460]  都是講到預言的
[00:00:53.460 --> 00:00:57.180]  所以來到保羅書信裡面五節的經文
[00:00:57.180 --> 00:01:01.220]  就有一節就是提到耶穌在來
[00:01:01.220 --> 00:01:04.260]  那所以呢當我們今天來到這裡
[00:01:04.260 --> 00:01:06.100]  看見這個題目
[00:01:06.100 --> 00:01:10.060]  就是說末世危機有出路
[00:01:10.060 --> 00:01:13.620]  也就是跟身經的預言有關係的
[00:01:13.620 --> 00:01:18.140]  那麼所以當我們看見身經預言到末世的時候
[00:01:18.140 --> 00:01:21.420]  可以說危機重重
[00:01:21.420 --> 00:01:23.620]  為什麼?預言當中
[00:01:23.620 --> 00:01:28.860]  就跟這些的末世的危機有關係
[00:01:28.860 --> 00:01:31.060]  那麼所以在身經當中
[00:01:31.060 --> 00:01:33.580]  如果研究舊月的話
[00:01:33.580 --> 00:01:35.900]  那一卷叫《大安一里書》
[00:01:35.900 --> 00:01:37.900]  裡面很多有關預言
