
[00:00:00.000 --> 00:00:02.000]  電影姊妹大家好
[00:00:02.000 --> 00:00:07.000]  這個主日是母親節
[00:00:07.000 --> 00:00:12.000]  不過可能今年跟以往真的很不同
[00:00:12.000 --> 00:00:17.000]  如果你家裏年大年細
[00:00:17.000 --> 00:00:20.000]  人比較多的話
[00:00:20.000 --> 00:00:25.000]  我估計要跟媽媽一家人
[00:00:25.000 --> 00:00:30.000]  出街同台食飯就不行了
[00:00:30.000 --> 00:00:33.000]  因為最多只有八個人
[00:00:33.000 --> 00:00:39.000]  但是我仍然想隔著螢光幕
[00:00:39.000 --> 00:00:45.000]  跟各位母親說聲母親節快樂
[00:00:45.000 --> 00:00:47.000]  雖然是這樣
[00:00:47.000 --> 00:00:55.000]  我不知道在座在家看崇拜的電影姊妹
[00:00:55.000 --> 00:01:03.000]  你們會不會仍然為你們的媽媽做一點事
[00:01:03.000 --> 00:01:08.000]  好像剛才主席鄭姑娘邀請大家
[00:01:08.000 --> 00:01:12.000]  有一點表示
[00:01:12.000 --> 00:01:17.000]  有兩兄弟一直以來
[00:01:17.000 --> 00:01:24.000]  他們的媽媽每天都會為他們預備早餐
[00:01:24.000 --> 00:01:28.000]  趁著母親節星期日
[00:01:28.000 --> 00:01:35.000]  於是兩兄弟等媽媽剛剛睡醒
[00:01:35.000 --> 00:01:37.000]  就走進他們的房間
[00:01:37.000 --> 00:01:42.000]  跟她說你今天先不要起床
[00:01:42.000 --> 00:01:45.000]  說完這句就沒頭沒尾
[00:01:45.000 --> 00:01:50.000]  就像一支箭衝進廚房
[00:01:50.000 --> 00:01:54.000]  媽媽不知道他們在做什麼
[00:01:54.000 --> 00:02:00.000]  沒多久就聞到一陣一陣食物的香味
[00:02:00.000 --> 00:02:06.000]  就知道兩個兒子一定在廚房煮食
[00:02:06.000 --> 00:02:09.000]  再等多一陣
[00:02:09.000 --> 00:02:12.000]  為什麼沒聲音
[00:02:12.000 --> 00:02:19.000]  於是那位媽媽忍不住就下床起床
[00:02:19.000 --> 00:02:22.000]  當她出廳的時候
[00:02:22.000 --> 00:02:29.000]  竟然看到兩個兒子在桌前享用早餐
[00:02:29.000 --> 00:02:33.000]  當時弟弟跟媽媽說
[00:02:33.000 --> 00:02:36.000]  今天是母親節
[00:02:36.000 --> 00:02:39.000]  所以我跟哥哥決定
[00:02:39.000 --> 00:02:43.000]  不用你幫我們做早餐
[00:02:43.000 --> 00:02:45.000]  他還沒說下一句
[00:02:45.000 --> 00:02:49.000]  我們做了早餐給自己吃
[00:02:49.000 --> 00:02:53.000]  其實媽媽的辛勞
[00:02:53.000 --> 00:02:56.000]  有上班沒下班
[00:02:56.000 --> 00:03:02.000]  我相信每一位弟兄姊妹都經歷過
[00:03:02.000 --> 00:03:05.000]  但是今天我想跟大家分享的
[00:03:05.000 --> 00:03:09.000]  《路加福音》第一章26-38節
[00:03:09.000 --> 00:03:13.000]  裡面記載那位媽媽的付出
[00:03:13.000 --> 00:03:15.000]  就更加不簡單
[00:03:15.000 --> 00:03:23.000]  因為是涉及了她對於上帝的托付的承擔
[00:03:23.000 --> 00:03:27.000]  如果大家想一想這段經文
[00:03:27.000 --> 00:03:30.000]  不知道你們心裡會不會這樣想
[00:03:30.000 --> 00:03:33.000]  是不是弄錯了?
