
[00:00:00.000 --> 00:00:03.640]  (主席)各位姐妹早晨
[00:00:03.640 --> 00:00:09.560]  今天是一個三號強風訊號的早上
[00:00:09.560 --> 00:00:12.040]  似乎我們都要適應在一個
[00:00:12.040 --> 00:00:14.800]  所謂低氣壓的生活場景裏面去生活
[00:00:14.800 --> 00:00:16.720]  今天回到路上
[00:00:16.720 --> 00:00:19.400]  我想大家都會覺得有些很悶
[00:00:19.400 --> 00:00:22.240]  或者天氣都有些不穩定
[00:00:22.240 --> 00:00:24.560]  但是風已經遠去
[00:00:24.560 --> 00:00:27.400]  又有新的一天在等我們
[00:00:27.400 --> 00:00:29.080]  我們在這裏
[00:00:29.080 --> 00:00:32.160]  雖然這個生活的場景是較為低氣壓
[00:00:32.160 --> 00:00:35.360]  不過真是神很大的恩典給我們拜託
[00:00:35.360 --> 00:00:38.760]  這裏其實有一扇窗
[00:00:38.760 --> 00:00:41.080]  我們透過這一扇窗
[00:00:41.080 --> 00:00:43.120]  看到這個十字架
[00:00:43.120 --> 00:00:45.320]  又透過這個十字架
[00:00:45.320 --> 00:00:49.200]  我們其實可以有一個更高的想像
[00:00:49.200 --> 00:00:51.520]  那個想像就是
[00:00:51.520 --> 00:00:53.320]  上帝可以陪伴我們
[00:00:53.320 --> 00:00:56.440]  引導我們高飛天際
[00:00:56.440 --> 00:00:58.520]  這裏是一個望向天
[00:00:58.520 --> 00:01:00.360]  另一方面當然寓意
[00:01:00.360 --> 00:01:05.720]  也是上帝的恩光臨在我們當中
[00:01:05.720 --> 00:01:09.040]  我還記得在上幾次我在這裏講道的時候
[00:01:09.040 --> 00:01:11.240]  引用了保羅的教訓
[00:01:11.240 --> 00:01:13.600]  我們要思念上面的事
[00:01:13.600 --> 00:01:16.880]  不要思念地上的事
[00:01:16.880 --> 00:01:19.600]  保羅所講的那個所謂上面
[00:01:19.600 --> 00:01:22.280]  是講上帝榮耀的寶座
[00:01:22.280 --> 00:01:25.040]  是他掌權的國度
[00:01:25.040 --> 00:01:27.200]  我們追隨基督的人
[00:01:27.200 --> 00:01:29.600]  活在這個世界上
[00:01:29.600 --> 00:01:31.880]  其實就是要以我們自己的生命
[00:01:31.880 --> 00:01:34.360]  去進行上帝的旨意
[00:01:34.360 --> 00:01:36.720]  反映上帝的榮耀
[00:01:36.720 --> 00:01:39.720]  見證祂的權能和國度
[00:01:39.720 --> 00:01:41.480]  透過我們的生活
[00:01:41.480 --> 00:01:43.040]  我們的生命
[00:01:43.040 --> 00:01:45.360]  或者直接一點用廣東人的說法
[00:01:45.360 --> 00:01:47.200]  透過我們的命
[00:01:47.200 --> 00:01:51.240]  我們去見證上帝的權能和國度
[00:01:51.240 --> 00:01:53.200]  我們雖然好像活在地上
[00:01:53.200 --> 00:01:55.040]  其實我們高飛天際
[00:01:55.040 --> 00:01:58.400]  我們要見證上帝的榮耀
[00:01:58.400 --> 00:02:02.920]  今天的講題當然是和高飛上天有關
[00:02:02.920 --> 00:02:05.440]  背在鷹的翅膀上
[00:02:05.440 --> 00:02:07.880]  剛才我們所重讀的《舊約經》課
[00:02:07.880 --> 00:02:10.960]  《出埃及記》第十九章第二到八節
[00:02:10.960 --> 00:02:13.120]  記載了以色列人
[00:02:13.120 --> 00:02:15.360]  都真的有些千辛萬苦
[00:02:15.360 --> 00:02:19.360]  經過了在埃及一場很大的角力
[00:02:19.360 --> 00:02:23.880]  當然當中有上帝很大的介入和保守
[00:02:23.880 --> 00:02:25.800]  他們離開了埃及
[00:02:25.800 --> 00:02:27.840]  避過紅海之劫
[00:02:27.840 --> 00:02:31.400]  三個月之後來到西乃抗野
[00:02:31.400 --> 00:02:35.120]  就是剛才我們所讀的那段經文的背景
[00:02:35.120 --> 00:02:38.720]  他們就在西乃山下的一個平原安營
[00:02:38.720 --> 00:02:41.880]  並且在那裏與神納藥
[00:02:41.880 --> 00:02:47.160]  摩西就轉述了耶和華曉遇祂的子民的說話
[00:02:47.160 --> 00:02:49.200]  正如剛才所讀出的
[00:02:49.200 --> 00:02:54.760]  看見我如鷹將你們背在翅膀上帶來歸我
[00:02:54.760 --> 00:02:57.600]  這個就是今天講題的出處
[00:02:57.600 --> 00:03:02.040]  有人稱西乃抗野一帶的地方叫做鷹之地
[00:03:02.040 --> 00:03:06.400]  就是鷹在飛舞生活的地方
[00:03:06.400 --> 00:03:08.120]  那裏是飛鷹去展開
[00:03:08.120 --> 00:03:12.280]  它寬闊有力的翅膀在空中盤旋的地方
[00:03:12.280 --> 00:03:15.240]  所以當以色列人離開了埃及
[00:03:15.240 --> 00:03:17.000]  來到西乃抗野
[00:03:17.000 --> 00:03:19.960]  在山下這個對他們來說
[00:03:19.960 --> 00:03:24.120]  既熟悉亦不熟悉的一個地方
[00:03:24.120 --> 00:03:26.480]  在這個平原安營
[00:03:26.480 --> 00:03:28.600]  一個很特別的場景
[00:03:28.600 --> 00:03:29.720]  而這個特別的場景
[00:03:29.720 --> 00:03:31.760]  尤其是他們整個民族
[00:03:31.760 --> 00:03:36.520]  剛剛經歷過一些很連串的特別的經歷
[00:03:36.520 --> 00:03:38.880]  從埃及人的奴役當中
[00:03:38.880 --> 00:03:42.040]  他們被釋放得到自由
[00:03:42.040 --> 00:03:43.840]  在這個背景底下
[00:03:43.840 --> 00:03:46.120]  以色列人在西乃山腳
[00:03:46.120 --> 00:03:48.400]  聽到上帝的這個訊息
[00:03:48.400 --> 00:03:51.560]  說他自己好像鷹一樣去展翅
[00:03:51.560 --> 00:03:55.040]  背起了以色列人離開埃及
[00:03:55.040 --> 00:03:56.480]  其實可以想像
[00:03:56.480 --> 00:03:58.640]  對當時的以色列人來說
[00:03:58.640 --> 00:04:02.200]  是一個充滿了現場感的一個比喻
[00:04:02.200 --> 00:04:03.880]  十分貼切
[00:04:03.880 --> 00:04:05.520]  我相信我作為讀者
[00:04:05.520 --> 00:04:07.360]  當我讀這個故事的時候
[00:04:07.360 --> 00:04:09.080]  我很有一種感覺就是
[00:04:09.080 --> 00:04:12.320]  當時的以色列人聽到這個比喻的時候
[00:04:12.320 --> 00:04:15.920]  其實會很感動
[00:04:15.920 --> 00:04:19.320]  出埃及之後大概接近40年
[00:04:19.320 --> 00:04:20.640]  大家都知道
[00:04:20.640 --> 00:04:24.000]  在《生命記》第32章
[00:04:24.000 --> 00:04:27.600]  那個是摩西一篇很重要的演說
[00:04:27.600 --> 00:04:29.240]  演說之後
[00:04:29.240 --> 00:04:32.080]  接著的33、34就分別是
[00:04:32.080 --> 00:04:35.440]  講及到摩西不可以進入迦南地
[00:04:35.440 --> 00:04:39.320]  最後他只能夠在約旦河東的地方
[00:04:39.320 --> 00:04:42.000]  被主接去
[00:04:42.000 --> 00:04:44.440]  不過就是在這一切事發生之前
[00:04:44.440 --> 00:04:48.240]  摩西有一個很重要的信仰的告白
[00:04:48.240 --> 00:04:50.200]  一個很重要的宣告
[00:04:50.200 --> 00:04:52.880]  跟他的百姓來講
[00:04:52.880 --> 00:04:56.800]  摩西那個時候再一次用鷹來做比喻
