
[00:00:00.000 --> 00:00:02.280]  今天我相信大家都很認同
[00:00:02.280 --> 00:00:05.760]  我們活在一個頗為不安的世代裡面
[00:00:05.760 --> 00:00:07.240]  不知道大家知不知道
[00:00:07.240 --> 00:00:09.480]  早前在一個星期之內
[00:00:09.480 --> 00:00:10.680]  世界不同的地方
[00:00:10.680 --> 00:00:12.600]  有很多的地方都發生地震
[00:00:12.600 --> 00:00:13.240]  大家知不知道
[00:00:13.240 --> 00:00:15.120]  說不說是哪幾個地方
[00:00:15.120 --> 00:00:16.400]  我上網查一查
[00:00:16.400 --> 00:00:19.200]  有墨西哥、台灣、俄羅斯、日本和美國
[00:00:19.200 --> 00:00:21.680]  世界好像很多地方
[00:00:21.680 --> 00:00:24.200]  一個星期之內竟然有這麼多地震
[00:00:24.200 --> 00:00:27.080]  不單止是有很多的天災
[00:00:27.080 --> 00:00:28.200]  我們今天所面對
[00:00:28.200 --> 00:00:31.160]  大家都知道打仗打到不知道什麼時候完
[00:00:31.160 --> 00:00:34.320]  隨時可能會有核戰的可能性
[00:00:34.320 --> 00:00:35.680]  我們現在也都是
[00:00:35.680 --> 00:00:37.960]  大家都好像在開玩笑一樣
[00:00:37.960 --> 00:00:40.040]  我們三年被情所困
[00:00:40.040 --> 00:00:41.480]  是疫情
[00:00:41.480 --> 00:00:45.280]  三年裡面我們什麼都受到新冠病毒的影響
[00:00:45.280 --> 00:00:47.440]  我們也都有極端的天氣
[00:00:47.440 --> 00:00:50.080]  我們的經濟好像越來越差
[00:00:50.080 --> 00:00:52.200]  也不要提我們
[00:00:52.200 --> 00:00:56.160]  真的每一個人都面對我們生活上面
[00:00:56.600 --> 00:01:00.120]  不同方面、不同層面的困難
[00:01:00.120 --> 00:01:03.080]  所以最近不止兩次
[00:01:03.080 --> 00:01:04.000]  不止一次
[00:01:04.000 --> 00:01:06.200]  有兩次有人就跑來問岳牧師
[00:01:06.200 --> 00:01:08.120]  世界會是不是快要來了
[00:01:08.120 --> 00:01:09.920]  那我跟他說
[00:01:09.920 --> 00:01:10.600]  當然了
[00:01:10.600 --> 00:01:12.440]  我們一天比一天近
[00:01:12.440 --> 00:01:13.640]  這個世界會就是了
[00:01:13.640 --> 00:01:15.280]  任何時間說都對的
[00:01:15.280 --> 00:01:18.320]  但是我們少不免不能夠不否認
[00:01:18.320 --> 00:01:21.360]  我們今天都活在不同程度上面
[00:01:21.360 --> 00:01:25.400]  甚至是很大困難的壓迫、壓力、焦慮、無助
[00:01:25.400 --> 00:01:25.960]  是不是?
[00:01:26.960 --> 00:01:28.960]  我有一個認識的女士
[00:01:28.960 --> 00:01:30.600]  我經常來跟她分享福音
[00:01:30.600 --> 00:01:33.160]  我每一次跟她說到這個世界有很多困難的時候
[00:01:33.160 --> 00:01:37.480]  她總是會用一個很不屑的表情跟我說
[00:01:37.480 --> 00:01:40.000]  你們所說的神話都說得這麼巴閉的時候
[00:01:40.000 --> 00:01:41.960]  為什麼世界還有這麼多的困難
[00:01:41.960 --> 00:01:43.760]  這麼多的問題、這麼多的糾紛
[00:01:43.760 --> 00:01:46.000]  這不就是你的問題嗎?
[00:01:46.000 --> 00:01:49.680]  《聖經》有沒有說關於這一方面的事情?
[00:01:49.680 --> 00:01:52.720]  讓我們今天剛才所讀的經文
[00:01:52.720 --> 00:01:53.720]  我們一重來看看
[00:01:53.720 --> 00:01:57.480]  究竟《聖經》裡面怎麼說我們所面對的
[00:01:57.480 --> 00:01:59.480]  世界上這麼多的困難
[00:01:59.480 --> 00:02:01.440]  我們先看看
[00:02:01.440 --> 00:02:04.320]  剛才我們所讀的那一段經文裡面
[00:02:04.320 --> 00:02:06.800]  是記載了主耶穌那一段的說話
[00:02:06.800 --> 00:02:08.200]  而在這一段的說話裡面
[00:02:08.200 --> 00:02:09.720]  如果大家有留意的話
[00:02:09.720 --> 00:02:12.360]  主耶穌是說了兩個的肯定
[00:02:12.360 --> 00:02:16.560]  也是發出兩個的邀請
[00:02:16.560 --> 00:02:19.800]  我相信如果我們能夠明白這兩個肯定
[00:02:19.800 --> 00:02:23.320]  也願意接受耶穌所發出的邀請的時候
[00:02:23.720 --> 00:02:25.880]  我相信縱然這個世界有很多的困難
[00:02:25.880 --> 00:02:27.920]  很多的糾紛、很多的戰亂
