
[00:00:00.000 --> 00:00:02.000]  用我們的現代話來說
[00:00:02.000 --> 00:00:04.000]  你可以說
[00:00:04.000 --> 00:00:06.000]  就是說
[00:00:06.000 --> 00:00:08.000]  我們的城裏面
[00:00:08.000 --> 00:00:10.000]  有一個巨富
[00:00:10.000 --> 00:00:14.000]  他穿最頂級的
[00:00:14.000 --> 00:00:16.000]  設計師的衣服
[00:00:16.000 --> 00:00:20.000]  下午在君悅飲茶
[00:00:20.000 --> 00:00:22.000]  晚上在富林
[00:00:22.000 --> 00:00:24.000]  吃下日鮑魚
[00:00:24.000 --> 00:00:26.000]  或是在新銅鑼
[00:00:26.000 --> 00:00:28.000]  吃大群節
[00:00:28.000 --> 00:00:30.000]  天天如是
[00:00:30.000 --> 00:00:32.000]  我們當然羨慕死
[00:00:32.000 --> 00:00:34.000]  羨慕死
[00:00:34.000 --> 00:00:36.000]  我們呢
[00:00:36.000 --> 00:00:38.000]  穿的就是
[00:00:38.000 --> 00:00:40.000]  泰國廟街街邊那些
[00:00:40.000 --> 00:00:42.000]  15元一件的無牌貨
[00:00:42.000 --> 00:00:46.000]  晚上我們吃粉絲
[00:00:46.000 --> 00:00:48.000]  他吃鮑魚
[00:00:48.000 --> 00:00:50.000]  我們吃鯇魚
[00:00:50.000 --> 00:00:52.000]  你說如果有一次
[00:00:52.000 --> 00:00:54.000]  只是一次
[00:00:54.000 --> 00:00:56.000]  讓我過一個巨富的生活
[00:00:56.000 --> 00:00:58.000]  不枉此生
[00:00:58.000 --> 00:01:00.000]  我們報紙
[00:01:00.000 --> 00:01:02.000]  我們的電視
[00:01:02.000 --> 00:01:04.000]  天天都充滿這些
[00:01:04.000 --> 00:01:06.000]  這些報道
[00:01:06.000 --> 00:01:08.000]  我們人真是
[00:01:08.000 --> 00:01:10.000]  引導我們這些小民發狂
[00:01:10.000 --> 00:01:14.000]  如果讓我過一天
[00:01:14.000 --> 00:01:16.000]  我就不枉此生
[00:01:16.000 --> 00:01:18.000]  我們再留意
[00:01:18.000 --> 00:01:20.000]  看看聖經怎樣介紹這個財主
[00:01:20.000 --> 00:01:22.000]  他說
[00:01:22.000 --> 00:01:24.000]  有一位財主
[00:01:26.000 --> 00:01:28.000]  現在能夠說的就這麼多
[00:01:28.000 --> 00:01:32.000]  再說不下去了
[00:01:32.000 --> 00:01:34.000]  我們說假如一個人
[00:01:34.000 --> 00:01:36.000]  來到他最後一段路
[00:01:36.000 --> 00:01:38.000]  人能夠記起他
[00:01:38.000 --> 00:01:40.000]  能夠介紹這個人
[00:01:40.000 --> 00:01:42.000]  就只是這句說話
[00:01:42.000 --> 00:01:44.000]  我們說這個人一生一定有些問題
[00:01:44.000 --> 00:01:46.000]  有一個財主
[00:01:46.000 --> 00:01:48.000]  那就什麼都沒有了
[00:01:48.000 --> 00:01:50.000]  說不下去了
[00:01:54.000 --> 00:01:56.000]  我們說假如有一天
[00:01:56.000 --> 00:01:58.000]  我們如果過去了
[00:01:58.000 --> 00:02:02.000]  在一個安息的星期
[00:02:02.000 --> 00:02:04.000]  我想這個就是我們人
[00:02:04.000 --> 00:02:06.000]  很想知道的
[00:02:06.000 --> 00:02:08.000]  我們一向要知道
[00:02:08.000 --> 00:02:10.000]  到底人怎樣介紹我們
[00:02:10.000 --> 00:02:16.000]  無論怎樣我們總盼望別人
[00:02:16.000 --> 00:02:18.000]  給我們一點人性
[00:02:18.000 --> 00:02:20.000]  人的味道
[00:02:20.000 --> 00:02:22.000]  來介紹我們
[00:02:22.000 --> 00:02:24.000]  譬如說
[00:02:24.000 --> 00:02:26.000]  這是一個好的丈夫
[00:02:26.000 --> 00:02:28.000]  這是一個盡責的媽媽
[00:02:28.000 --> 00:02:30.000]  這是一個忠心的朋友
[00:02:30.000 --> 00:02:32.000]  我們覺得去都去得划算一點
[00:02:32.000 --> 00:02:36.000]  人家給我們的評價
[00:02:36.000 --> 00:02:38.000]  是有些人性的味道在裡面
[00:02:38.000 --> 00:02:40.000]  雖然不一定說
[00:02:40.000 --> 00:02:42.000]  這是臨行而逝
[00:02:42.000 --> 00:02:44.000]  這個我們都不需要要求
[00:02:44.000 --> 00:02:46.000]  但我們總盼望
