
[00:00:00.000 --> 00:00:02.000]  青姐妹平安
[00:00:02.000 --> 00:00:06.000]  開始進入經文之前 我們一起祈禱
[00:00:06.000 --> 00:00:12.000]  七夕天父感謝祢 讓我們能夠來到祢的殿中敬拜
[00:00:12.000 --> 00:00:14.000]  去聽祢經上的話
[00:00:14.000 --> 00:00:16.000]  求祢都帶領我們的心
[00:00:16.000 --> 00:00:18.000]  讓我們的專注力放在祢的身上
[00:00:18.000 --> 00:00:21.000]  祢親自向我們的心講說話
[00:00:21.000 --> 00:00:24.000]  讓我們能夠走在祢的心意當中
[00:00:24.000 --> 00:00:27.000]  祈禱交托 父主明求 阿門
[00:00:29.000 --> 00:00:31.000]  今天我們的講題是 怎能不愛惜
[00:00:31.000 --> 00:00:35.000]  不知道大家在你的生命 生活當中
[00:00:35.000 --> 00:00:39.000]  有沒有一些人 事 物 是你很愛惜的呢
[00:00:39.000 --> 00:00:41.000]  現在可不可以想到
[00:00:41.000 --> 00:00:43.000]  很愛惜 你愛惜的一些
[00:00:43.000 --> 00:00:47.000]  大家可不可以想到
[00:00:47.000 --> 00:00:51.000]  都有點頭的
[00:00:51.000 --> 00:00:54.000]  今天我們一起來看看
[00:00:54.000 --> 00:00:57.000]  在經文當中 愛惜的是些什麼
[00:00:59.000 --> 00:01:01.000]  約拿書 全書只有四章
[00:01:01.000 --> 00:01:04.000]  是十二小仙之裡的其中一卷
[00:01:04.000 --> 00:01:06.000]  約拿書的情節很豐富
[00:01:06.000 --> 00:01:10.000]  講述北國的仙之 約拿被神呼召
[00:01:10.000 --> 00:01:14.000]  到亞述國的尼尼微城 傳講神話語的經過
[00:01:14.000 --> 00:01:17.000]  在約拿書裡最出名的一件事
[00:01:17.000 --> 00:01:19.000]  大家知不知道是什麼
[00:01:19.000 --> 00:01:23.000]  吞拿魚的故事 是不是
[00:01:23.000 --> 00:01:26.000]  就是約拿被一條大魚吞了
[00:01:26.000 --> 00:01:29.000]  在漁福裡三日三夜的經歷
[00:01:29.000 --> 00:01:33.000]  兒童的主要學都很喜歡講這個故事
[00:01:33.000 --> 00:01:35.000]  在約拿書第二章
[00:01:35.000 --> 00:01:40.000]  就是講到約拿在漁福裡的經歷
[00:01:40.000 --> 00:01:43.000]  今天的講道經文是第四章
[00:01:43.000 --> 00:01:45.000]  其實約拿書有一個結構
[00:01:45.000 --> 00:01:50.000]  就是一個簡單的結構
[00:01:50.000 --> 00:01:52.000]  平衡的結構 兩個故事
[00:01:52.000 --> 00:01:57.000]  第一和第三章是講到約拿和外邦人的互動
[00:01:57.000 --> 00:01:59.000]  第一章裡面是水手
[00:01:59.000 --> 00:02:01.000]  第三章裡面是尼尼微城的人
[00:02:01.000 --> 00:02:05.000]  第二和四章其實都是講到約拿和耶和華的對話
[00:02:05.000 --> 00:02:09.000]  第二章就是剛才所講 約拿在漁福中的禱告
[00:02:09.000 --> 00:02:11.000]  在約拿書第一章的時候
[00:02:11.000 --> 00:02:14.000]  一開頭我們就見到約拿在逃避神
[00:02:14.000 --> 00:02:18.000]  就說他上船去到一個跟尼尼微相反方向的地方
[00:02:18.000 --> 00:02:20.000]  就想去他斯
[00:02:20.000 --> 00:02:24.000]  神就找到他 並且在海上興起狂風巨浪
[00:02:24.000 --> 00:02:28.000]  船上的外邦人就被迫將約拿扔下海
[00:02:28.000 --> 00:02:30.000]  其實是約拿要求他們這樣做
[00:02:30.000 --> 00:02:35.000]  然後神就安排一條大魚吞了約拿 救他的性命
[00:02:35.000 --> 00:02:39.000]  第二章 約拿在漁福裡向神禱告
[00:02:39.000 --> 00:02:41.000]  去到第三章的時候
