
[00:00:00.000 --> 00:00:02.000]  好的 英姐妹平安
[00:00:02.000 --> 00:00:07.760]  今晚跟大家分享2025年YAS最後一篇訊息
[00:00:07.760 --> 00:00:11.760]  題目叫信實的主義馬來西亞
[00:00:11.760 --> 00:00:15.160]  今年12月都有點特別
[00:00:15.160 --> 00:00:20.880]  大家覺得都好像沒有往年那樣閃爍的
[00:00:20.880 --> 00:00:23.080]  再歌再舞 又去派對
[00:00:23.080 --> 00:00:24.720]  很多不同派對的聖誕氣氛
[00:00:24.720 --> 00:00:26.560]  很有聖誕氣氛
[00:00:26.560 --> 00:00:30.240]  但反而在整個社會氛圍裏
[00:00:30.240 --> 00:00:32.160]  我們可以給予很多空間
[00:00:32.160 --> 00:00:35.720]  給予機會我們再次思考
[00:00:35.720 --> 00:00:39.000]  基督降生的意義
[00:00:39.000 --> 00:00:41.400]  其實在香港發生的事
[00:00:41.400 --> 00:00:43.800]  我們看到人生的旅途
[00:00:43.800 --> 00:00:46.760]  常常都經歷了很多變幻莫測的情況
[00:00:46.760 --> 00:00:48.760]  就在幾個星期之前
[00:00:48.760 --> 00:00:51.200]  我想大家都仍然記憶猶新
[00:00:51.200 --> 00:00:53.400]  剛才Worship Leader都有提及過
[00:00:53.400 --> 00:00:56.600]  在大埔宏福縣的大火災
[00:00:56.600 --> 00:00:58.600]  在一個毫無預警之下
[00:00:58.600 --> 00:01:03.240]  有1900多個家庭同室家園
[00:01:03.240 --> 00:01:06.440]  同時亦沒有了160條人命
[00:01:06.440 --> 00:01:09.640]  整件事震撼了整個香港
[00:01:09.640 --> 00:01:12.120]  我聽見有人跟我說
[00:01:12.120 --> 00:01:14.080]  都沒有人能救
[00:01:14.080 --> 00:01:15.840]  我都不知道 我都預計不到
[00:01:15.840 --> 00:01:17.920]  究竟會有明天先
[00:01:17.920 --> 00:01:19.920]  還是會有意外先
[00:01:19.920 --> 00:01:22.000]  聽到好像很灰
[00:01:22.000 --> 00:01:23.800]  好像很傷心
[00:01:23.800 --> 00:01:28.320]  但意外發生真的會令人心情很不安
[00:01:28.320 --> 00:01:29.840]  有時有很多困惑
[00:01:29.840 --> 00:01:32.840]  亦都好像很多無力感
[00:01:32.840 --> 00:01:35.120]  我們有時會問
[00:01:35.120 --> 00:01:37.960]  在這個混亂動盪的世界裏
[00:01:37.960 --> 00:01:40.720]  究竟有沒有一些東西是真正可靠
[00:01:40.720 --> 00:01:43.240]  而且永遠都不會改變的呢
[00:01:43.240 --> 00:01:45.840]  就是今天的題目
[00:01:45.840 --> 00:01:49.120]  信實的主義馬來西亞
[00:01:49.120 --> 00:01:53.560]  是我要說以賽亞書一個舊約的先知
[00:01:53.560 --> 00:01:56.760]  當他發這個預言的時候
[00:01:56.760 --> 00:01:59.120]  他都是在黑暗的時代
[00:01:59.120 --> 00:02:02.640]  處於一個極其黑暗的時代所發出的預言
[00:02:02.640 --> 00:02:05.760]  但是他就是在這個預言當中
[00:02:05.760 --> 00:02:09.240]  他就是宣告了我們這位信實不變的神
[00:02:09.240 --> 00:02:12.200]  和一個永遠不動搖的盼望
[00:02:12.200 --> 00:02:14.120]  亦都來到12月
[00:02:14.120 --> 00:02:18.640]  是一篇都很應景的一個信息
[00:02:18.640 --> 00:02:20.480]  待會告訴你
[00:02:20.480 --> 00:02:24.080]  其實都關乎我們的救主降生
[00:02:24.080 --> 00:02:26.560]  二馬來尼的意思就是
[00:02:26.560 --> 00:02:28.560]  神與我們同在
[00:02:28.560 --> 00:02:30.880]  我們願我們所愛的主
[00:02:30.880 --> 00:02:32.160]  我們的耶穌基督
[00:02:32.160 --> 00:02:33.960]  我們的親愛的聖靈
[00:02:33.960 --> 00:02:37.680]  親自在我們當中與我們同在
[00:02:37.680 --> 00:02:40.280]  帶領我們在每時每刻
[00:02:40.280 --> 00:02:42.760]  無論是喜樂
[00:02:42.760 --> 00:02:43.960]  無論是憂傷
[00:02:43.960 --> 00:02:45.240]  在任何的光景
[00:02:45.240 --> 00:02:45.880]  在高山
[00:02:45.880 --> 00:02:46.760]  在低谷
[00:02:47.000 --> 00:02:50.160]  神祢的應許都是永遠與我們同在
[00:02:50.160 --> 00:02:51.920]  祢沒有一刻離開過我們
[00:02:51.920 --> 00:02:53.640]  祢常在我們身邊
[00:02:53.640 --> 00:02:56.000]  成為我們的保護
[00:02:56.000 --> 00:02:57.960]  成為我們的安慰者
[00:02:57.960 --> 00:02:59.640]  成為我們的帶領
[00:02:59.640 --> 00:03:00.560]  更新我們
[00:03:00.560 --> 00:03:01.440]  改變我們
[00:03:01.440 --> 00:03:03.080]  讓我們更加有
[00:03:03.080 --> 00:03:04.400]  更加持理
[00:03:04.400 --> 00:03:06.760]  更加知道神祢的愛
[00:03:06.760 --> 00:03:08.080]  在我們的生命裏面
[00:03:08.080 --> 00:03:10.080]  有多麼的長闊高深
[00:03:10.080 --> 00:03:13.600]  有多麼的偉大
[00:03:13.600 --> 00:03:16.240]  願神祢拖大引領我們
[00:03:16.240 --> 00:03:17.520]  祝福保守我們
[00:03:17.520 --> 00:03:18.480]  聽我們禱告
[00:03:18.480 --> 00:03:19.640]  奉耶穌基督的名
[00:03:19.640 --> 00:03:20.440]  Amen
[00:03:20.440 --> 00:03:21.760]  請坐
[00:03:21.760 --> 00:03:23.360]  謝謝敬拜隊
[00:03:23.360 --> 00:03:27.560]  以賽亞先知
[00:03:27.560 --> 00:03:29.040]  跟大家說說
[00:03:29.040 --> 00:03:32.360]  他大概在主前
[00:03:32.360 --> 00:03:35.040]  七百六十至七百年左右
[00:03:35.040 --> 00:03:36.800]  主前即是耶穌基督
[00:03:36.800 --> 00:03:41.200]  降生之前的七百多年之前
[00:03:41.200 --> 00:03:44.400]  這位以賽亞先知就在世上
[00:03:44.400 --> 00:03:46.840]  而以賽亞這個名稱
[00:03:46.840 --> 00:03:48.720]  其實有一個意思
[00:03:48.720 --> 00:03:51.760]  他的意思是耶和華拯救
[00:03:51.760 --> 00:03:54.040]  而以賽亞先知
[00:03:54.040 --> 00:03:56.280]  大致上同期
[00:03:56.280 --> 00:03:58.600]  有另外兩位先知大家可能都聽過
[00:03:58.600 --> 00:03:59.800]  一個叫阿摩斯
[00:03:59.800 --> 00:04:02.200]  一個叫荷西亞
[00:04:02.200 --> 00:04:04.960]  而以賽亞先知出生
[00:04:04.960 --> 00:04:07.800]  其實他也是在皇室出生的
[00:04:07.800 --> 00:04:09.000]  也是貴族
[00:04:09.800 --> 00:04:15.120]  那時候他經歷了四代猶大國的國王
[00:04:15.120 --> 00:04:16.480]  包括了烏西亞
[00:04:16.480 --> 00:04:17.840]  包括了約旦
[00:04:17.840 --> 00:04:19.880]  阿哈斯和希西加
[00:04:19.880 --> 00:04:20.840]  在那裡
[00:04:20.840 --> 00:04:24.320]  他總共做先知的位份
[00:04:24.320 --> 00:04:26.760]  大概有四十年的時間
[00:04:26.760 --> 00:04:31.560]  他在當時見證著整個國家的動盪
[00:04:31.560 --> 00:04:34.600]  而且道德的敗壞
[00:04:34.600 --> 00:04:36.560]  犯罪得罪神
[00:04:36.560 --> 00:04:38.080]  偶像崇拜
[00:04:38.080 --> 00:04:41.640]  結果同時他也經歷了
[00:04:41.640 --> 00:04:44.360]  他鄰國亞述帝國的崛起
[00:04:44.360 --> 00:04:48.280]  以及北角以色列國的滅亡
[00:04:48.280 --> 00:04:50.760]  被亞述吞併了
[00:04:50.760 --> 00:04:53.000]  而以賽亞書這本書
[00:04:53.000 --> 00:04:56.760]  大約在他再生的時間
[00:04:56.760 --> 00:04:59.720]  大概是主前的八世紀
[00:04:59.720 --> 00:05:02.080]  透過以賽亞先知的預言
[00:05:02.080 --> 00:05:04.920]  以賽亞書主要的內容是表明
[00:05:04.920 --> 00:05:07.080]  神在危難當中
[00:05:07.080 --> 00:05:09.080]  他最重要的重點就是
[00:05:09.080 --> 00:05:12.280]  神在危難當中仍然掌權
[00:05:12.280 --> 00:05:14.880]  而也預告了在黑暗裡
[00:05:14.880 --> 00:05:17.160]  將會有一個榮耀臨在
[00:05:17.160 --> 00:05:19.080]  這個榮耀的來源
[00:05:19.080 --> 00:05:22.840]  就是預言尼賽亞的降生
[00:05:22.840 --> 00:05:25.880]  尼賽亞是希伯來文
[00:05:25.880 --> 00:05:26.920]  稍後我再解釋
[00:05:26.920 --> 00:05:29.640]  一位將要降臨的君王
[00:05:29.640 --> 00:05:31.160]  用一個神聖的身份
[00:05:31.160 --> 00:05:33.160]  和一個永恆的政權
[00:05:33.160 --> 00:05:37.160]  為這個世界帶來和平和公義
[00:05:37.160 --> 00:05:39.880]  並且亦相信
