
[00:00:00.000 --> 00:00:02.760]  (主持人:提醒節目好,我們繼續我們的series)
[00:00:02.760 --> 00:00:10.800]  (這次到了聖誕節,我們記得看過聖經裡的外邦的君王或者世俗的君王)
[00:00:10.800 --> 00:00:15.360]  (因為聖誕節的緣故,所以我們看了一個君王一定是聖誕節裡提過的)
[00:00:15.360 --> 00:00:18.040]  (這是在《路加福音》第二章第一節開始的)
[00:00:18.040 --> 00:00:24.280]  (他說:「在那些日子,凱撒奧古士都降子,叫全國人民都登記戶籍。」)
[00:00:24.280 --> 00:00:28.920]  (「這第一次登記戶籍,是在居里諾作敘利亞總督的時候行的。」)
[00:00:28.920 --> 00:00:32.760]  (「眾人各歸各城,就辦理登記了。」)
[00:00:32.760 --> 00:00:38.720]  (「約瑟也從伽利利的拿撒勒城,上猶太地去。」)
[00:00:38.720 --> 00:00:43.560]  (「到了大衛的城叫伯利恆,他是大衛家族的人。」)
[00:00:43.560 --> 00:00:49.120]  (「要和他所聘之妻,馬利亞,同一登記戶籍。」)
[00:00:49.120 --> 00:00:53.400]  (「他們在那裡的時候,馬利亞的產妻到了,就生了投胎的兒子。」)
[00:00:53.400 --> 00:00:58.720]  (「用包包起來,放在馬槽裡,因為客店裡沒有地方。」)
[00:00:58.720 --> 00:01:03.560]  (「這裏提到兩個的君王,兩個的所謂做官的。」)
[00:01:03.560 --> 00:01:06.000]  (「第一個就是凱撒奧古士都。」)
[00:01:06.000 --> 00:01:11.960]  (「第二個就是居里諾,居里諾只不過是省長,敘利亞巴勒斯坦地的省長。」)
[00:01:11.960 --> 00:01:18.360]  (「今次我們看左邊這一個,就是 Augustus,奧古士都。」)
[00:01:18.360 --> 00:01:21.520]  (「這個我們每一次去到聖誕節的時候,都會提的。」)
[00:01:21.520 --> 00:01:26.960]  (「正如以前提過,聖誕節就好像一些小朋友的故事那樣。」)
[00:01:26.960 --> 00:01:28.840]  (「Children's Bible一定會有的。」)
[00:01:28.840 --> 00:01:30.600]  (「那些博士等等。」)
[00:01:30.600 --> 00:01:33.360]  (「去到馬槽,看到這個聖嬰等等。」)
[00:01:33.360 --> 00:01:38.840]  (「這些畫像很令我們很深印象。」)
[00:01:38.840 --> 00:01:42.520]  (「但在《路加》或者《聖經》裏面記載的聖誕故事。」)
[00:01:42.520 --> 00:01:44.720]  (「只有大概兩處地方而已。」)
[00:01:44.720 --> 00:01:46.520]  (「《路加方》第1、2章,今天我們看的。」)
[00:01:46.520 --> 00:01:49.400]  (「以及《馬太方》第1、2章。」)
[00:01:49.400 --> 00:01:53.720]  (「如果你看清楚經文裏面說的話,就絕對不是一個小孩子的故事。」)
[00:01:53.720 --> 00:02:02.440]  (「是一個很有政治含意,以及當時很混亂的一個時間。」)
[00:02:02.440 --> 00:02:04.240]  (「耶穌降生的。」)
[00:02:04.240 --> 00:02:08.200]  (「所以為什麼我們需要了解一下,《路加》要特別看這件事。」)
[00:02:08.200 --> 00:02:11.880]  (「如果是講一個小朋友的故事,他就不需要提第一節。」)
[00:02:11.880 --> 00:02:12.760]  (「對吧?」)
[00:02:12.760 --> 00:02:19.200]  (「不需要提第一節,或者其他當時的歷史,或者社會的狀況。」)
[00:02:19.200 --> 00:02:20.920]  (「第二章第一節。」)
[00:02:20.920 --> 00:02:23.920]  (「那裏講到《凱撒·奧古士都》。」)
[00:02:23.920 --> 00:02:26.920]  (「凱撒·斯索,只不過是一個title而已。」)
[00:02:26.920 --> 00:02:30.200]  (「好像牧師,或者總統,是一個title。」)
