
[00:00:00.000 --> 00:00:08.000]  各位弟兄姐妹,今年2024年第一個主日,我們分享訊息的時候,就會講雅各書的。
[00:00:08.000 --> 00:00:12.000]  我先講兩件事情,那些introduction會多一點點,不好意思。
[00:00:12.000 --> 00:00:17.000]  第一個introduction就是,我們經常都要講什麼屬靈土壤,講了幾年了。
[00:00:17.000 --> 00:00:20.000]  人家都跟我說,牧師,你講夠了沒有?那些屬靈土壤。
[00:00:20.000 --> 00:00:25.000]  我講了兩年,還有人問我,那是什麼東西來的?
[00:00:25.000 --> 00:00:27.000]  沒辦法,解都解不清楚。
[00:00:27.000 --> 00:00:35.000]  屬靈土壤是什麼東西來的?印了出來,我告訴你,大家一起彼此相愛,在這裡一起建立的,寫一寫。
[00:00:35.000 --> 00:00:40.000]  不過那些東西好像都是虛虛的,不太知道是什麼,屬靈土壤。
[00:00:40.000 --> 00:00:46.000]  我又用另一個角度來看,如果你在這裡見到那些人,你發生的人和事情之後,
[00:00:46.000 --> 00:00:52.000]  你在這裡,那些人會怎麼做事呢?會不會說你呢?會怎麼說你呢?會怎麼提醒你呢?
[00:00:52.000 --> 00:00:58.000]  這些就是很土壤的,你在這裡發生的人和事情,一會兒會詳細的講。
[00:00:58.000 --> 00:01:02.000]  那些人是會說你,又會不會說你,又或者大家的反應是怎麼樣呢?
[00:01:02.000 --> 00:01:08.000]  一起生活的時候,我覺得這個是土壤,稍微,一會兒我再解詳細一點。
[00:01:08.000 --> 00:01:16.000]  第二樣東西就是,今天我要講幾個introduction,
[00:01:16.000 --> 00:01:24.000]  第一個就是勾起我,要講這段經文,最重要的就是提醒我,我整個構思裡面是什麼呢?
[00:01:24.000 --> 00:01:28.000]  我看了這本書,其實我寫書評是寫過的,有沒有人印象?
[00:01:28.000 --> 00:01:31.000]  其實都是拿來寫,沒人看而已。
[00:01:31.000 --> 00:01:40.000]  這個就是木銜我有寫的,這個叫《微塵裡的智慧》,這個就是兩種文學,兩種不同的智慧。
[00:01:40.000 --> 00:01:46.000]  高銘軒博士寫有關於《雅各書》和《傳道書》的。
[00:01:46.000 --> 00:01:53.000]  那就算了,你沒看過我寫的文章,我很用心寫的,不過 anyway,沒看過,不要緊,馬上講給你聽。
[00:01:53.000 --> 00:01:59.000]  他說原來兩個都是智慧文學,一個舊約智慧文學,《傳道書》,一個新約智慧文學,原來《雅各書》。
[00:01:59.000 --> 00:02:03.000]  其實我是從來沒有試過從這個角度來看事物的,ok?
[00:02:03.000 --> 00:02:05.000]  所以我覺得他都給我眨新眼界。
[00:02:05.000 --> 00:02:14.000]  當我閱讀完之後,我就發覺,我看完,我讀完《傳道書》,讀完《雅各書》,完全不同感受。
[00:02:14.000 --> 00:02:16.000]  等一下我又會再講少少給你聽。
[00:02:16.000 --> 00:02:20.000]  不過在講少少之前,又講多一樣,那個《傳道書》是什麼呢?
[00:02:20.000 --> 00:02:28.000]  舊約智慧文學有三款,一個叫做《箴言》,一個叫做《約伯記》,一個叫做《傳道書》。
[00:02:28.000 --> 00:02:32.000]  這三卷書有三款智慧在這裡。
[00:02:32.000 --> 00:02:39.000]  《箴言》叫做《一般性的智慧》,就是說勤力讀書當然好,孝敬父母,好啊,一定上帝賞賜。
[00:02:39.000 --> 00:02:45.000]  還有《箴言》也有說,你一定是一樣好處都不缺,這些是正常智慧。
[00:02:45.000 --> 00:02:48.000]  如果這樣講,正正常常都會是這樣,大多數情況都會這樣發生。
[00:02:48.000 --> 00:02:51.000]  這種正常智慧,第一種叫做《箴言》書。
[00:02:51.000 --> 00:02:52.000]  第二種是什麼呢?
[00:02:52.000 --> 00:02:56.000]  第二種是《返常的智慧》,就是說返常的時候應對。
[00:02:56.000 --> 00:02:58.000]  《約伯記》就是返常情況。
[00:02:58.000 --> 00:03:00.000]  《箴言》、《神光恩》怎麼搞成這樣呢?
[00:03:00.000 --> 00:03:03.000]  照計不會,一定是犯罪了。
[00:03:03.000 --> 00:03:06.000]  但是返常的,沒有犯罪也可以搞成這樣,行不行?
[00:03:06.000 --> 00:03:07.000]  《返常的智慧》。
[00:03:07.000 --> 00:03:09.000]  《箴言》有哪一種智慧呢?
[00:03:09.000 --> 00:03:11.000]  一個是正常,一個是返常。
[00:03:11.000 --> 00:03:17.000]  《箴言》這個叫做《無常智慧》,就是捉不到,捉不到什麼呢?
[00:03:17.000 --> 00:03:19.000]  如果《聖經》裡面很明確,我就讀給你聽。
[00:03:19.000 --> 00:03:26.000]  《箴言》十一章我覺得最典型的,就是《無常智慧》是什麼?
[00:03:26.000 --> 00:03:28.000]  《箴言》第九章第十一節。
[00:03:28.000 --> 00:03:35.000]  我又轉念,見日光之下,快跑的未必能贏,歷戰的未必能得勝。
[00:03:35.000 --> 00:03:43.000]  智慧未必得糧食,明哲的未必得知才,靈巧的未必得喜悅,所臨到眾人的。
[00:03:43.000 --> 00:03:44.000]  你猜是什麼?
[00:03:44.000 --> 00:03:47.000]  在乎當時的機會,等於沒說。
[00:03:47.000 --> 00:03:49.000]  不知道行不行。
[00:03:49.000 --> 00:03:51.000]  這個就是《無常智慧》掌握不到的。
[00:03:51.000 --> 00:03:53.000]  你聰明又不一定贏。
[00:03:53.000 --> 00:03:59.000]  我們有時經常碰到正常、反常和無常,我們經常都會碰到的。
[00:03:59.000 --> 00:04:00.000]  但是我們有不同的應對。
[00:04:00.000 --> 00:04:04.000]  不過自從看完,將這兩本書加起來看的時候,
[00:04:04.000 --> 00:04:09.000]  我發覺我看出了很獨特的《雅各書》的智慧,又閃亮了一點。
[00:04:09.000 --> 00:04:11.000]  所以一會兒又要說給你聽。
[00:04:11.000 --> 00:04:15.000]  第三件事,又是有一點背景的。
[00:04:15.000 --> 00:04:17.000]  不知道你發不發覺,
[00:04:17.000 --> 00:04:19.000]  上教會經常聽弟兄姐妹的分享,
[00:04:19.000 --> 00:04:21.000]  就是你做錯決定,心裡就癢癢癢。
[00:04:21.000 --> 00:04:25.000]  我覺得這是我們分享裡面最常見的一種,
[00:04:25.000 --> 00:04:28.000]  那時候選了什麼,又這樣這樣。
[00:04:28.000 --> 00:04:30.000]  如果不是這樣這樣,就是這樣這樣。
[00:04:30.000 --> 00:04:32.000]  你都不知道我說的怎樣。
[00:04:32.000 --> 00:04:35.000]  我小時候上團契的時候,都有很多埋怨。
[00:04:35.000 --> 00:04:38.000]  我剛剛上青年團契的時候,
[00:04:38.000 --> 00:04:41.000]  我一直在埋怨一件事,為什麼我會做出這麼蠢的決定呢?
[00:04:41.000 --> 00:04:45.000]  我當時小學的成績是挺好的。
[00:04:45.000 --> 00:04:48.000]  這麼久了,我故意說遠一點的事情。
[00:04:48.000 --> 00:04:49.000]  我當時成績是挺好的。
[00:04:49.000 --> 00:04:53.000]  我校長跟我說,你選哪一間學校都幾乎選到的了。
[00:04:53.000 --> 00:04:56.000]  我那時候考第一的,我小學。
[00:04:56.000 --> 00:04:59.000]  當然在差班考第一,但都是考第一。
[00:04:59.000 --> 00:05:02.000]  所以我校長跟我說,你選吧,隨便選,選什麼。
[00:05:02.000 --> 00:05:06.000]  我有幾間選的,有男校,有男女校。
[00:05:06.000 --> 00:05:08.000]  當然沒有女校選。
[00:05:08.000 --> 00:05:10.000]  我就選了一間男校來的。
[00:05:10.000 --> 00:05:13.000]  但我選男校都不是我最擔心的地方。
[00:05:13.000 --> 00:05:16.000]  我進去幾年之後,我發覺很後悔讀那間男校。
[00:05:16.000 --> 00:05:20.000]  因為那間學校是在堅尼地道其中一間學校。
[00:05:20.000 --> 00:05:25.000]  由堅尼地道口到堅尼地道尾,有三間學校。
[00:05:25.000 --> 00:05:31.000]  三間都是天主教學校,兩間男校,一間女校。
[00:05:31.000 --> 00:05:35.000]  堅尼地道,堅尼地道,不是堅尼地城,是堅尼地道。
[00:05:35.000 --> 00:05:38.000]  有三間學校,知道就知道,不知道就算,不要想。
[00:05:38.000 --> 00:05:39.000]  總之有三間學校。
