
[00:00:00.000 --> 00:00:05.140]  三位天父,我們感謝祢的恩典,祢讓我們有豐盛的救恩,
[00:00:05.140 --> 00:00:13.820]  也讓我們有教會弟兄姊妹,可以在美麗的主日清晨一同來敬拜祢,思想祢的說話。
[00:00:13.820 --> 00:00:20.680]  我們懇求聖靈在我們心中動功,幫助我們說得清楚,聽得明白,
[00:00:20.680 --> 00:00:27.000]  並且有聖靈的能力幫助我們在生活中實踐我們的信仰。
[00:00:27.000 --> 00:00:35.260]  以下時間恭敬,交在祢的手裏,奉耶穌基督的名祈禱,阿門。
[00:00:35.260 --> 00:00:41.060]  今天我們會繼續思想《哥羅西書》第二章。
[00:00:41.060 --> 00:00:47.980]  上星期我已經提過,當時哥羅西地方的教會,
[00:00:47.980 --> 00:00:53.540]  是面對著一些假教師的教訓。
[00:00:53.540 --> 00:00:57.200]  今天我們思想第二章的經文,
[00:00:57.200 --> 00:01:08.180]  我們看到有幾節的經文暗示或者直接指出當時的假教師的教訓。
[00:01:08.180 --> 00:01:19.840]  在二章四節裏說:「我說者說,免得你們被任何人用花言巧語把你們引入歧途。」
[00:01:19.840 --> 00:01:27.600]  那些假教師一定是很會說話,甚至說話很動聽,
[00:01:27.600 --> 00:01:33.880]  因此他們會用花言巧語把人引入歧途。
[00:01:33.880 --> 00:01:38.280]  最近我們看過《創世紀》第三章,
[00:01:38.280 --> 00:01:42.640]  思想過「蛤蛙犯罪」,吃禁果的事。
[00:01:42.640 --> 00:01:50.960]  「蛤蛙犯罪」一方面固然是他自己有眼目的情慾,肉體的情慾和今生的驕傲,
[00:01:50.960 --> 00:01:55.560]  但是他也受到蛇的誘惑。
[00:01:55.560 --> 00:02:03.520]  蛇是用一些天真無邪的說話來誘惑蛤蛙。
[00:02:03.520 --> 00:02:12.400]  所以我們要小心,那些很會說話的人,千萬不要什麼都相信。
[00:02:12.400 --> 00:02:19.960]  在第二章第八節提到「不要被虛妄的哲學迷住了。」
[00:02:19.960 --> 00:02:27.880]  對喜歡思考的人,他們很容易被哲學家的說話迷住。
[00:02:27.880 --> 00:02:35.240]  基督徒也會遇到一些人用一些似是而非的問題,
[00:02:35.240 --> 00:02:38.840]  令我們不知道該如何回答。
[00:02:38.840 --> 00:02:49.440]  例如有些人會問:「假如上帝是全能的,為什麼他不阻止世上的苦難發生呢?」
[00:02:49.440 --> 00:02:54.880]  「假如上帝是全善的,為什麼世上有這麼多的罪惡呢?」
[00:02:54.880 --> 00:02:59.000]  所以上帝不可能是全能和全善的。
[00:02:59.000 --> 00:03:03.480]  如果他是全能的話,他一定不是全善的。
