
[00:00:00.000 --> 00:00:09.500]  大家好,經過退休會後,我們又回到我們的教會聚會點,一起去敬拜
[00:00:09.500 --> 00:00:16.500]  亦是一個很好的轉折,我們開始新一卷書卷《俄巴底亞書》
[00:00:16.500 --> 00:00:22.500]  如果你對俄巴底亞書很陌生,絕對不出奇
[00:00:22.500 --> 00:00:28.500]  因為俄巴底亞書,你如果打開聖經是很難找的
[00:00:29.000 --> 00:00:38.500]  因為它只有二十一節,但是這卷書卻是藏在十二卷
[00:00:38.500 --> 00:00:44.500]  或者用基督教的分類叫做小仙之書的其中一部分
[00:00:44.500 --> 00:00:48.500]  我們能夠在這卷書裡面有什麼學習
[00:00:48.500 --> 00:00:57.500]  能夠透過它能夠透視到在這個秘魯之間的時間
[00:00:58.000 --> 00:01:06.500]  以色列民,尤其是猶大國的子民,怎樣在期間去面對他們的種種信仰的挑戰
[00:01:06.500 --> 00:01:10.500]  以及上帝的恩典怎樣打開去到普世
[00:01:10.500 --> 00:01:14.500]  都能夠給我們一個很不一樣的啟示
[00:01:14.500 --> 00:01:18.500]  讓我們一起再次在聆聽主的說話一起研讀以先
[00:01:18.500 --> 00:01:25.500]  加上禱告,祈求主給我們有智慧能夠在當中明白俄巴底亞書的啟示
[00:01:28.000 --> 00:01:30.500]  父神多謝祢讓我們再次回來
[00:01:30.500 --> 00:01:35.500]  讓我們能夠在真理上不斷去學習並且去尋求
[00:01:35.500 --> 00:01:43.500]  多謝祢讓我們能夠有這份生命能夠再繼續走在這條屬靈的道路上
[00:01:43.500 --> 00:01:49.500]  蒙受聖靈的帶領和去造就我們為此獻上感恩
[00:01:50.000 --> 00:01:58.500]  又是能夠在新的一卷書卷裡打開有更加透徹明白上主你的心思意念
[00:01:58.500 --> 00:02:01.500]  為此在這個時候加上禱告
[00:02:01.500 --> 00:02:07.500]  祈求祢的帶領讓每一個無論是聽的或者說的
[00:02:07.500 --> 00:02:12.500]  都能夠在這一卷俄巴底亞書的當中
[00:02:12.500 --> 00:02:16.500]  能夠更加將我們的屬靈生命深化
[00:02:17.000 --> 00:02:21.500]  而不是留於浮面膚淺的狀態
[00:02:21.500 --> 00:02:25.500]  求祢也幫助我們每一個弟兄姊妹
[00:02:25.500 --> 00:02:28.500]  能夠在這個學習的過程當中
[00:02:28.500 --> 00:02:31.500]  我們能夠彼此守望
[00:02:31.500 --> 00:02:36.500]  透過大家在認識這本書的過程當中的領受
[00:02:36.500 --> 00:02:38.500]  透過分享
[00:02:38.500 --> 00:02:41.500]  透過鼓勵和提醒
[00:02:42.000 --> 00:02:47.500]  我們能夠更加實質地去將主祢的教訓
[00:02:47.500 --> 00:02:51.500]  融合進到我們生命每一個的環節
[00:02:51.500 --> 00:02:53.500]  求祢的帶領
[00:02:53.500 --> 00:02:58.500]  禱告奉靠主耶穌基督得勝明智而求
[00:02:58.500 --> 00:02:59.500]  阿們
[00:02:59.500 --> 00:03:07.500]  如果當我們去看回在新約書卷的約翰福音裡面的時候
[00:03:08.000 --> 00:03:12.000]  大家會留意到去到約翰福音的最後
[00:03:12.000 --> 00:03:16.000]  彼得被耶穌三次問祂
[00:03:16.000 --> 00:03:18.500]  祢是不是愛我
[00:03:18.500 --> 00:03:24.500]  如果當我們仔細去看回約翰福音那段經文的時候
[00:03:24.500 --> 00:03:30.500]  其實耶穌的問題不單只是問愛不愛耶穌這個問題
