
[00:00:00.000 --> 00:00:03.640]  讀一段聖經,在彼得前書第四章第十節,
[00:00:03.640 --> 00:00:05.500]  這一節聖經我們一同來唸,來!
[00:00:05.500 --> 00:00:08.700]  「個人要照所得的恩賜彼此服事,
[00:00:08.700 --> 00:00:11.900]  做神百般恩賜的好管家。」
[00:00:11.900 --> 00:00:13.100]  我們就讀到這裡。
[00:00:13.100 --> 00:00:16.900]  這兩天我們有全教會的敬拜讚美之夜,
[00:00:16.900 --> 00:00:18.700]  你知道當我站在台上,
[00:00:18.700 --> 00:00:22.800]  然後看見我們大家一起同心合意在神面前,
[00:00:22.800 --> 00:00:27.100]  歡喜地唱歌,歡樂地跳舞的時候,
[00:00:27.100 --> 00:00:31.200]  我特別感覺到這真是一個屬靈的大家庭。
[00:00:31.200 --> 00:00:35.700]  而在這個大家庭裡面,我們一同成長,一同前進,
[00:00:35.700 --> 00:00:39.600]  在其中我們是有歡笑也有眼淚,
[00:00:39.600 --> 00:00:43.100]  在其中我們有成功也有失敗,
[00:00:43.100 --> 00:00:45.100]  我們雖然都不完全,
[00:00:45.100 --> 00:00:49.800]  但神卻使我們在祂的大家庭裡面合而為一,
[00:00:49.800 --> 00:00:53.300]  成為一個基督的身體。
[00:00:53.300 --> 00:00:56.900]  既然在神的家庭當中,我們就需要知道,
[00:00:56.900 --> 00:00:59.100]  我們不但是在神的家庭裡面,
[00:00:59.100 --> 00:01:03.100]  我們互為家人,能夠彼此相愛,
[00:01:03.100 --> 00:01:08.300]  我們更是互為管家,彼此服事。
[00:01:08.300 --> 00:01:10.900]  今天很多人一想到管家,
[00:01:10.900 --> 00:01:13.900]  一個直覺的反應就是,
[00:01:13.900 --> 00:01:15.700]  「喔!牧師那就是你嘛,
[00:01:15.700 --> 00:01:18.800]  你就是管家,我們就是家人嘛。」
[00:01:18.800 --> 00:01:21.100]  No,no,no,剛才讀了聖經怎麼說的,
[00:01:21.100 --> 00:01:24.000]  彼得前書四章第十節很清楚怎麼說,
[00:01:24.000 --> 00:01:27.800]  個人要按照所得的恩賜,
[00:01:27.800 --> 00:01:29.600]  做百般恩賜的好管,
[00:01:29.600 --> 00:01:32.900]  這個個人是誰啊,請問你?
[00:01:32.900 --> 00:01:34.900]  我們,打針好了,
[00:01:34.900 --> 00:01:40.100]  我們每一個人,不是牧師,是個人,每一個人,
[00:01:40.100 --> 00:01:45.000]  在神的家中,我們都是家人,也都是管家,
[00:01:45.000 --> 00:01:48.800]  我們彼此相愛,也要彼此服事。
[00:01:48.800 --> 00:01:51.200]  這就好像在我們家裡一樣,
[00:01:51.200 --> 00:01:54.900]  你知道在我們家裡面,師母非常喜歡做菜,
[00:01:54.900 --> 00:01:57.100]  也非常會做菜,
[00:01:57.100 --> 00:02:01.400]  但唯一的,她就是不喜歡洗碗嘛,
[00:02:01.400 --> 00:02:05.000]  而我呢,最愛洗碗,
[00:02:05.000 --> 00:02:08.100]  除了是因為我自己的潔癖之外,
[00:02:08.100 --> 00:02:11.100]  你看不得張子豪自己動手,
[00:02:11.100 --> 00:02:12.300]  但是更重要的,
[00:02:12.300 --> 00:02:17.500]  我發現洗碗是解除壓力最好的方法,
[00:02:17.500 --> 00:02:20.900]  你每洗一個碗就解決一個問題,
[00:02:20.900 --> 00:02:23.700]  再洗一碗又解決另外一個問題,
[00:02:23.700 --> 00:02:29.500]  哇,很有成,超有成就感,我告訴你。
[00:02:29.500 --> 00:02:36.500]  所以我們在我們家中,一個愛煮,一個愛洗,很完美。
[00:02:36.500 --> 00:02:39.200]  在神的家裡面也是這樣嘛,
[00:02:39.200 --> 00:02:41.700]  我們每一個人都不一樣,
[00:02:41.700 --> 00:02:45.900]  在神的家中裡面,我們是互為家人,彼此相愛,
[00:02:45.900 --> 00:02:51.100]  但是也是互為管家,我們彼此服侍嘛,
[00:02:51.100 --> 00:02:53.300]  個人盡自己的力量,
[00:02:53.300 --> 00:02:58.100]  一起來付出百喪,家庭就被建造起來,
[00:02:58.100 --> 00:02:59.900]  所以在這讓我鼓勵你,
[00:02:59.900 --> 00:03:05.400]  一定要主動積極投身在教會侍奉的行列當中,
