
[00:00:00.000 --> 00:00:01.960]  弟兄姊妹,午安!
[00:00:01.960 --> 00:00:07.240]  今天想跟大家思考奉獻這個主題
[00:00:07.240 --> 00:00:16.720]  我在說奉獻,不只是金錢的奉獻
[00:00:16.720 --> 00:00:20.280]  說到奉獻給上帝
[00:00:20.280 --> 00:00:24.520]  我們一般認為最徹底的奉獻就是讀神學
[00:00:24.520 --> 00:00:27.960]  就是剛才姊妹的分享
[00:00:27.960 --> 00:00:30.240]  很不簡單的
[00:00:30.240 --> 00:00:35.480]  你願意放下你自己的事業、成就
[00:00:35.480 --> 00:00:39.440]  金錢、家人去神學院裡面
[00:00:39.440 --> 00:00:45.000]  全時間接受三年或者四年的裝備
[00:00:45.000 --> 00:00:49.720]  畢業之後就在教會或者福音機構那裡侍奉上帝
[00:00:49.720 --> 00:00:52.040]  不簡單的,可能你是專業人士
[00:00:52.040 --> 00:00:56.120]  突然間你要轉為一個全職的學生
[00:00:56.120 --> 00:00:59.080]  雖然全職學生是挺寫意的
[00:00:59.080 --> 00:01:03.240]  但是接著你又要很努力做功課、讀書
[00:01:03.240 --> 00:01:09.200]  接著讀完之後就在教會那裡服侍
[00:01:09.200 --> 00:01:13.040]  當我們基督徒要思考是否全時間奉獻的時候
[00:01:13.040 --> 00:01:15.160]  其實已經很不容易了
[00:01:15.160 --> 00:01:19.760]  剛才也聽到姊妹上帝有一些帶領
[00:01:19.760 --> 00:01:20.960]  好像有點難了
[00:01:20.960 --> 00:01:24.320]  但是上帝給她鋪一條更加平坦的路
[00:01:24.320 --> 00:01:28.080]  讓她更加了解如何去讀神學
[00:01:28.080 --> 00:01:32.160]  讀神學是不容易的,要付很多大代價的
[00:01:32.160 --> 00:01:36.080]  我們退一步說不單止是全時間奉獻的
[00:01:36.080 --> 00:01:39.560]  其實有時候我會覺得
[00:01:39.560 --> 00:01:43.600]  其實如果一個信徒願意
[00:01:43.600 --> 00:01:48.040]  你自己願意在你的職場或者你的工作地點
[00:01:48.040 --> 00:01:52.560]  去侍奉上帝、去見證基督
[00:01:52.560 --> 00:01:55.720]  同樣是不容易
