
[00:00:00.000 --> 00:00:08.000]  耶穌愛我 我知道 因有聖經告訴我
[00:00:08.000 --> 00:00:12.000]  頂智慧是不是很久沒唱過這些兒歌呢?
[00:00:12.000 --> 00:00:15.000]  頂智慧是不是很多時候我們會覺得
[00:00:15.000 --> 00:00:18.000]  耶穌愛我 很久的事了
[00:00:18.000 --> 00:00:20.000]  是幾十年前我信耶穌的那一刻
[00:00:20.000 --> 00:00:25.000]  耶穌才愛我 耶穌已經離開我了
[00:00:25.000 --> 00:00:32.000]  師父亦都告訴他 哈利路亞 意思是你要讚美神
[00:00:32.000 --> 00:00:37.000]  頂智慧 很多時候我們的信仰只是留於禮拜堂裏面
[00:00:37.000 --> 00:00:44.000]  很多時候我們的表述只是留於我們所唱的詩歌
[00:00:44.000 --> 00:00:51.000]  頂智慧 耶穌愛我 固然是聖經告訴我們的事實 真理
[00:00:51.000 --> 00:00:59.000]  耶穌愛我 會不會都是我們生命生活裏面應該體會的事實呢?
[00:00:59.000 --> 00:01:05.000]  讚美耶和華神 哈利路亞 是我們很自然的流露
[00:01:05.000 --> 00:01:16.000]  因為我的生命 我的生活 實在不能叫我不去讚美我所信的獨一的真神
[00:01:16.000 --> 00:01:25.000]  你會不會因為最近為了過去身邊的事物或者個人
[00:01:25.000 --> 00:01:29.000]  無論是信境或者逆境的遭遇
[00:01:29.000 --> 00:01:36.000]  使你不能夠專心跟從神 依靠神呢?
[00:01:36.000 --> 00:01:39.000]  甚至懷疑你的信仰呢?
[00:01:39.000 --> 00:01:54.000]  最近香港的股票很瘋狂 令到很多人很瘋狂地去處理股票
[00:01:54.000 --> 00:02:02.000]  頂智慧 你有沒有加入我為股狂這個行列呢?
[00:02:02.000 --> 00:02:12.000]  真言的作者告訴我們 你要專心仰賴耶和華 不可依靠自己的聰明
[00:02:12.000 --> 00:02:22.000]  在你一切所行的事上 都要認定祂 祂就會指引你的路
[00:02:22.000 --> 00:02:29.000]  今天早上很希望繼續 藉著拿書的訊息 一起思想
