
[00:00:00.000 --> 00:00:05.000]  那今天我們要看的「教會是什麼」
[00:00:05.000 --> 00:00:09.000]  雖然有好幾處的經文
[00:00:09.000 --> 00:00:13.000]  但是剛剛主席所念的經文
[00:00:13.000 --> 00:00:18.000]  是在提莫泰前書的第三章
[00:00:18.000 --> 00:00:23.000]  講到「倘若我單言日久
[00:00:23.000 --> 00:00:27.000]  你也可以知道在神的家中當怎樣行」
[00:00:27.000 --> 00:00:29.000]  保羅講這句話的時候
[00:00:29.000 --> 00:00:33.000]  是對提莫泰在以弗所牧養教會
[00:00:33.000 --> 00:00:35.000]  換句話說
[00:00:35.000 --> 00:00:38.000]  神的家是宇宙性的
[00:00:38.000 --> 00:00:41.000]  神的家不限於在某個地方
[00:00:41.000 --> 00:00:43.000]  可是保羅寫神的家的時候
[00:00:43.000 --> 00:00:46.000]  又是從另外一個層面說
[00:00:46.000 --> 00:00:48.000]  你在以弗所牧會
[00:00:48.000 --> 00:00:52.000]  雖然我單言我去的晚了
[00:00:52.000 --> 00:00:57.000]  你也應該知道如何行
[00:00:57.000 --> 00:01:00.000]  所以原來我那次說
[00:01:00.000 --> 00:01:01.000]  不同的層面
[00:01:01.000 --> 00:01:03.000]  宇宙的教會、地方的教會
[00:01:03.000 --> 00:01:05.000]  今天我用這個經文
[00:01:05.000 --> 00:01:08.000]  給各位可以更實際的看到
[00:01:08.000 --> 00:01:10.000]  保羅的思想裡面
[00:01:10.000 --> 00:01:12.000]  有知道宇宙的教會
[00:01:12.000 --> 00:01:15.000]  是所有的教會屬神
[00:01:15.000 --> 00:01:18.000]  但是他寫給提莫泰的時候
[00:01:18.000 --> 00:01:22.000]  他知道提莫泰在以弗所
[00:01:22.000 --> 00:01:27.000]  寫給提莫泰在以弗所
[00:01:27.000 --> 00:01:30.000]  在地方的教會
[00:01:30.000 --> 00:01:32.000]  所以今天的前一年
[00:01:32.000 --> 00:01:34.000]  我就提到
[00:01:34.000 --> 00:01:36.000]  教會是什麼
[00:01:36.000 --> 00:01:38.000]  保羅在以弗所書裡面
[00:01:38.000 --> 00:01:42.000]  總共用了八個比喻
[00:01:42.000 --> 00:01:44.000]  至少八個比喻
[00:01:44.000 --> 00:01:46.000]  講到教會是什麼
[00:01:46.000 --> 00:01:48.000]  所以在以弗所書裡面
[00:01:48.000 --> 00:01:51.000]  有人說以弗所是一個教會論
[00:01:51.000 --> 00:01:55.000]  來描述、來講解、來解開
[00:01:55.000 --> 00:01:58.000]  神對教會的啟示
[00:01:58.000 --> 00:02:00.000]  教會的奧秘
[00:02:00.000 --> 00:02:05.000]  在以弗所書裡面向我們講迷
[00:02:05.000 --> 00:02:07.000]  雖然我們不會講八個
[00:02:07.000 --> 00:02:11.000]  但是今天我們已經講到兩個
[00:02:11.000 --> 00:02:15.000]  上個星期我們也講到一個
[00:02:15.000 --> 00:02:17.000]  那這八個是什麼呢
[00:02:17.000 --> 00:02:18.000]  在八個裡面
[00:02:18.000 --> 00:02:23.000]  第一個講到教會是基督的身體
[00:02:23.000 --> 00:02:26.000]  那教會是新人
[00:02:26.000 --> 00:02:29.000]  我們這些新造人都成為教會
[00:02:29.000 --> 00:02:32.000]  教會是神的國度
[00:02:32.000 --> 00:02:34.000]  教會也是靈宮
[00:02:34.000 --> 00:02:36.000]  在以前講到
