
[00:00:00.000 --> 00:00:01.920]  「對神口渴」
[00:00:01.920 --> 00:00:02.720]  挺特別的
[00:00:02.720 --> 00:00:04.720]  我想到這個名字也覺得挺特別的
[00:00:04.720 --> 00:00:08.120]  因為這段經文真是講頸渴的
[00:00:08.120 --> 00:00:10.400]  「渴」這個字出現了好幾次
[00:00:10.400 --> 00:00:11.600]  「頸渴」
[00:00:11.600 --> 00:00:12.760]  好了
[00:00:12.760 --> 00:00:13.760]  如果要講這件事
[00:00:13.760 --> 00:00:15.880]  先講一下關於水的
[00:00:15.880 --> 00:00:17.240]  頸渴跟水很有關係
[00:00:17.240 --> 00:00:19.320]  大家知不知道水很重要?
[00:00:19.320 --> 00:00:20.960]  大家知道嗎?水很重要
[00:00:20.960 --> 00:00:22.240]  不是錢,是水
[00:00:22.240 --> 00:00:23.440]  我講的是水
[00:00:23.440 --> 00:00:25.800]  大家不要想歪了
[00:00:25.800 --> 00:00:28.600]  我找到一些資料
[00:00:28.600 --> 00:00:30.720]  就是講關於水的
[00:00:30.720 --> 00:00:33.440]  人體裏面
[00:00:33.440 --> 00:00:38.520]  用水組成的成分是最多的
[00:00:38.520 --> 00:00:40.240]  一個成年人,你知不知道
[00:00:40.240 --> 00:00:41.960]  一個人體裏面的成年人
[00:00:41.960 --> 00:00:45.320]  大概水佔了多少百分比?
[00:00:45.320 --> 00:00:47.200]  我習慣這個方向
[00:00:47.200 --> 00:00:50.040]  這樣看
[00:00:50.040 --> 00:00:51.240]  六成
[00:00:51.240 --> 00:00:52.560]  大概有六十百分比
[00:00:52.560 --> 00:00:55.240]  即是你身體裏面都是水
[00:00:55.240 --> 00:00:56.560]  細蚊仔更多
[00:00:56.560 --> 00:00:59.280]  兒童,特別是初生嬰兒
[00:00:59.280 --> 00:01:01.720]  含水量80%
[00:01:01.720 --> 00:01:03.080]  嘩,很厲害
[00:01:03.080 --> 00:01:05.120]  兩個月的胎兒
[00:01:05.120 --> 00:01:06.880]  未出生的,更重要
[00:01:06.880 --> 00:01:09.240]  97%是水
[00:01:09.240 --> 00:01:10.480]  嘩,難怪
[00:01:10.480 --> 00:01:12.800]  在火星上那個
[00:01:12.800 --> 00:01:13.880]  好奇號
[00:01:13.880 --> 00:01:15.720]  發現有水的痕跡就很開心
[00:01:15.720 --> 00:01:17.440]  是不是這個星球上
[00:01:17.440 --> 00:01:19.520]  是有生命的
[00:01:19.520 --> 00:01:21.960]  曾經出現過呢?
[00:01:21.960 --> 00:01:23.000]  這個我們不知道
[00:01:23.000 --> 00:01:27.000]  但明顯的,水是一個很重要的一件事
[00:01:27.000 --> 00:01:29.680]  當然水對人生命是必須的
[00:01:29.680 --> 00:01:33.560]  它的重要遠遠超過食物
[00:01:33.560 --> 00:01:35.040]  1981年有一個報導
[00:01:35.040 --> 00:01:37.680]  就講一個愛爾蘭的軍隊
[00:01:37.680 --> 00:01:40.480]  有十個人在獄中絕食
[00:01:40.480 --> 00:01:43.600]  他們只是喝水
[00:01:43.600 --> 00:01:45.680]  居然不吃東西,只是喝水
[00:01:45.680 --> 00:01:49.320]  可以維持生命有兩個月以上
[00:01:49.320 --> 00:01:51.080]  嘩,真的很厲害
[00:01:51.080 --> 00:01:55.240]  有些最長的,絕食到73天
[00:01:55.240 --> 00:01:59.040]  才在獄中絕食而死亡
[00:01:59.040 --> 00:02:01.680]  如果他們斷了喝水的話
[00:02:01.680 --> 00:02:05.680]  他們最多能夠生存5天到7天
