
[00:00:00.000 --> 00:00:06.000]  好,各位聽眾,今天是2013年的第一次崇拜
[00:00:06.000 --> 00:00:09.000]  我是接受一個挑戰,講一個題目
[00:00:09.000 --> 00:00:11.000]  就是我們的主題
[00:00:11.000 --> 00:00:14.000]  強化生命,實踐使命
[00:00:14.000 --> 00:00:21.000]  我想今天講到應該分開五次專題去講到
[00:00:21.000 --> 00:00:24.000]  因為很多的內容,但我的時間有限
[00:00:24.000 --> 00:00:29.000]  我希望在12點35分左右完
[00:00:31.000 --> 00:00:33.000]  這個題目是有兩方面
[00:00:33.000 --> 00:00:36.000]  第一是講到我們的生命,第二是講到使命
[00:00:36.000 --> 00:00:39.000]  在過往的一年多裡
[00:00:39.000 --> 00:00:41.000]  我們有另一個對聯是
[00:00:41.000 --> 00:00:43.000]  齊建屬靈家
[00:00:43.000 --> 00:00:45.000]  我相信神都是給我們恩典
[00:00:45.000 --> 00:00:48.000]  在很多關係上,在很多的投入裡
[00:00:48.000 --> 00:00:51.000]  有很多的改善,很多的改進
[00:00:51.000 --> 00:00:53.000]  以致我們覺得不是這個完美
[00:00:53.000 --> 00:00:55.000]  我們繼續會齊建一個屬靈的家
[00:00:55.000 --> 00:00:57.000]  彼此的維繫,彼此的同心
[00:00:57.000 --> 00:01:00.000]  但我們去到另一個少少不同的層面
[00:01:00.000 --> 00:01:03.000]  在生命裡,我們發覺個別的生命
[00:01:03.000 --> 00:01:06.000]  有些需要更多的成長,更多學習的地方
[00:01:06.000 --> 00:01:09.000]  所以我們說強化生命
[00:01:09.000 --> 00:01:12.000]  而我們仍然繼續在社區的使命
[00:01:12.000 --> 00:01:14.000]  在世界的使命裡要努力
[00:01:14.000 --> 00:01:18.000]  故此我們用第二個口號去實踐使命
[00:01:18.000 --> 00:01:20.000]  究竟我們有什麼需要強化的呢?
[00:01:20.000 --> 00:01:23.000]  我藉著保羅兩句的說話
[00:01:23.000 --> 00:01:25.000]  分享這兩個重點
[00:01:25.000 --> 00:01:28.000]  我介紹一個人物叫做提摩泰
[00:01:28.000 --> 00:01:31.000]  提摩泰後書二章一節這樣說
[00:01:31.000 --> 00:01:32.000]  請大家幫我讀出來
[00:01:32.000 --> 00:01:34.000]  我兒啊
[00:01:34.000 --> 00:01:42.000]  提摩泰後書是一卷我非常喜愛的書
[00:01:42.000 --> 00:01:45.000]  因為相信這卷是保羅的遺書
[00:01:45.000 --> 00:01:47.000]  在他人生最晚年
[00:01:47.000 --> 00:01:50.000]  最後寫一卷書給他親愛的屬靈兒子
[00:01:50.000 --> 00:01:52.000]  叫做提摩泰
[00:01:52.000 --> 00:01:54.000]  很親暱的關係
[00:01:54.000 --> 00:01:57.000]  當我年幼的時候
[00:01:57.000 --> 00:01:59.000]  大概十幾二十歲
[00:01:59.000 --> 00:02:00.000]  信諸無幾
[00:02:00.000 --> 00:02:01.000]  我就愛上這卷書
[00:02:01.000 --> 00:02:03.000]  所以當時我正在讀夜校
[00:02:03.000 --> 00:02:06.000]  晚上放學十點多的時候
[00:02:06.000 --> 00:02:08.000]  坐著巴士回家
[00:02:08.000 --> 00:02:12.000]  我就拿一本聖經背了這卷提摩泰後書
[00:02:12.000 --> 00:02:15.000]  因為裡面很多說話都很激勵
[00:02:15.000 --> 00:02:16.000]  都很親切
[00:02:16.000 --> 00:02:17.000]  很多提醒
[00:02:17.000 --> 00:02:22.000]  究竟提摩泰是一個怎樣的人呢?
[00:02:22.000 --> 00:02:25.000]  我想透過快速看一些聖經給大家知道
[00:02:25.000 --> 00:02:27.000]  聖經所說的提摩泰
[00:02:27.000 --> 00:02:31.000]  當時大概二十幾歲到三十幾歲左右的年齡階段
[00:02:31.000 --> 00:02:33.000]  聖經所提到
[00:02:33.000 --> 00:02:36.000]  保羅的書信十四卷又十一卷都提到這個人名
[00:02:36.000 --> 00:02:38.000]  因為他們同宮的關係
[00:02:38.000 --> 00:02:40.000]  因為他們很密切的同行
[00:02:40.000 --> 00:02:42.000]  保羅很關注這個屬靈的兒子
[00:02:42.000 --> 00:02:45.000]  但是我們想看一下保羅提摩泰的背景
[00:02:45.000 --> 00:02:49.000]  第一他是一個不是完全的猶太人
[00:02:49.000 --> 00:02:53.000]  因為他的媽媽是猶太人
[00:02:53.000 --> 00:02:56.000]  但是他的爸爸是希臘人
[00:02:56.000 --> 00:02:59.000]  所以他不是一個純全的猶太人
[00:02:59.000 --> 00:03:01.000]  而士唐傳提醒我們
[00:03:01.000 --> 00:03:03.000]  他到了很大的年紀
[00:03:03.000 --> 00:03:07.000]  因為一般的猶太人是第八天出生就接受國禮
[00:03:07.000 --> 00:03:09.000]  就像耶穌基督一樣
[00:03:09.000 --> 00:03:10.000]  其他大部分猶太人
[00:03:10.000 --> 00:03:11.000]  如果沒有什麼特別
[00:03:11.000 --> 00:03:13.000]  都是這樣在第八天接受國禮
[00:03:13.000 --> 00:03:15.000]  但是提摩泰到了很大的年紀
[00:03:15.000 --> 00:03:17.000]  當他認識保羅
[00:03:17.000 --> 00:03:19.000]  保羅和他在一起的時候
[00:03:19.000 --> 00:03:21.000]  他才接受這個國禮
[00:03:21.000 --> 00:03:22.000]  換句話說
[00:03:22.000 --> 00:03:23.000]  他的背景
[00:03:23.000 --> 00:03:24.000]  如果大家認識
[00:03:24.000 --> 00:03:25.000]  這個薩瑪利亞人
[00:03:25.000 --> 00:03:27.000]  就是一些通婚
[00:03:27.000 --> 00:03:29.000]  他們可能被稱為習種
[00:03:29.000 --> 00:03:30.000]  這樣的意思
[00:03:30.000 --> 00:03:33.000]  我們沒有聽到聖經有人這樣講提摩泰
[00:03:33.000 --> 00:03:34.000]  但是我想講的是
[00:03:34.000 --> 00:03:38.000]  起碼在他年幼到他二十幾歲的時候
[00:03:38.000 --> 00:03:41.000]  都沒有過一個正統的猶太教徒的生活
[00:03:41.000 --> 00:03:44.000]  他的媽媽他的外祖沒有教導他聖經
[00:03:44.000 --> 00:03:45.000]  但是他因為這個肉身
[00:03:45.000 --> 00:03:46.000]  國禮的緣故
[00:03:46.000 --> 00:03:50.000]  別人看他不一定是完全的猶太信徒
[00:03:50.000 --> 00:03:54.000]  並且他不能夠進入聖殿的男人院裡面
[00:03:54.000 --> 00:03:57.000]  因為他沒有受過國禮
[00:03:57.000 --> 00:03:59.000]  如果舊約更加嚴厲的一些法律
[00:03:59.000 --> 00:04:01.000]  他應該是被處死
[00:04:01.000 --> 00:04:05.000]  但是這個是提摩泰的背景
[00:04:05.000 --> 00:04:07.000]  另外一些經文
[00:04:07.000 --> 00:04:09.000]  保羅說
[00:04:09.000 --> 00:04:11.000]  不要叫人小看你年輕
[00:04:11.000 --> 00:04:13.000]  在言語行為愛心信心清潔上
[00:04:13.000 --> 00:04:15.000]  都作信徒的榜樣
[00:04:15.000 --> 00:04:19.000]  因為提摩泰是和保羅一起的同工
[00:04:19.000 --> 00:04:21.000]  他所侍奉的都是很多不同的挑戰
[00:04:21.000 --> 00:04:23.000]  到教會的當中
[00:04:23.000 --> 00:04:24.000]  其實很多人比他年紀大
[00:04:24.000 --> 00:04:27.000]  因為他都是二三十歲的一個年輕夥子
[00:04:27.000 --> 00:04:29.000]  教會裡面的人比他更多的經驗
[00:04:29.000 --> 00:04:30.000]  更多的學問
[00:04:30.000 --> 00:04:32.000]  或者是更多的資歷
[00:04:32.000 --> 00:04:35.000]  或者他那個猶太化的身份比他更加的強
[00:04:35.000 --> 00:04:40.000]  但是他要在這些侍奉當中
[00:04:40.000 --> 00:04:41.000]  保羅提醒他
[00:04:41.000 --> 00:04:44.000]  你不要因為年輕就不做榜樣
[00:04:44.000 --> 00:04:45.000]  你雖然年紀輕
[00:04:45.000 --> 00:04:47.000]  但是你仍然可以成為人家的榜樣
[00:04:47.000 --> 00:04:49.000]  在這些行為品行的上面
[00:04:49.000 --> 00:04:51.000]  作為人家的榜樣
[00:04:51.000 --> 00:04:53.000]  保羅都提醒他
[00:04:53.000 --> 00:04:55.000]  不要輕忽所得的恩賜
[00:04:55.000 --> 00:04:57.000]  因為以前
[00:04:57.000 --> 00:04:59.000]  曾經有一段時間
[00:04:59.000 --> 00:05:01.000]  提摩泰被按手
[00:05:01.000 --> 00:05:03.000]  神的恩賜淋到他身上
[00:05:03.000 --> 00:05:05.000]  可能面對挑戰的時候
[00:05:05.000 --> 00:05:08.000]  提摩泰有時候很膽怯
[00:05:08.000 --> 00:05:09.000]  其他經文都提到
[00:05:09.000 --> 00:05:10.000]  他可能有膽怯
[00:05:10.000 --> 00:05:12.000]  有一種不釋放
[00:05:12.000 --> 00:05:15.000]  不能夠好好的運用神給他的恩賜
[00:05:15.000 --> 00:05:18.000]  是神藉著人按手給他的恩賜
[00:05:18.000 --> 00:05:21.000]  所以提醒他要挑旺起來
[00:05:21.000 --> 00:05:23.000]  保羅都提到
[00:05:23.000 --> 00:05:26.000]  提摩泰的身體胃口不清
[00:05:26.000 --> 00:05:27.000]  屢次患病
[00:05:27.000 --> 00:05:29.000]  所以他說不要只喝水
[00:05:29.000 --> 00:05:30.000]  可以用點酒
[00:05:30.000 --> 00:05:34.000]  所以這個是很出名的提摩泰酒
[00:05:34.000 --> 00:05:36.000]  聖經不是那麼鼓勵人喝酒
[00:05:36.000 --> 00:05:37.000]  不過提摩泰是特別的人
[00:05:37.000 --> 00:05:39.000]  保羅說你要用點酒
[00:05:39.000 --> 00:05:41.000]  去幫助你的身體
[00:05:41.000 --> 00:05:42.000]  所以我們看到
[00:05:42.000 --> 00:05:44.000]  提摩泰在背景裡
[00:05:44.000 --> 00:05:46.000]  在他性格上
[00:05:46.000 --> 00:05:47.000]  在他身體上
[00:05:47.000 --> 00:05:48.000]  都有不同的需要
[00:05:48.000 --> 00:05:50.000]  還有另外一些經文
[00:05:50.000 --> 00:05:52.000]  所以剛才提到
[00:05:52.000 --> 00:05:56.000]  保羅提醒提摩泰要挑旺他的恩賜
[00:05:56.000 --> 00:05:58.000]  再一次挑旺起來
[00:05:58.000 --> 00:06:01.000]  不要以為他作見證為恥
[00:06:01.000 --> 00:06:03.000]  因為保羅是一個被囚
[00:06:03.000 --> 00:06:05.000]  一個監等
[00:06:05.000 --> 00:06:07.000]  當提摩泰那麼年輕的時候
[00:06:07.000 --> 00:06:09.000]  他想不想接受這樣的挑戰
[00:06:09.000 --> 00:06:11.000]  他不想因為侍奉要坐牢
[00:06:11.000 --> 00:06:12.000]  被人欺凌
[00:06:12.000 --> 00:06:14.000]  被人刑罰
[00:06:14.000 --> 00:06:16.000]  可能這個年輕的夥子有種膽怯
[00:06:16.000 --> 00:06:18.000]  所以保羅鼓勵他
[00:06:18.000 --> 00:06:19.000]  不要怕
[00:06:19.000 --> 00:06:21.000]  不要以為主作見證為恥
[00:06:21.000 --> 00:06:25.000]  也不要以我這個為主被囚為恥
[00:06:25.000 --> 00:06:26.000]  再次提醒他
[00:06:26.000 --> 00:06:28.000]  你要逃避少年的私慾
[00:06:28.000 --> 00:06:30.000]  可能他也是一個正常的年輕男子
[00:06:30.000 --> 00:06:33.000]  他有不同的試探的地方
[00:06:33.000 --> 00:06:34.000]  但是保羅鼓勵他
[00:06:34.000 --> 00:06:35.000]  你要用其他一層
[00:06:35.000 --> 00:06:41.000]  用精心去禱告 去求公義 信德 仁愛 和平
[00:06:41.000 --> 00:06:49.000]  這些地方都是保羅很多提醒對提摩泰的提點
[00:06:49.000 --> 00:06:55.000]  今天的講道抽出了提摩泰後書二章一節
[00:06:55.000 --> 00:06:59.000]  可能和經文本身有點不完全的息經
[00:06:59.000 --> 00:07:02.000]  不過我相信對我們也是有意思
[00:07:02.000 --> 00:07:04.000]  究竟什麼地方我們需要成長起來
[00:07:04.000 --> 00:07:06.000]  要剛強起來
[00:07:06.000 --> 00:07:09.000]  要被神興旺
[00:07:09.000 --> 00:07:10.000]  我想有好幾個方面
[00:07:10.000 --> 00:07:16.000]  第一 在身體上我們需要剛強起來
[00:07:16.000 --> 00:07:17.000]  因為聖經說到
[00:07:17.000 --> 00:07:19.000]  我們的身體其實是神的電
[00:07:19.000 --> 00:07:21.000]  是神的靈柱在我們裡面
