
[00:00:00.000 --> 00:00:02.000]  各位姐妹大家新年好
[00:00:02.000 --> 00:00:03.000]  新年好
[00:00:03.000 --> 00:00:05.000]  在正道之前我們一起來做一個禱告
[00:00:05.000 --> 00:00:08.000]  親愛的主
[00:00:08.000 --> 00:00:09.000]  親愛的主聖靈
[00:00:09.000 --> 00:00:11.000]  我們來到你的面前
[00:00:11.000 --> 00:00:13.000]  主啊 還將這一段的信息
[00:00:13.000 --> 00:00:16.000]  交託仰望在你的手中
[00:00:16.000 --> 00:00:18.000]  主啊 願你的聖靈來教導我們
[00:00:18.000 --> 00:00:20.000]  主啊 不是我要說什麼
[00:00:20.000 --> 00:00:22.000]  主啊 乃是你的話語
[00:00:22.000 --> 00:00:23.000]  我們都需要
[00:00:23.000 --> 00:00:26.000]  主啊 願你私下真理的聖靈光照我們
[00:00:26.000 --> 00:00:28.000]  讓我們得到亮光
[00:00:28.000 --> 00:00:29.000]  得安慰 得造就
[00:00:29.000 --> 00:00:31.000]  主啊 也得平安
[00:00:31.000 --> 00:00:33.000]  願你與我們同在
[00:00:33.000 --> 00:00:34.000]  且聽我們禱告
[00:00:34.000 --> 00:00:35.000]  奉考耶穌的名
[00:00:35.000 --> 00:00:37.000]  阿們 阿們
[00:00:37.000 --> 00:00:43.000]  在今年的一開始
[00:00:43.000 --> 00:00:45.000]  我就在想一個問題
[00:00:45.000 --> 00:00:48.000]  主啊 今年是2020年
[00:00:48.000 --> 00:00:51.000]  我們當怎麼樣過我們的生活呢
[00:00:51.000 --> 00:00:57.000]  當時呢我就有一個感動就是
[00:00:57.000 --> 00:01:00.000]  我也跟我們的喜樂弟兄姊妹分享
[00:01:00.000 --> 00:01:03.000]  神要我去想一件事情
[00:01:03.000 --> 00:01:05.000]  我要成為什麼樣的人
[00:01:05.000 --> 00:01:09.000]  而不是要為主做什麼樣的事
[00:01:09.000 --> 00:01:11.000]  所以我就一直在思想
[00:01:11.000 --> 00:01:14.000]  然後就看見2020年的從過年開始
[00:01:14.000 --> 00:01:16.000]  我們的這個世界的局勢
[00:01:16.000 --> 00:01:18.000]  就一直不是那麼的穩定
[00:01:18.000 --> 00:01:21.000]  每一週都有新的戲馬上演
[00:01:21.000 --> 00:01:24.000]  每一週都有出目驚心的新聞
[00:01:24.000 --> 00:01:27.000]  所以當我們在導讀到
[00:01:27.000 --> 00:01:29.000]  詩篇91篇的時候
[00:01:29.000 --> 00:01:31.000]  我有一個感動是
[00:01:31.000 --> 00:01:35.000]  這是我們弟兄姊妹需要的經文
[00:01:35.000 --> 00:01:37.000]  那在這當中我也看見了
[00:01:37.000 --> 00:01:40.000]  神要我們做一個什麼樣的人
[00:01:40.000 --> 00:01:48.000]  我們都知道這個澳洲大火
[00:01:48.000 --> 00:01:51.000]  燒掉了這個五個台灣
[00:01:51.000 --> 00:01:53.000]  面積這麼大的森林
[00:01:53.000 --> 00:01:56.000]  現在還繼續持續的在燃燒
[00:01:56.000 --> 00:02:00.000]  那全球在這個澳洲的動物是最多的
[00:02:00.000 --> 00:02:02.000]  所以動物死了多少呢
[00:02:02.000 --> 00:02:04.000]  統計將近五億
[00:02:04.000 --> 00:02:06.000]  這個數字怎麼統計
[00:02:06.000 --> 00:02:07.000]  我相信是個估算出來的
[00:02:07.000 --> 00:02:10.000]  但是呢我們都知道
[00:02:10.000 --> 00:02:12.000]  這個沒有辦法計算的
[00:02:12.000 --> 00:02:15.000]  但是我們看見這個網路上面的照片
[00:02:15.000 --> 00:02:17.000]  很多的動物還在掙扎
[00:02:17.000 --> 00:02:19.000]  那有些是被燒到
[00:02:19.000 --> 00:02:23.000]  譬如說已經獸醫判斷沒有辦法醫了
[00:02:23.000 --> 00:02:26.000]  獸醫就幫他做安樂死
[00:02:26.000 --> 00:02:28.000]  那獸醫他就說
[00:02:28.000 --> 00:02:31.000]  他們從來也沒有經歷過這麼樣的一個痛苦
[00:02:31.000 --> 00:02:36.000]  同時呢在這個同時我們也知道
[00:02:36.000 --> 00:02:38.000]  美國發動無人機襲擊
[00:02:38.000 --> 00:02:42.000]  導致伊朗高級將領蘇萊曼少將
[00:02:42.000 --> 00:02:44.000]  還有這個伊朗的
[00:02:44.000 --> 00:02:46.000]  伊拉克的民兵高級指揮官
[00:02:46.000 --> 00:02:49.000]  化為灰燼
[00:02:49.000 --> 00:02:53.000]  造成美伊對抗升級
[00:02:53.000 --> 00:02:57.000]  伊朗發誓要採取最嚴厲的報復
[00:02:57.000 --> 00:02:59.000]  那我們在當下呢
[00:02:59.000 --> 00:03:01.000]  很多地方姐妹就在傳了
[00:03:01.000 --> 00:03:04.000]  我們在洛杉磯的這個安全呢
[00:03:04.000 --> 00:03:06.000]  也升級了戒備
[00:03:06.000 --> 00:03:12.000]  那我們很熟悉的這個武漢病毒
[00:03:12.000 --> 00:03:14.000]  現在有誰不知道的嗎
[00:03:14.000 --> 00:03:16.000]  大家都曉得嘛
[00:03:16.000 --> 00:03:17.000]  傳得沸沸揚揚的
[00:03:17.000 --> 00:03:19.000]  中國爆發武漢病毒
[00:03:19.000 --> 00:03:20.000]  武漢封城
[00:03:20.000 --> 00:03:22.000]  道路上面冷冷清清
[00:03:22.000 --> 00:03:25.000]  但是醫院卻是人滿為患
[00:03:25.000 --> 00:03:28.000]  民眾在心裡面非常的恐慌
[00:03:28.000 --> 00:03:31.000]  那家人呢住在朋友武漢的更是如此
[00:03:31.000 --> 00:03:33.000]  非常的擔憂
[00:03:33.000 --> 00:03:36.000]  那全球呢現在已經有破兩千例
[00:03:36.000 --> 00:03:39.000]  死亡56位
[00:03:39.000 --> 00:03:41.000]  其實這個數字呢
[00:03:41.000 --> 00:03:43.000]  持續的在增加
[00:03:43.000 --> 00:03:45.000]  我今天不是來報壞消息的
[00:03:45.000 --> 00:03:47.000]  我今天是來報好消息的
[00:03:47.000 --> 00:03:50.000]  可是當我看見這些局勢的時候
[00:03:50.000 --> 00:03:51.000]  我就在想
[00:03:51.000 --> 00:03:54.000]  哎呀 主來的日子真是近了
[00:03:54.000 --> 00:03:56.000]  我們在研讀啟示錄的時候
[00:03:56.000 --> 00:03:57.000]  我們都知道這些事情
[00:03:57.000 --> 00:03:59.000]  都是要會發生的
[00:03:59.000 --> 00:04:00.000]  然後我常常想到有一句話
[00:04:00.000 --> 00:04:03.000]  就是這是災難的起頭啊
[00:04:03.000 --> 00:04:05.000]  如果這是災難的起頭
[00:04:05.000 --> 00:04:06.000]  那接下來的災難
[00:04:06.000 --> 00:04:09.000]  還真的是數不完的了
[00:04:09.000 --> 00:04:11.000]  但是末期還沒有到
[00:04:11.000 --> 00:04:13.000]  我們看見耶穌他說的
[00:04:13.000 --> 00:04:16.000]  將來國打國 民打民
[00:04:16.000 --> 00:04:18.000]  我們都很熟悉這段經文
[00:04:18.000 --> 00:04:20.000]  還有什麼 有地震對不對
[00:04:20.000 --> 00:04:22.000]  我就想到沒有地震
[00:04:22.000 --> 00:04:25.000]  那我是不是說地震也快發生了呢
[00:04:25.000 --> 00:04:27.000]  我還沒有寫講章還沒寫完
[00:04:27.000 --> 00:04:30.000]  就看見地震的消息了
[00:04:30.000 --> 00:04:32.000]  土耳其發生大地震
[00:04:32.000 --> 00:04:36.000]  目前這個主震完了之後
[00:04:36.000 --> 00:04:38.000]  六點多級主震完了之後
[00:04:38.000 --> 00:04:41.000]  據統計有四百六十起的餘震
[00:04:41.000 --> 00:04:43.000]  包含五級以上的
[00:04:43.000 --> 00:04:45.000]  那弟兄姊妹如果是
[00:04:45.000 --> 00:04:47.000]  如果是你住在那邊
[00:04:47.000 --> 00:04:49.000]  你會不會 你心裡怎麼想呢
[00:04:49.000 --> 00:04:51.000]  其實震十次就夠了
[00:04:51.000 --> 00:04:52.000]  震了四百多次耶
[00:04:52.000 --> 00:04:54.000]  你還敢回家嗎
[00:04:54.000 --> 00:04:55.000]  一次主震之後
[00:04:55.000 --> 00:05:00.000]  心裡面就在那邊上上下下
[00:05:00.000 --> 00:05:02.000]  這是一個地上的國度
[00:05:02.000 --> 00:05:04.000]  地上的國度的苦難
[00:05:04.000 --> 00:05:05.000]  我們沒有辦法逃避
[00:05:05.000 --> 00:05:06.000]  有些人就說啊
[00:05:06.000 --> 00:05:10.000]  這個場景宛如電影的情節
[00:05:10.000 --> 00:05:11.000]  對不對
[00:05:11.000 --> 00:05:12.000]  像我們在看的
[00:05:12.000 --> 00:05:14.000]  這個末日的災難片
[00:05:14.000 --> 00:05:15.000]  好像是
[00:05:15.000 --> 00:05:17.000]  大家都要過一個逃難的生活
[00:05:17.000 --> 00:05:19.000]  隨時會有
[00:05:19.000 --> 00:05:21.000]  大家都要搶購食物啊
[00:05:21.000 --> 00:05:22.000]  搶購口罩啊
[00:05:22.000 --> 00:05:23.000]  弟兄姊妹
[00:05:23.000 --> 00:05:24.000]  我真的上網看了一下
[00:05:24.000 --> 00:05:25.000]  口罩的行情
[00:05:25.000 --> 00:05:28.000]  我不知道你們上網看了沒有
[00:05:28.000 --> 00:05:30.000]  亞馬遜的前十幾大的
[00:05:30.000 --> 00:05:32.000]  這個排行榜的這個
[00:05:32.000 --> 00:05:34.000]  很熱門的口罩呢
[00:05:34.000 --> 00:05:35.000]  這些供應商呢
[00:05:35.000 --> 00:05:36.000]  他就寫
[00:05:36.000 --> 00:05:38.000]  Not Available
[00:05:38.000 --> 00:05:39.000]  賣完了
[00:05:39.000 --> 00:05:41.000]  商品賣完了
[00:05:41.000 --> 00:05:42.000]  但是不要恐慌
[00:05:42.000 --> 00:05:43.000]  我的意思是說
[00:05:43.000 --> 00:05:44.000]  我發現了
[00:05:44.000 --> 00:05:45.000]  這是一個現象就是
[00:05:45.000 --> 00:05:47.000]  大家會開始預備
[00:05:47.000 --> 00:05:48.000]  會有危機意識
[00:05:48.000 --> 00:05:50.000]  沒有什麼不好
[00:05:50.000 --> 00:05:54.000]  那這是我們實際所處在的一個
[00:05:54.000 --> 00:05:56.000]  處境目前是這樣
[00:05:56.000 --> 00:05:59.000]  那在2020年的一開始呢
[00:05:59.000 --> 00:06:01.000]  我們其實就面對了一個高
[00:06:01.000 --> 00:06:03.000]  一個月內我們密度
[00:06:03.000 --> 00:06:05.000]  我們就面臨一個高密度
[00:06:05.000 --> 00:06:06.000]  高強度的震撼
[00:06:06.000 --> 00:06:07.000]  是不是
[00:06:07.000 --> 00:06:09.000]  那不是好消息
[00:06:09.000 --> 00:06:10.000]  對吧
[00:06:10.000 --> 00:06:12.000]  沒有人願意這些事情發生的
[00:06:12.000 --> 00:06:13.000]  我們其實我們的心裡面
[00:06:13.000 --> 00:06:15.000]  都在那邊上上下下
[00:06:15.000 --> 00:06:16.000]  在那邊禱告
[00:06:16.000 --> 00:06:17.000]  各位弟兄姊妹
[00:06:17.000 --> 00:06:18.000]  我列出這些事情的時候
[00:06:18.000 --> 00:06:20.000]  是因為我們在禱告
[00:06:20.000 --> 00:06:21.000]  我們在禱告會的時候
[00:06:21.000 --> 00:06:22.000]  也列出這些事情
[00:06:22.000 --> 00:06:24.000]  我們在那裡警醒禱告
