
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,早晨,很高興有機會能夠今天在這裡和大家分享上帝的道
[00:00:07.000 --> 00:00:16.000]  願上主賜福於我們,讓我們能夠理解上主賜予我們的真道
[00:00:16.000 --> 00:00:26.000]  有一個人,他在沙漠裡迷失,他毫無救援
[00:00:27.000 --> 00:00:30.000]  當然最後他獲救了
[00:00:30.000 --> 00:00:37.000]  在他獲救之後,他的朋友問他,那時候你怎樣?
[00:00:37.000 --> 00:00:45.000]  他說,我在最危急的時候,最艱辛的時候,我祈禱
[00:00:45.000 --> 00:00:48.000]  我說,神啊,你救我吧
[00:00:48.000 --> 00:00:54.000]  這位朋友問他,那上帝有沒有聽你的祈禱?
[00:00:55.000 --> 00:00:58.000]  他說,沒有,上帝沒有聽我的祈禱
[00:00:58.000 --> 00:01:09.000]  上帝在他未答應我的祈禱之前,已經有一個沙漠的旅行者出現
[00:01:09.000 --> 00:01:14.000]  他已經指示了我怎樣脫離這個困境
[00:01:20.000 --> 00:01:27.000]  當我們看這個故事的時候,我們可能會說這個人,他竟然看不到上帝
[00:01:27.000 --> 00:01:35.000]  其實已經馬上答應了他的祈禱,找了一個沙漠的旅行者來到他的面前
[00:01:35.000 --> 00:01:40.000]  來指引他,幫助他怎樣脫離他的困境
[00:01:40.000 --> 00:01:48.000]  可能他心目中想的是,上帝應該怎樣怎樣怎樣做來幫我
[00:01:49.000 --> 00:01:56.000]  他從來沒有期望有一個這樣的人出現,來指示他怎樣脫離這個困境
[00:01:56.000 --> 00:02:03.000]  我們可能會說這個人,他沒有什麼測驗的能力
[00:02:03.000 --> 00:02:09.000]  他只是想他自己想的東西,他完全沒有一種開放性
[00:02:09.000 --> 00:02:18.000]  來看到上帝藉著這個旅行者,來帶他脫離這個困境
[00:02:20.000 --> 00:02:26.000]  今天我選擇了一個題目,這個題目是「測驗」
[00:02:26.000 --> 00:02:36.000]  其實是一個不容易講的題目,也不會講得清楚的題目
[00:02:36.000 --> 00:02:46.000]  但是盼望上帝賜恩給我們,讓我們能夠理解多少的時候,我們可以理解多少
[00:02:47.000 --> 00:03:01.000]  測驗是指一種能夠從經驗裡面,來理解和詮釋這些經驗裡面的宗教和道德的重要性的一種能力
[00:03:01.000 --> 00:03:05.000]  從而對神作出適當的回應
[00:03:05.000 --> 00:03:15.000]  他是在一個獨特的處境裡面,作出分析性的判斷,來回應上帝的行動
[00:03:17.000 --> 00:03:21.000]  需要再定義多一次嗎?
[00:03:21.000 --> 00:03:32.000]  測驗是指一種能夠從經驗裡面,來理解和詮釋這些經驗裡面的宗教和道德的重要性的一種能力
[00:03:32.000 --> 00:03:37.000]  從而對神作出適當的回應
[00:03:37.000 --> 00:03:46.000]  他是在一個獨特的處境裡面,作出分析性的判斷,來回應上帝的行動
[00:03:47.000 --> 00:03:57.000]  測驗是指一種能夠從經驗裡面,來理解和詮釋這些經驗裡面的宗教和道德的一種能力
[00:03:57.000 --> 00:04:06.000]  測驗是指一種能夠從經驗裡面,來理解和詮釋這些經驗裡面的宗教和道德的一種能力
[00:04:07.000 --> 00:04:20.000]  在聖經裡面,哥林多前書第十二章第十一節說到,一切的因次都是聖靈照著自己的意思來分給各個人
[00:04:20.000 --> 00:04:28.000]  這是確認我們不同的因次的來源,最終是在聖靈那裡
[00:04:29.000 --> 00:04:44.000]  另外,在羅馬書第十二章一到二節,叫我們的生命不斷地更新,變化,測驗什麼是上帝的旨意
[00:04:44.000 --> 00:04:50.000]  透過我們的生命的更新,來測驗上帝的旨意
[00:04:51.000 --> 00:05:05.000]  第三,我們需要對教義的可靠性,有一種測驗的能力,以主我們可以試驗出什麼是從神而來的靈
[00:05:05.000 --> 00:05:10.000]  這是在約翰一書第四章一到六節
[00:05:11.000 --> 00:05:23.000]  當我們來探索什麼內在的經驗,最終是來自上帝的靈的時候,一個是問我們的因次是否來自這位聖靈
[00:05:23.000 --> 00:05:35.000]  一個是問我們的生命隨著上帝的工作而不斷地更新的時候,我們要不斷地來測驗上帝在我們生命的旨意是怎麼樣
[00:05:36.000 --> 00:05:48.000]  另一個就是我們要有一種測驗的能力,來判斷什麼是可靠的教義,以主我們能夠分辨什麼靈是來自上帝的
[00:05:48.000 --> 00:05:50.000]  這是第一類
[00:05:50.000 --> 00:05:55.000]  第二類是測驗上帝對我們的呼召
[00:05:56.000 --> 00:06:15.000]  理解上帝對某些人的呼召,讓這些人在他們的生命裡作出重要的抉擇,或者在今天我們所讀的經課裡,約翰一福音一章四十三至五十一節裡說到門徒的蒙召,正是這個例子
[00:06:15.000 --> 00:06:21.000]  第三種其實是綜合實踐的智慧
[00:06:22.000 --> 00:06:30.000]  從一個較大的聖經和個人歷史的架構裡去測驗某些獨特的事件的意義
[00:06:30.000 --> 00:06:42.000]  綜合道德的原則,不同處境的因素,可能的結果和信仰的洞見,從而做出一些具體的道德判斷
[00:06:43.000 --> 00:06:52.000]  其實在某個意義上來說,就正是好像我們每一個的信徒,我們對我們這個時代不斷的轉變
[00:06:52.000 --> 00:07:04.000]  我們去尋求聖經的教導是怎麼樣,有什麼原則,這個環境有什麼局限,或者有什麼發展的可能性和可能的結果
[00:07:05.000 --> 00:07:17.000]  然後從我們信仰的反省裡,我們看到什麼,然後我們做一個判斷,究竟我們這個歷史的面貌,我們所面對的時勢是怎麼一回事
[00:07:17.000 --> 00:07:25.000]  或者正如我們今天所讀的經文,在哥倫多前書六章十二到二十節裡說到
[00:07:26.000 --> 00:07:35.000]  什麼事我們都可以做的,但不是什麼事都是有益處的,什麼事我們都可以做的,但是我們不要受任何事的克制
[00:07:35.000 --> 00:07:43.000]  食物和土福都不是永存的,身體也不是永存的,但是上帝有能力讓我們的身體可以復活
[00:07:43.000 --> 00:07:55.000]  我們的身體是基督的肢體,所以我們用身體的時候,我們要榮耀我們的上帝,我們不可以在性方面來玷污我們的身體
[00:07:56.000 --> 00:08:05.000]  這個是從一些道理來講,基督徒我們是有自由的,我們是不想受到克制的
[00:08:05.000 --> 00:08:14.000]  不過在這個自由裡面,我們從我們的身體來看的時候,食物和土福的關係都不是永存的
[00:08:14.000 --> 00:08:21.000]  身體也不是永存的,但是上帝在我們的身上是有他的作為的,可以讓我們復活的
[00:08:22.000 --> 00:08:28.000]  我們在基督裡面,我們的身體就是基督的肢體,我們的身體既然是屬於上帝的,就要來榮耀上帝
[00:08:28.000 --> 00:08:35.000]  於是在實際的生活上面,我們就不可以用我們的身體在性方面來玷污上帝
[00:08:35.000 --> 00:08:47.000]  從經文的解構裡面一層一層的,我們慢慢洞察到究竟上帝對我們的身體在性方面有什麼期望
[00:08:48.000 --> 00:09:01.000]  這是一個察驗的過程,是一個從我們身體的結構,上帝賦予我們身體的暫存性和復活的可能性
[00:09:01.000 --> 00:09:06.000]  以至於我們確認我們這個身體是屬於上帝的,基督的肢體
[00:09:06.000 --> 00:09:12.000]  於是再確認我們不可以隨便用我們的身體,我們要榮耀我們的上帝
[00:09:13.000 --> 00:09:19.000]  再放在一個性的層面裡面的時候,我們不可以這樣來玷污我們的身體
[00:09:19.000 --> 00:09:27.000]  是一種綜合實踐智慧的結合,以至於我們察驗上帝對我們的期望是什麼
[00:09:27.000 --> 00:09:37.000]  作為上帝國的子民,我們需要培養我們每一個人自身的那種察驗的能力
