
[00:00:00.000 --> 00:00:02.200]  歡迎大家來到我們的周道崇拜
[00:00:02.200 --> 00:00:06.840]  上星期我們開始研讀《約翰福音》第六章
[00:00:06.840 --> 00:00:10.280]  耶穌在加伯隆會堂裏面
[00:00:10.280 --> 00:00:13.400]  「我是生命糧」的講道
[00:00:13.400 --> 00:00:14.520]  如果你上星期在這裏
[00:00:14.520 --> 00:00:16.360]  你會知道我將上星期的經文
[00:00:16.360 --> 00:00:21.280]  十九節的聖經分為了七個部份
[00:00:21.280 --> 00:00:26.280]  中心的主題其實就在中間第四那裏
[00:00:26.280 --> 00:00:30.280]  「我父賜天糧、生命及世界」
[00:00:30.280 --> 00:00:33.040]  這個主題其實剛剛好是平衡了
[00:00:33.040 --> 00:00:35.440]  《約翰福音》第三章第十六節
[00:00:35.440 --> 00:00:36.680]  金句中的金句
[00:00:36.680 --> 00:00:40.560]  「上帝愛西人,甚至將他的獨生子賜給他們
[00:00:40.560 --> 00:00:46.400]  叫一切順他的不至滅亡,反得永生」
[00:00:46.400 --> 00:00:49.400]  我們今天要繼續看耶穌那篇講道
[00:00:49.400 --> 00:00:50.480]  我們要一氣呵成
[00:00:50.480 --> 00:00:54.440]  我們由《約翰福音》第六章第三十五節開始
[00:00:54.440 --> 00:00:57.360]  「我是生命糧」 耶穌第一次講「我是生命糧」
[00:00:57.360 --> 00:00:59.360]  七個「我是」裏面的第一個
[00:00:59.360 --> 00:01:01.760]  一直會讀到講道的結尾
[00:01:01.760 --> 00:01:05.280]  就是《約翰福音》第六章第五十八節
[00:01:05.280 --> 00:01:08.880]  講道一篇講章一篇講道
[00:01:08.880 --> 00:01:11.080]  如果你去評價一篇講道的時候
[00:01:11.080 --> 00:01:13.600]  其實最重要的不是那篇講道
[00:01:13.600 --> 00:01:15.760]  花不花巧精不精彩
[00:01:15.760 --> 00:01:18.760]  而是這篇講道清不清晰
[00:01:18.760 --> 00:01:20.520]  它會不會深入淺出
