
[00:00:00.000 --> 00:00:03.560]  今天我們面對一個動盪的世代
[00:00:03.560 --> 00:00:08.080]  無論在政治上在經濟上
[00:00:08.080 --> 00:00:10.680]  我們其實是面對很多重要的
[00:00:10.680 --> 00:00:14.240]  不確定性的一個世代
[00:00:14.240 --> 00:00:16.920]  美國最近入侵了委內瑞拉
[00:00:16.920 --> 00:00:19.480]  擄走了總統馬杜羅
[00:00:19.480 --> 00:00:22.160]  好像向世界再次證明了一樣東西
[00:00:22.160 --> 00:00:25.160]  就是沒有道理可以言
[00:00:25.160 --> 00:00:27.400]  強權就是真理
[00:00:27.400 --> 00:00:29.080]  當我夠強的時候
[00:00:29.080 --> 00:00:30.320]  我的就是我的
[00:00:30.320 --> 00:00:32.720]  你的都是我的
[00:00:32.720 --> 00:00:36.200]  在歷史裏面當遇到一些這樣的帝國主義
[00:00:36.200 --> 00:00:38.720]  這些強權主義的時候
[00:00:38.720 --> 00:00:42.200]  其實很多時候都會到最後引發戰爭
[00:00:42.200 --> 00:00:44.920]  那時候亞述帝國就是一個例子
[00:00:44.920 --> 00:00:46.640]  它的意思就是說
[00:00:46.640 --> 00:00:47.600]  我的就是我的
[00:00:47.600 --> 00:00:49.760]  你的都是我的
[00:00:49.760 --> 00:00:52.120]  否則希西加都不會聯合起來
[00:00:52.120 --> 00:00:57.680]  譬如聯合了阿門摩亞和托洛西頓來對抗它
[00:00:57.680 --> 00:01:03.160]  所以其實結局可以是很變幻莫測
[00:01:03.160 --> 00:01:04.840]  其實我們覺得穩定的東西
[00:01:04.840 --> 00:01:07.880]  今天覺得仍然是屬於我們的東西
[00:01:07.880 --> 00:01:11.160]  可能在很短的時間有所變化
[00:01:11.160 --> 00:01:13.800]  如果戰爭真的臨到的時候
[00:01:13.800 --> 00:01:15.240]  沒有東西是肯定的
[00:01:15.240 --> 00:01:17.640]  所以我們活在一個什麼樣的世代呢
[00:01:17.640 --> 00:01:22.800]  話說活在一個不確定性很高的世代
[00:01:22.800 --> 00:01:25.200]  我們暫時我想坐在這裏的人
[00:01:25.200 --> 00:01:27.360]  都未必去到恐懼的地步
[00:01:27.360 --> 00:01:31.600]  但是開始會覺得沒什麼安全感
[00:01:31.600 --> 00:01:34.360]  究竟我們怎樣去面對一個沒什麼安全感
[00:01:34.360 --> 00:01:36.800]  慢慢會使我們可能覺得恐懼
[00:01:36.800 --> 00:01:39.120]  又很不確定的世代呢
[00:01:39.120 --> 00:01:41.520]  今天希望用《路加福音》
[00:01:41.520 --> 00:01:43.320]  《爾孟司的路》上面
[00:01:43.320 --> 00:01:45.920]  兩個門徒怎樣遇到復活的
[00:01:45.920 --> 00:01:47.680]  主耶穌基督的經驗
[00:01:47.680 --> 00:01:49.400]  去探討這個問題
[00:01:49.400 --> 00:01:53.640]  今年我們的主題是多待同行
[00:01:53.640 --> 00:01:56.200]  而第一季裏面是與神同行
[00:01:56.200 --> 00:01:59.360]  我們今天看看神怎樣與我們同行
