
[00:00:00.000 --> 00:00:03.100]  各位主人 各位弟兄姊妹 平安
[00:00:03.100 --> 00:00:04.500]  各位朋友 你們好
[00:00:04.500 --> 00:00:06.400]  祝大家新年快樂
[00:00:06.400 --> 00:00:08.500]  預祝新年快樂
[00:00:08.500 --> 00:00:10.800]  其實也是比較特別
[00:00:10.800 --> 00:00:13.500]  今天這個年尾有兩個主人
[00:00:13.500 --> 00:00:15.500]  可以24日和31日
[00:00:15.500 --> 00:00:18.000]  去慶祝聖誕節和新年這個聚會
[00:00:18.000 --> 00:00:19.800]  這個期間裡面
[00:00:19.800 --> 00:00:20.900]  我也思想到
[00:00:20.900 --> 00:00:22.900]  我們會回想到主耶穌基督
[00:00:22.900 --> 00:00:25.000]  為我們的救主的時候
[00:00:25.000 --> 00:00:27.500]  我們如何在他們身為我們生命的主
[00:00:27.500 --> 00:00:28.600]  生命的中心
[00:00:28.600 --> 00:00:29.600]  其實如果大家還記得
[00:00:29.600 --> 00:00:32.000]  我們今年的教會主題
[00:00:32.000 --> 00:00:33.000]  第一件事就是
[00:00:33.000 --> 00:00:35.000]  以基督為中心
[00:00:35.000 --> 00:00:36.900]  其實大家出去看看開播
[00:00:36.900 --> 00:00:38.300]  大家會看得清楚一點
[00:00:38.300 --> 00:00:40.200]  會看到原來我們
[00:00:40.200 --> 00:00:43.100]  生命裡面做基督徒的時候
[00:00:43.100 --> 00:00:45.500]  我們既然選擇了主耶穌基督
[00:00:45.500 --> 00:00:46.800]  做我們救人救主的時候
[00:00:46.800 --> 00:00:50.000]  我們就要以基督為我們的中心
[00:00:50.000 --> 00:00:53.200]  就算我們敬拜的時候都一樣
[00:00:53.200 --> 00:00:55.500]  剛才大家所讀的經文當中
[00:00:55.500 --> 00:00:57.700]  都提到主耶穌基督是
[00:00:57.700 --> 00:00:59.900]  從加利里經過耶利哥
[00:00:59.900 --> 00:01:01.000]  下去耶路哥城
[00:01:01.000 --> 00:01:03.500]  然後耶利哥再去上伯利恒
[00:01:03.500 --> 00:01:07.100]  途中經過去到
[00:01:07.100 --> 00:01:10.300]  去到伯伯祈和伯大利的地方
[00:01:10.300 --> 00:01:11.500]  在城外面
[00:01:11.500 --> 00:01:13.000]  就是橄欖山附近
[00:01:13.000 --> 00:01:15.900]  接著就連續三天
