
[00:00:00.000 --> 00:00:02.000]  各位!弟兄姊妹!早晨!
[00:00:02.000 --> 00:00:08.000]  在講道之先,讓我們再一次同心討告。
[00:00:08.000 --> 00:00:14.000]  聖靈求你,在這一刻,你掌管我們每一個人的心思意念。
[00:00:14.000 --> 00:00:20.000]  讓我們謙卑在主理的話語面前,我們一同去學習。
[00:00:20.000 --> 00:00:32.000]  聖靈求你,親自去動工,你去做教訓,督責使人歸正,引導人學義的工作。
[00:00:32.000 --> 00:00:42.000]  讓我們不單止在頭腦上,我們是明白主理的話,我們更加願意在我們的生命裏面去活出來。
[00:00:42.000 --> 00:00:48.000]  聽我們的祈禱,奉耶穌基督聖靈祈求,阿們。
[00:00:48.000 --> 00:01:00.000]  很久之前有一個看更,他的工作是在大風浪的夜晚,他搖動一盞警告的燈,
[00:01:00.000 --> 00:01:07.000]  使得附近的船隻知道大風浪有危險,他便小心航行。
[00:01:07.000 --> 00:01:17.000]  在一次大風浪當中,船隻發生了意外,有船員投訴說看不到警告的燈號。
[00:01:17.000 --> 00:01:23.000]  於是這個看更被召上法庭問話。
[00:01:23.000 --> 00:01:34.000]  檢察官問他,當晚在意外發生的那一晚,你有沒有搖動那一盞警告的燈號呢?
[00:01:34.000 --> 00:01:41.000]  那個看更看來是有些緊張,檢察官提醒他,
[00:01:41.000 --> 00:01:49.000]  你在法庭是宣了誓是講真話的,請你真實地去回答。
[00:01:49.000 --> 00:02:00.000]  這個看更就用肯定的語氣說我有,結果法官判他無罪釋放。
[00:02:00.000 --> 00:02:05.000]  之後他的辯護律師就拉他一邊問他,
[00:02:05.000 --> 00:02:11.000]  現在這件案已經完結了,你可不可以誠實地告訴我,
[00:02:11.000 --> 00:02:16.000]  究竟那一晚你有沒有搖動那盞燈呢?
[00:02:16.000 --> 00:02:21.000]  那個看更就回答他,他說我真的有。
[00:02:21.000 --> 00:02:26.000]  律師就問他,為什麼剛才在法庭上你這麼緊張呢?
