
[00:00:00.000 --> 00:00:03.680]  我們這幾個月一直在講亞國書的系列
[00:00:03.680 --> 00:00:07.120]  今天會講到五章第一至六節
[00:00:07.120 --> 00:00:10.920]  我們一起來讀這幾節經文
[00:00:10.920 --> 00:00:13.480]  我們一起讀
[00:00:13.480 --> 00:00:18.400]  你們這些富足人 應當哭泣浩濤
[00:00:18.400 --> 00:00:21.880]  因為將有苦難臨到你們身上
[00:00:21.880 --> 00:00:26.760]  你們的財物壞了 衣服也被蟲子咬了
[00:00:26.760 --> 00:00:32.200]  你們的金銀都漲了售 那售要證明你們的不是
[00:00:32.200 --> 00:00:35.640]  又要吃你們的肉 如同火燒
[00:00:35.640 --> 00:00:40.440]  你們在這末世只知積攢錢財
[00:00:40.440 --> 00:00:43.160]  工人給你們收割莊稼
[00:00:43.160 --> 00:00:45.600]  你們虧欠他們的工錢
[00:00:45.600 --> 00:00:48.040]  這工錢有聲音呼叫
[00:00:48.040 --> 00:00:50.960]  並且那收割之人的冤聲
[00:00:50.960 --> 00:00:54.440]  已經入了萬軍的主的意料
[00:00:54.440 --> 00:00:57.640]  你們在世享美福 耗燕落
[00:00:57.640 --> 00:01:01.240]  當宰殺的日子 竟驕讓你們的心
[00:01:01.240 --> 00:01:04.880]  你們定了二人的罪 把他殺害
[00:01:04.880 --> 00:01:08.720]  他也不抵擋你們
[00:01:08.720 --> 00:01:11.720]  在今年3月7日
[00:01:11.720 --> 00:01:16.040]  一份權威的雜誌《福布斯》(Forbes)
[00:01:16.040 --> 00:01:19.720]  公佈了全球億萬富豪的排行榜
[00:01:19.720 --> 00:01:23.880]  所以今年的全球首富換了人
[00:01:23.880 --> 00:01:27.920]  因為蟬聯了18次冠軍的Bill Gates
[00:01:27.920 --> 00:01:31.640]  終於落了一位
[00:01:31.640 --> 00:01:35.080]  誰來到頭位呢
[00:01:35.080 --> 00:01:38.880]  就是亞馬遜的創辦人
[00:01:38.880 --> 00:01:41.880]  Jeff Bezos 貝佐斯
[00:01:41.880 --> 00:01:46.240]  他以1120億美元的資產
[00:01:46.240 --> 00:01:49.480]  是榮登全球的首富寶座
[00:01:49.480 --> 00:01:55.440]  其實千多億美元是多少呢 真是不太清楚
[00:01:55.440 --> 00:02:01.320]  而巴菲特被推到第三位
[00:02:01.320 --> 00:02:06.680]  上年全世界頭20個大富豪
[00:02:06.680 --> 00:02:10.800]  他的財富和今年是增幅了多少呢
[00:02:10.800 --> 00:02:14.920]  是1.2萬兆美元
[00:02:14.920 --> 00:02:16.960]  1.2萬兆
[00:02:16.960 --> 00:02:19.280]  真的是數字而已
[00:02:19.280 --> 00:02:24.720]  有錢人賺錢的速度實在驚人
[00:02:24.720 --> 00:02:28.320]  有錢的就越有錢 沒錢的就越沒錢
[00:02:28.320 --> 00:02:33.720]  社會的貧富懸殊顯得更加嚴峻
[00:02:33.720 --> 00:02:35.320]  我們看到美國
[00:02:35.320 --> 00:02:44.680]  美國有585位富豪位居全球之首
[00:02:44.680 --> 00:02:54.280]  而僅隨之後擁有373名首富屬於中國大陸
[00:02:54.280 --> 00:03:01.920]  所以騰訊的老闆 阿里巴巴之類的人
[00:03:01.920 --> 00:03:04.800]  其實都是首富
[00:03:04.800 --> 00:03:07.440]  在2016年7月的時間
[00:03:07.440 --> 00:03:13.240]  阿里巴巴的創辦人馬雲曾經這樣分享過
[00:03:13.240 --> 00:03:15.480]  以我今日的收入和財富
[00:03:15.480 --> 00:03:18.400]  如果我再要去追求錢
[00:03:18.400 --> 00:03:22.480]  我和豬是沒什麼分別
[00:03:22.480 --> 00:03:24.760]  今日對我來說更重要的是
[00:03:24.760 --> 00:03:27.240]  將錢用在哪裏
[00:03:27.240 --> 00:03:29.920]  將時間用在哪裏
[00:03:29.920 --> 00:03:32.760]  是更加的緊要
[00:03:32.760 --> 00:03:35.600]  《新約聖經》《新約時代》的社會
[00:03:35.600 --> 00:03:37.640]  其實階級非常之分明
[00:03:37.640 --> 00:03:41.560]  貧富懸殊一樣和今日這樣
[00:03:41.560 --> 00:03:45.320]  富人欺壓窮人的事情常常發生
[00:03:45.320 --> 00:03:50.280]  以至一般人都看貧窮是敬虔的
[00:03:50.280 --> 00:03:53.440]  富有是等同邪惡
[00:03:53.440 --> 00:03:57.880]  但是雅各並不認為富人是有罪
[00:03:57.880 --> 00:04:03.320]  他所指斥的是一些為富不仁的人
[00:04:03.320 --> 00:04:08.240]  雅各在第二章曾經責備重富輕貧者
[00:04:08.240 --> 00:04:11.560]  他們藐視和不憐憫窮人
[00:04:11.560 --> 00:04:14.200]  將來末日審判的時候
