
[00:00:00.000 --> 00:00:04.160]  歡迎大家來到我們早上11點的《周浩崇拜》
[00:00:04.160 --> 00:00:09.040]  從去年1月開始我們一直在研讀《馬可.福音》
[00:00:09.040 --> 00:00:13.440]  我們講到系列的總題叫做「非凡的見證」
[00:00:13.440 --> 00:00:16.480]  不因為馬可是一個非凡的作者
[00:00:16.480 --> 00:00:21.080]  而是因為主耶穌基督是一個非凡的救主
[00:00:21.080 --> 00:00:26.400]  今天的講道經文是《馬可.福音》第十章第46至52節
[00:00:26.400 --> 00:00:33.240]  我們講道的題目是「明眼的核子,天國的男兒」
[00:00:33.240 --> 00:00:34.680]  正如我之前所講過
[00:00:34.680 --> 00:00:38.000]  《馬可.福音》就好像一個長篇的連續劇
[00:00:38.000 --> 00:00:39.640]  總共有16章
[00:00:39.640 --> 00:00:42.480]  而其中在第十章裏面
[00:00:42.480 --> 00:00:48.000]  可以說是整本書整個福音最精彩的一部分
[00:00:48.000 --> 00:00:50.160]  如果你早兩個星期有在這裏
[00:00:50.160 --> 00:00:53.600]  你應該記得我曾經用一條金龍
[00:00:53.600 --> 00:00:57.480]  來比喻這一章的聖經
[00:00:57.480 --> 00:01:00.400]  《馬可.福音》第十章是一條金龍
[00:01:00.400 --> 00:01:04.000]  當這個金龍首先出現的時候
[00:01:04.000 --> 00:01:05.640]  我們讀到一個故事
[00:01:05.640 --> 00:01:09.040]  那個故事我叫它做「天地大分辨」
[00:01:09.040 --> 00:01:11.080]  The Great Divorce
[00:01:11.080 --> 00:01:15.040]  這個是《馬可.福音》第十章裏面的龍頭
[00:01:15.040 --> 00:01:18.880]  當時的故事說到有法利塞人和文士來問耶穌
[00:01:18.880 --> 00:01:22.360]  一個關於人間分辨的問題
[00:01:22.360 --> 00:01:24.680]  耶穌卻是借題的發揮
[00:01:24.680 --> 00:01:27.280]  耶穌將他們指向後
[00:01:27.280 --> 00:01:31.120]  回到亞當夏娃起初在伊甸園的世界
[00:01:31.120 --> 00:01:33.160]  耶穌將他們指向上
[00:01:33.160 --> 00:01:37.480]  說到祂和上帝與人的關係
[00:01:37.480 --> 00:01:43.040]  耶穌告訴我們這個世界之所以有大大小小不同的罪惡
[00:01:43.040 --> 00:01:45.600]  之所以有小的分辨
[00:01:45.600 --> 00:01:50.920]  是因為人和上帝之間發生了一個大大的分辨
[00:01:50.920 --> 00:01:53.800]  是一個天地的大分辨
[00:01:53.800 --> 00:01:57.560]  起初上帝的臨在在人的當中
[00:01:57.560 --> 00:02:01.480]  聖潔的上帝與祂所創造美好的罪人
[00:02:01.480 --> 00:02:04.120]  或者人類是在一起
[00:02:04.120 --> 00:02:06.880]  然而他們發生了一個分辨
[00:02:06.880 --> 00:02:09.120]  是人類叛逆了上帝
[00:02:09.120 --> 00:02:14.120]  叛逆的罪人與聖潔的上帝有一個大分辨
[00:02:14.120 --> 00:02:18.000]  這個是人類世界所有問題的根源
[00:02:18.000 --> 00:02:21.640]  人世人都犯了罪,規決了上帝的榮耀
[00:02:21.640 --> 00:02:25.000]  而罪的公價不單止是死
[00:02:25.000 --> 00:02:29.320]  亦都死後有上帝永恆的審判
[00:02:29.320 --> 00:02:30.360]  所以我們坐在這裡
[00:02:30.360 --> 00:02:35.320]  每一個人我們極其需要上帝恩典的救贖
[00:02:35.320 --> 00:02:40.120]  我們需要上帝來到我們當中為我們預備一個救贖
[00:02:40.120 --> 00:02:44.960]  而這個救贖就是主耶穌基督在十字架上的犧牲
[00:02:44.960 --> 00:02:47.560]  所以當你打開《馬可福音》第十章的時候
[00:02:47.560 --> 00:02:50.960]  《馬可》是帶我們從天地的大分辨
[00:02:50.960 --> 00:02:55.240]  去到最終的基督的大福音
[00:02:55.240 --> 00:02:57.480]  在這個大圖畫引導之下
[00:02:57.480 --> 00:03:00.560]  我們要帶你從這個龍頭
[00:03:00.560 --> 00:03:05.280]  天地大分辨進入金龍的身體
[00:03:05.280 --> 00:03:06.240]  所以我們告訴我們
[00:03:06.240 --> 00:03:10.320]  當你仔細去閱讀這個金龍的身體
[00:03:10.320 --> 00:03:13.360]  它總共可以分為七段的聖經
[00:03:13.360 --> 00:03:15.720]  之前兩個禮拜如果你在這裡的時候
[00:03:15.720 --> 00:03:20.080]  你應該對這幾段聖經都有一定的認識
[00:03:20.080 --> 00:03:23.080]  其中第一段、第四段和第七段
[00:03:23.080 --> 00:03:25.960]  非常突出了耶穌基督的救贖
[00:03:25.960 --> 00:03:29.160]  我們先從最下面那裡開始看
[00:03:29.160 --> 00:03:31.680]  《馬可福音》第十章第45節這麼說
[00:03:31.680 --> 00:03:39.720]  「因為人子來,並不是要受人的服侍,乃是要服侍人,並且要捨命作多人的屬駕」
[00:03:39.720 --> 00:03:44.720]  「人子為僕,捨命做屬駕」
[00:03:44.720 --> 00:03:50.800]  這個第七段的出現其實是成就了第四段裡面的一個預言
[00:03:50.800 --> 00:03:52.640]  第四段裡面的預言這麼說
