
[00:00:00.000 --> 00:00:04.000]  好,麻煩惠雄、阿丁姐妹平安
[00:00:04.000 --> 00:00:09.000]  今天我們會繼續講健康教會的講道系列
[00:00:09.000 --> 00:00:14.000]  今天我的題目是「全民皆兵的教會」
[00:00:14.000 --> 00:00:20.000]  我最近在網上看到一些資訊
[00:00:20.000 --> 00:00:22.000]  這個題目很吸引
[00:00:22.000 --> 00:00:29.000]  它說全世界只有一個國家有資格稱為「全民皆兵」
[00:00:29.000 --> 00:00:33.000]  不是美國,也不是俄羅斯
[00:00:33.000 --> 00:00:41.000]  我讓大家猜猜,你猜這個全民皆兵的國家又是哪個地方呢?
[00:00:41.000 --> 00:00:44.000]  不知道你心目中的答案是什麼
[00:00:44.000 --> 00:00:48.000]  這個答案就是以色列
[00:00:48.000 --> 00:00:56.000]  原來世界上沒有其他國家的女兵比例比以色列高
[00:00:56.000 --> 00:01:00.000]  因為在以色列的軍隊裡面
[00:01:00.000 --> 00:01:04.000]  有33%的人都是女兵
[00:01:04.000 --> 00:01:08.000]  即是說大概有三分一的軍隊人數是女兵
[00:01:08.000 --> 00:01:14.000]  可以說是世界上所有國家裡面女兵佔有比率最高的國家
[00:01:14.000 --> 00:01:16.000]  不單止這樣
[00:01:16.000 --> 00:01:20.000]  這個比例還不是以色列唯一的優勢
[00:01:20.000 --> 00:01:29.000]  因為以色列僅有將女兵和男兵放在同一個地位的國家
[00:01:29.000 --> 00:01:34.000]  在以色列,女人和男人一樣必須要服兵役
[00:01:34.000 --> 00:01:41.000]  而且他們將女兵的存在規律化
[00:01:41.000 --> 00:01:47.000]  女兵對於他們來說不再是軍隊裡的鳳毛麟角
[00:01:47.000 --> 00:01:48.000]  很少有的人
[00:01:48.000 --> 00:01:55.000]  而是成為那些實際意義上男兵的戰友
[00:01:55.000 --> 00:01:59.000]  有些人形容以色列的女兵
[00:01:59.000 --> 00:02:02.000]  他們不愛紅裝,愛武裝
[00:02:02.000 --> 00:02:05.000]  他們不像平常的女生
[00:02:05.000 --> 00:02:07.000]  比較喜歡打扮
[00:02:07.000 --> 00:02:09.000]  他們很喜歡武裝
[00:02:09.000 --> 00:02:14.000]  你看他們現在穿著軍裝的樣子都是風姿沙沙
[00:02:14.000 --> 00:02:17.000]  今天我們在香港這個制度之下
[00:02:17.000 --> 00:02:20.000]  我們都不像以色列的女兵
[00:02:20.000 --> 00:02:22.000]  我們都不需要服兵役
[00:02:22.000 --> 00:02:25.000]  但是你和我作為天國的子民
[00:02:25.000 --> 00:02:31.000]  我們卻要時時刻刻作好打仗的準備
[00:02:31.000 --> 00:02:33.000]  這個「全民皆兵」
[00:02:33.000 --> 00:02:35.000]  我們經常說就說
[00:02:35.000 --> 00:02:38.000]  到底「全民皆兵」是什麼意思呢?
[00:02:38.000 --> 00:02:40.000]  其實「全民皆兵」的意思
[00:02:40.000 --> 00:02:47.000]  中文就說將能夠參加戰鬥的人民全部武裝起來
[00:02:47.000 --> 00:02:51.000]  隨時準備去殲滅入侵的敵人
[00:02:51.000 --> 00:02:53.000]  英文一個簡單的翻譯
[00:02:53.000 --> 00:02:55.000]  Make everybody a soldier
[00:02:55.000 --> 00:02:58.000]  即是每一個人都要去打仗
[00:02:58.000 --> 00:03:01.000]  所以今天你和我
[00:03:01.000 --> 00:03:03.000]  我們成為耶穌基督的門徒
[00:03:03.000 --> 00:03:07.000]  你和我都是被呼召成為一位士兵
[00:03:07.000 --> 00:03:10.000]  今天我就很想透過《已忽所書》
[00:03:10.000 --> 00:03:13.000]  六章十到二十節這段經文
[00:03:13.000 --> 00:03:17.000]  帶出健康教會另一個很重要的特點
[00:03:17.000 --> 00:03:18.000]  就是「全民皆兵」
[00:03:18.000 --> 00:03:21.000]  我們要成為一個「全民皆兵」的教會
[00:03:21.000 --> 00:03:25.000]  我先說說《已忽所書》這本書
