
[00:00:00.000 --> 00:00:03.720]  有請大家再次低頭和我一起祈禱
[00:00:03.720 --> 00:00:06.820]  新港主,我們感謝祢
[00:00:06.820 --> 00:00:10.860]  祢的吸引,祢的呼喚
[00:00:10.860 --> 00:00:14.500]  我們在白忙的工作中抽出來
[00:00:14.500 --> 00:00:16.640]  將祢的時間分奪為聖
[00:00:16.640 --> 00:00:18.760]  專一去敬拜祢
[00:00:18.760 --> 00:00:21.180]  讓聖靈與我們同在
[00:00:21.180 --> 00:00:23.460]  讓我們透過整個崇拜
[00:00:23.460 --> 00:00:26.760]  無論裡面的詩歌,以致此刻
[00:00:26.760 --> 00:00:29.020]  我們聆聽祢的說話的時候
[00:00:29.700 --> 00:00:32.460]  聖靈都善意讓我們有悟性
[00:00:32.460 --> 00:00:34.560]  能夠明白祢懷忠於奧秘
[00:00:34.560 --> 00:00:38.060]  願講的和聽的都同望祢的完立
[00:00:38.060 --> 00:00:41.280]  祈禱奉主耶穌,祈禱祢的明球,阿門
[00:00:41.280 --> 00:00:48.180]  我初信耶穌的時候
[00:00:48.180 --> 00:00:54.480]  教會當時教導信徒要委身給上帝
[00:00:54.480 --> 00:00:57.820]  如果你沒聽過的話,你應該跟我
[00:00:58.220 --> 00:01:01.160]  相隔了一段很長的時間
[00:01:01.160 --> 00:01:06.220]  教會也教我們要做一個認真的基督徒
[00:01:06.220 --> 00:01:10.580]  將自己與假信徒分離出來
[00:01:10.580 --> 00:01:12.380]  於是我們
[00:01:12.380 --> 00:01:15.140]  大部份的弟兄姊妹都朝著
[00:01:15.140 --> 00:01:17.740]  要做一個認真的基督徒來努力
[00:01:17.740 --> 00:01:21.580]  恆常讀經、靈修、熱切地參與
[00:01:21.580 --> 00:01:24.040]  無論在教會裡面的聚會
[00:01:24.040 --> 00:01:27.180]  或者是一些在外面的侍奉
[00:01:27.320 --> 00:01:29.460]  努力地奉獻
[00:01:29.460 --> 00:01:33.080]  努力地與家人或朋友傳福音
[00:01:33.080 --> 00:01:36.280]  這些行動都表明了
[00:01:36.280 --> 00:01:39.620]  我們都很想去做一個認真的基督徒
[00:01:39.620 --> 00:01:40.620]  當然
[00:01:40.620 --> 00:01:43.420]  這是正確的事
[00:01:43.420 --> 00:01:45.740]  不過一不留神的時候
[00:01:45.740 --> 00:01:49.020]  就會將上述看成一個指標
[00:01:49.020 --> 00:01:50.840]  來批評那些
[00:01:50.840 --> 00:01:55.280]  「咦,那個不是真正的信徒」
[00:01:55.680 --> 00:01:58.720]  如果是這樣,其實我們陷入了一個
[00:01:58.720 --> 00:02:00.860]  屬靈的驕傲當中
[00:02:00.860 --> 00:02:03.720]  問問弟兄姊妹
[00:02:03.720 --> 00:02:07.920]  你們有沒有想過要做一個怎樣的信徒呢?
[00:02:07.920 --> 00:02:11.320]  今天的題目也是
[00:02:11.320 --> 00:02:13.520]  「我想成為一個怎樣的信徒?」
[00:02:13.520 --> 00:02:14.820]  我們來看看
[00:02:14.820 --> 00:02:17.620]  《貼撒羅尼加前書》五章一至十一節
[00:02:17.620 --> 00:02:19.920]  我們一起重讀出來
[00:02:19.920 --> 00:02:23.520]  弟兄們
[00:02:23.520 --> 00:02:26.320]  關於那時候和日期
[00:02:26.320 --> 00:02:28.920]  不用人寫信給你們
[00:02:28.920 --> 00:02:31.920]  因為你們自己明明知道
[00:02:31.920 --> 00:02:34.920]  處的日子來到會像賊
[00:02:34.920 --> 00:02:37.420]  在夜間突然來到一樣
[00:02:37.420 --> 00:02:40.620]  人正說平安穩定的時候
[00:02:40.620 --> 00:02:43.220]  災禍忽然臨到他們
[00:02:43.220 --> 00:02:46.920]  如同陣痛臨到懷胎的婦人一樣
[00:02:46.920 --> 00:02:49.520]  他們絕逃脫不了
[00:02:49.520 --> 00:02:51.320]  弟兄們
[00:02:51.320 --> 00:02:54.020]  你們並不在黑暗裡
[00:02:54.020 --> 00:02:57.420]  那日子不會像賊一樣臨到你們
[00:02:57.420 --> 00:03:00.020]  你們都是光明之子
[00:03:00.020 --> 00:03:02.220]  都是白色之子
[00:03:02.220 --> 00:03:03.920]  我們不屬黑夜
[00:03:03.920 --> 00:03:05.720]  也不屬幽暗
[00:03:05.720 --> 00:03:08.520]  所以我們不要沉睡
[00:03:08.520 --> 00:03:10.020]  像別人一樣
[00:03:10.020 --> 00:03:12.520]  總要警醒謹慎
[00:03:12.520 --> 00:03:15.820]  因為睡了的人是在夜間睡
[00:03:15.820 --> 00:03:18.820]  醉了的人是在夜間醉
[00:03:18.820 --> 00:03:21.820]  但既然我們屬於白晝
[00:03:21.820 --> 00:03:23.820]  就應當謹慎
[00:03:23.820 --> 00:03:27.820]  把信和愛當作護心鏡遮控
[00:03:27.820 --> 00:03:32.020]  把得救的盼望當作頭盔戴上
[00:03:32.020 --> 00:03:35.820]  因為上帝不是預定我們受懲罰
[00:03:35.820 --> 00:03:37.320]  而是預定我們
[00:03:37.320 --> 00:03:40.820]  藉著我們的主耶穌基督得救
[00:03:40.820 --> 00:03:42.820]  祂替我們死
[00:03:42.820 --> 00:03:45.820]  讓我們無論醒著睡著
[00:03:45.820 --> 00:03:47.820]  都與祂同活
[00:03:47.820 --> 00:03:50.820]  所以你們該彼此勸勉
[00:03:50.820 --> 00:03:52.820]  互相造就
[00:03:52.820 --> 00:03:56.820]  正如你們素上所做的
[00:03:56.820 --> 00:03:59.820]  上個月我和大家分享的經文
[00:03:59.820 --> 00:04:01.820]  都是貼在前書
[00:04:01.820 --> 00:04:03.820]  不過是第二章
[00:04:03.820 --> 00:04:05.820]  曾經和大家講述過
[00:04:05.820 --> 00:04:07.820]  關於經文的背景
[00:04:07.820 --> 00:04:09.820]  現在略略再重溫一下
[00:04:09.820 --> 00:04:13.820]  大家也可以打開新傳書的第312頁
[00:04:13.820 --> 00:04:16.820]  那裡也有講到這個簡介
[00:04:16.820 --> 00:04:18.820]  我們知道保羅在帖撒羅尼加
[00:04:18.820 --> 00:04:21.820]  傳道建立這間教會
[00:04:21.820 --> 00:04:23.820]  是一段很短的時間
[00:04:23.820 --> 00:04:26.820]  因為當地的猶太人反對他
[00:04:26.820 --> 00:04:28.820]  在情勢危急之下
[00:04:28.820 --> 00:04:32.820]  弟兄漏夜將保羅和西拉
