
[00:00:00.000 --> 00:00:04.360]  今日我哋要涉獵嘅經文範圍呢
[00:00:04.360 --> 00:00:07.960]  就係馬太福音17章1至到9節
[00:00:07.960 --> 00:00:12.000]  講題就係從山上嘅經歷走落嚟
[00:00:12.000 --> 00:00:18.840]  而家已經嚟到2025年嘅4月26號
[00:00:18.840 --> 00:00:22.360]  咁問下大家先唔知大家有冇留意
[00:00:22.360 --> 00:00:24.160]  喺年尾年頭嘅時候
[00:00:24.160 --> 00:00:32.040]  有則新聞就係講2024年度嘅牛津英語辭典
[00:00:32.040 --> 00:00:36.400]  既選出咗一個嘅詞語
[00:00:36.400 --> 00:00:39.560]  係作為年度嘅代表詞語喎
[00:00:39.560 --> 00:00:42.640]  大家係唔知定係唔記得
[00:00:42.640 --> 00:00:43.680]  我都覺得好有趣
[00:00:43.680 --> 00:00:47.400]  究竟喺千千萬萬嘅文字裏面
[00:00:47.400 --> 00:00:51.440]  要選出一個詞語成為年度嘅詞語
[00:00:51.440 --> 00:00:52.640]  一定有啲嘢嘅
[00:00:52.640 --> 00:00:57.720]  應該都係表達緊喺人類世界裏面
[00:00:57.720 --> 00:01:01.280]  一啲都有啲普遍嘅現象
[00:01:01.280 --> 00:01:03.280]  咁其實呢嗰個呢就係
[00:01:03.280 --> 00:01:05.520]  一個英文嘅詞語就係brain rot
[00:01:05.520 --> 00:01:12.040]  就係如果中文呢就譯作腦部嘅腐爛
[00:01:12.040 --> 00:01:15.760]  你覺得係正面定係負面呀
[00:01:15.760 --> 00:01:18.720]  如果有人話你個腦都爛爛地
[00:01:18.720 --> 00:01:21.080]  咁你應該唔會覺得係一個讚美嚟㗎係咪
[00:01:21.080 --> 00:01:23.120]  咁呢就即係都係有啲事㗎喇
[00:01:23.120 --> 00:01:24.560]  咁但係嗰個事係咩事呢
[00:01:24.560 --> 00:01:28.560]  就係其實呢就係想透過呢個詞語呢點出
[00:01:28.560 --> 00:01:31.320]  喺人類世界裏面呢越嚟越多人呢
[00:01:31.320 --> 00:01:36.480]  因為大量咁樣樣喺接觸社交網絡嘅時候
[00:01:36.480 --> 00:01:39.200]  就係讀咗好多冇用或者括弧
[00:01:39.200 --> 00:01:42.920]  佢哋會直接講係垃圾嘅內容啦
[00:01:42.920 --> 00:01:46.280]  咁然之後呢就連自己嘅精神同埋智力呢
[00:01:46.280 --> 00:01:47.200]  都係點呀
