
[00:00:00.000 --> 00:00:07.000]  我們在正式講道之前做個簡單的祈禱
[00:00:07.000 --> 00:00:12.000]  天父我們感謝祢 能夠敬拜 侍奉祢
[00:00:12.000 --> 00:00:18.000]  求祢今天讓聖靈去充滿我們整個會場
[00:00:18.000 --> 00:00:21.000]  充滿我們每一個人的心
[00:00:21.000 --> 00:00:27.000]  讓我們將今日寶貴聖經裏面的說話放在心裏
[00:00:27.000 --> 00:00:30.000]  讓我們的心火熱
[00:00:30.000 --> 00:00:34.000]  為到神的國度 為到主耶穌的福音
[00:00:34.000 --> 00:00:38.000]  為到世人能夠有永生這個好處
[00:00:38.000 --> 00:00:46.000]  讓我們的火熱能夠變成我們福音的意象
[00:00:46.000 --> 00:00:49.000]  求神帶領我們今天的崇拜
[00:00:49.000 --> 00:00:52.000]  帶領現在的信息
[00:00:52.000 --> 00:00:55.000]  我們這樣祈禱奉耶穌基督的聖名
[00:00:58.000 --> 00:01:03.000]  今天的講道題目叫「我們就是見證人」
[00:01:03.000 --> 00:01:11.000]  這句話是出自回應在路加福音24章48節
[00:01:11.000 --> 00:01:14.000]  耶穌對門徒所說的話
[00:01:14.000 --> 00:01:18.000]  在路加福音24章48節
[00:01:18.000 --> 00:01:22.000]  主耶穌說「你們就是這些事的見證」
[00:01:22.000 --> 00:01:25.000]  剛才大家都讀過
[00:01:25.000 --> 00:01:30.000]  見證這個字可以翻譯為見證人
[00:01:30.000 --> 00:01:35.000]  耶穌吩咐門徒要做他復活的見證人
[00:01:35.000 --> 00:01:38.000]  我們信耶穌的人就是耶穌的門徒
[00:01:38.000 --> 00:01:48.000]  因此這句話也是叫我們要做耶穌復活的見證人
[00:01:48.000 --> 00:01:51.000]  講到見證人這個字
[00:01:51.000 --> 00:01:59.000]  我自己很自然想起那些自稱為耶和華見證人的人
[00:01:59.000 --> 00:02:01.000]  聖經這裡很清楚說
[00:02:01.000 --> 00:02:05.000]  耶穌說明明叫我們做耶穌復活的見證人
[00:02:05.000 --> 00:02:12.000]  但是耶和華見證人卻是情願去自稱做耶和華見證人
[00:02:12.000 --> 00:02:15.000]  為什麼呢?
[00:02:15.000 --> 00:02:18.000]  因為耶和華見證人
[00:02:18.000 --> 00:02:23.000]  他們不相信耶穌就是那位復活的真神
[00:02:23.000 --> 00:02:27.000]  這是很可惜的
[00:02:27.000 --> 00:02:36.000]  今天這句聖經提醒我們要做耶穌復活的見證人
[00:02:36.000 --> 00:02:44.000]  做耶穌的見證人和在法庭做見證人是不同的
