
[00:00:00.000 --> 00:00:05.400]  在馬代波斯帝國取替了巴比倫帝國之後
[00:00:05.400 --> 00:00:09.740]  在波斯帝國接管巴比倫之後
[00:00:09.740 --> 00:00:14.600]  有一天 但義里在《耶利米書》裏面看到整個說話
[00:00:14.600 --> 00:00:18.620]  有一天 但義里從《耶利米書》上看到神的話
[00:00:18.620 --> 00:00:19.820]  那耶利米是誰呢?
[00:00:19.820 --> 00:00:20.860]  耶利米是誰呢?
[00:00:20.860 --> 00:00:24.220]  耶利米是但義里同期的一個先知
[00:00:24.220 --> 00:00:26.820]  耶利米是但義里同期的一位先知
[00:00:26.820 --> 00:00:29.420]  當但義里被擄到巴比倫的時候
[00:00:29.420 --> 00:00:33.560]  耶利米就在耶路撒冷留在那裏做先知
[00:00:33.560 --> 00:00:37.860]  當但義里被擄到巴比倫的時候
[00:00:37.860 --> 00:00:40.820]  耶利米留在耶路撒冷做先知
[00:00:40.820 --> 00:00:42.820]  那耶利米就宣講神的說話
[00:00:42.820 --> 00:00:44.220]  耶利米宣講神的說話
[00:00:44.220 --> 00:00:45.020]  那他說什麼呢?
[00:00:45.020 --> 00:00:46.220]  他說什麼呢?
[00:00:46.220 --> 00:00:48.020]  耶和華曾經這樣說
[00:00:48.020 --> 00:00:49.620]  他說耶和華如此說
[00:00:49.620 --> 00:00:53.820]  當以色列人被擄到巴比倫七十年之後
[00:00:53.820 --> 00:00:56.820]  當以色列人被擄到巴比倫七十年以後
[00:00:56.820 --> 00:01:01.420]  他們就會回到耶路撒冷
[00:01:01.420 --> 00:01:04.020]  他們就會回到耶路撒冷
[00:01:04.020 --> 00:01:08.620]  我們知道但義里是第一批被擄到巴比倫的人
[00:01:08.620 --> 00:01:11.420]  我們知道但義里是第一批被擄到巴比倫的人
[00:01:11.420 --> 00:01:14.220]  而第一批被擄發生在主前的605年
[00:01:14.220 --> 00:01:18.420]  第一批被擄發生在主前的605年
[00:01:18.420 --> 00:01:20.220]  而但義里寫這一番書
[00:01:20.220 --> 00:01:24.420]  第九章就是在大利烏王元年的時候
[00:01:24.420 --> 00:01:28.620]  因為耶利米說這番話的時候是大利烏王元年的時候
[00:01:28.620 --> 00:01:31.220]  當時是主前的538年
[00:01:31.220 --> 00:01:33.620]  當時是主前的538年
[00:01:33.620 --> 00:01:35.220]  所以如果我們計算的話
[00:01:35.220 --> 00:01:36.620]  所以我們計算的話
[00:01:36.620 --> 00:01:40.820]  當時的但義里已經被擄到巴比倫六十七年
[00:01:40.820 --> 00:01:44.220]  當時的但義里被擄到巴比倫已經六十七年
[00:01:44.220 --> 00:01:47.820]  就是說還有三年他們就可以回到耶路撒冷
[00:01:47.820 --> 00:01:50.020]  就是說還有三年他們就可以回歸
[00:01:50.020 --> 00:01:51.820]  我想問大家
[00:01:51.820 --> 00:01:52.620]  我想問問大家
[00:01:52.620 --> 00:01:54.020]  如果你是但義里
[00:01:54.020 --> 00:01:55.820]  如果你是但義里
[00:01:55.820 --> 00:01:57.220]  在那裡六十多年
[00:01:57.220 --> 00:02:00.820]  現在還有幾年就可以回到自己的家鄉
[00:02:00.820 --> 00:02:04.220]  被擄六十多年還剩幾年就可以回歸家鄉了
[00:02:04.220 --> 00:02:05.420]  你會做些什麼
[00:02:05.420 --> 00:02:06.820]  你會做什麼
[00:02:06.820 --> 00:02:08.620]  我想如果我是但義里的話
[00:02:08.620 --> 00:02:10.220]  我想如果我是但義里的話
[00:02:10.220 --> 00:02:15.820]  我大概就是將這個好的消息告訴其他人
[00:02:15.820 --> 00:02:19.020]  我大概會將這個好的消息傳給別人
[00:02:19.020 --> 00:02:21.020]  那你就叫他們準備回家
[00:02:21.020 --> 00:02:23.220]  然後叫他們說好好準備準備回去了
[00:02:23.220 --> 00:02:26.620]  又或者如果有錢的話就弄一個私人慶祝會
[00:02:26.620 --> 00:02:29.820]  如果有錢的話就會做一個私人的派對
