
[00:00:00.000 --> 00:00:06.000]  在前兩期的時代論壇裏面提到一位弟兄
[00:00:06.000 --> 00:00:11.000]  說到這裏是溫雅樂隊成員陳友
[00:00:11.000 --> 00:00:16.000]  他在兩年前因為太太經歷病患
[00:00:16.000 --> 00:00:21.000]  相信得到上帝的醫治而去信主
[00:00:21.000 --> 00:00:26.000]  他早前出席一個報道會來分享
[00:00:26.000 --> 00:00:28.000]  陳友在報道會裏面
[00:00:28.000 --> 00:00:34.000]  他說他因為長期在國內工作
[00:00:34.000 --> 00:00:37.000]  與太太聚少離多
[00:00:37.000 --> 00:00:42.000]  去年決定回香港陪太太
[00:00:42.000 --> 00:00:45.000]  希望更多時間相聚
[00:00:45.000 --> 00:00:48.000]  太太卻忽然患上重病
[00:00:48.000 --> 00:00:51.000]  隨著時間過去
[00:00:51.000 --> 00:00:54.000]  病情更有惡化的趨勢
[00:00:54.000 --> 00:00:59.000]  連最好的醫生都認為他活不了幾個月
[00:00:59.000 --> 00:01:04.000]  此時他受到兒子的提點
[00:01:04.000 --> 00:01:08.000]  尋求可以跟上面溝通的人
[00:01:08.000 --> 00:01:14.000]  他立即聯絡基督徒歌手蔣麗萍
[00:01:14.000 --> 00:01:18.000]  蔣麗萍不單止邀請一些姐妹們
[00:01:18.000 --> 00:01:22.000]  去到他太太跟他禱告
[00:01:22.000 --> 00:01:31.000]  也同樣邀請陳友一起來誠心祈禱
[00:01:31.000 --> 00:01:35.000]  他憑著以往所學習的向主求
[00:01:35.000 --> 00:01:39.000]  陳友說:「主啊,我得罪了祢
[00:01:39.000 --> 00:01:43.000]  求祢赦免我,求祢醫治我太太
[00:01:43.000 --> 00:01:48.000]  讓我有更多的時間可以陪著她
[00:01:48.000 --> 00:01:53.000]  好好補償過往失去的日子」
[00:01:53.000 --> 00:01:58.000]  他更加立願只要太太病情好轉
[00:01:58.000 --> 00:02:01.000]  就會接受救恩
[00:02:01.000 --> 00:02:06.000]  並向其他朋友傳揚他奇妙的作為
[00:02:06.000 --> 00:02:11.000]  幾天後,醫生竟然告訴他診斷錯誤
[00:02:11.000 --> 00:02:15.000]  太太的病情不是不能醫治
[00:02:15.000 --> 00:02:19.000]  更奇妙地安排了最好的醫護人員
[00:02:19.000 --> 00:02:23.000]  和藥物治好了他太太
[00:02:23.000 --> 00:02:29.000]  讓他們一家人經歷上帝偉大的作為
[00:02:29.000 --> 00:02:37.000]  由此陳友相信和接受了耶穌成為他生命的主宰
[00:02:37.000 --> 00:02:41.000]  陳友說:「信主的年日雖然不長
[00:02:41.000 --> 00:02:45.000]  卻是很能夠經歷上主的大能
[00:02:45.000 --> 00:02:51.000]  以往他是憑著一己的力量去處理所有的問題
[00:02:51.000 --> 00:02:55.000]  如今思想的方面是改變了
[00:02:55.000 --> 00:02:58.000]  我發現自己的能力有限
[00:02:58.000 --> 00:03:01.000]  因此只能盡力而為
[00:03:01.000 --> 00:03:05.000]  將其他的交給上帝
[00:03:05.000 --> 00:03:10.000]  我放下執著,活得比以前開心
[00:03:10.000 --> 00:03:13.000]  也多了很多朋友
[00:03:13.000 --> 00:03:17.000]  事情也處理得比以前更好
[00:03:17.000 --> 00:03:21.000]  家庭關係也改善了」
[00:03:21.000 --> 00:03:24.000]  最後他表示
[00:03:24.000 --> 00:03:28.000]  「臣藉著太太病得幾乎死去的經歷
[00:03:28.000 --> 00:03:32.000]  催逼我,讓我信服神
[00:03:32.000 --> 00:03:37.000]  如今我的錫心已經變成玉心了」
[00:03:37.000 --> 00:03:45.000]  中華傳道會政機堂堂主任鄧仲明分享信息時
[00:03:45.000 --> 00:03:49.000]  引用《馬太福音》十六章夜六節說
[00:03:49.000 --> 00:03:53.000]  「人若賺得全世界賠上自己的生命
[00:03:53.000 --> 00:03:56.000]  有什麼益處呢?」
[00:03:56.000 --> 00:03:59.000]  他說陳友早年為了賺錢
[00:03:59.000 --> 00:04:03.000]  保持在粉絲面前的美好形象
[00:04:03.000 --> 00:04:08.000]  賠上了與太太兒子相處的時間
[00:04:08.000 --> 00:04:14.000]  更讓太太獨自經歷了移民的艱苦
[00:04:14.000 --> 00:04:17.000]  太太一直很希望陳友認識主
[00:04:17.000 --> 00:04:21.000]  更曾為他向上帝祈禱
[00:04:21.000 --> 00:04:24.000]  只要他能得救歸主
[00:04:24.000 --> 00:04:27.000]  他願意將生命獻上
[00:04:27.000 --> 00:04:30.000]  結果在太太患病時
[00:04:30.000 --> 00:04:38.000]  陳友終於覺醒到生命比金錢更加可貴
[00:04:38.000 --> 00:04:44.000]  在菲律賓書一章一至十一節的經文裡
[00:04:44.000 --> 00:04:49.000]  保羅向菲律賓弟兄姊妹問安感恩
[00:04:49.000 --> 00:04:52.000]  為著他們去禱告
[00:04:52.000 --> 00:04:59.000]  希望他們的愛心不斷跟著他們的知識
[00:04:59.000 --> 00:05:03.000]  和判斷力一起增長
[00:05:03.000 --> 00:05:08.000]  在一章十二至三十節的經文裡
[00:05:08.000 --> 00:05:14.000]  他向菲律賓教會告訴他們自己的一些現況
[00:05:14.000 --> 00:05:21.000]  他提到他的經歷對福音有進展、有幫助
[00:05:21.000 --> 00:05:26.000]  他說:「弟兄們,我願意你們知道
[00:05:26.000 --> 00:05:32.000]  我被囚的遭遇已經幫助了福音的進展
[00:05:32.000 --> 00:05:40.000]  結果團體的皇宮警衛隊和在這裡的所有人
[00:05:40.000 --> 00:05:46.000]  都知道我是因為基督的緣故被囚禁
[00:05:46.000 --> 00:05:54.000]  我坐牢卻令到很多弟兄姊妹對主有信心
[00:05:54.000 --> 00:06:02.000]  更加勇敢、毫無畏懼去傳揚神的信息
[00:06:02.000 --> 00:06:05.000]  保羅是受監禁
[00:06:05.000 --> 00:06:08.000]  不是因為他犯了什麼錯事
[00:06:08.000 --> 00:06:11.000]  或者是一個政治犯
[00:06:11.000 --> 00:06:15.000]  完全由於他是一位基督徒
[00:06:15.000 --> 00:06:20.000]  因為他很努力宣講基督
[00:06:20.000 --> 00:06:24.000]  而引致被抓、坐牢
[00:06:24.000 --> 00:06:31.000]  那些皇宮的警衛隊在保羅等候審訊的兩年間裡
[00:06:31.000 --> 00:06:34.000]  他們不斷和保羅有接觸
[00:06:34.000 --> 00:06:40.000]  也看到他怎樣去接待所有去探訪他的人
[00:06:40.000 --> 00:06:45.000]  並且放膽地傳講上帝的道
[00:06:45.000 --> 00:06:48.000]  教導有關主耶穌的事
[00:06:48.000 --> 00:06:56.000]  因此有關保羅這個特殊的囚犯的消息
[00:06:56.000 --> 00:07:03.000]  就在這些御刑的軍隊當中一直傳開去
[00:07:03.000 --> 00:07:07.000]  因著保羅在困所當中
[00:07:07.000 --> 00:07:13.000]  顯出他的勇氣、剛毅去傳揚神
[00:07:13.000 --> 00:07:18.000]  在困境當中看到神對他的保守
[00:07:18.000 --> 00:07:26.000]  成為了羅馬教會信徒一個很大的鼓勵和啟發
[00:07:26.000 --> 00:07:33.000]  令他們更加有勇氣、更加努力來傳揚主道
[00:07:33.000 --> 00:07:37.000]  保羅為著基督來生活
[00:07:37.000 --> 00:07:45.000]  第一方面他說因基督被傳開他就歡喜
[00:07:45.000 --> 00:07:49.000]  在15-18字的經文說道
[00:07:49.000 --> 00:07:56.000]  「有的傳基督是出於嫉妒紛爭也有的是出於好意
[00:07:56.000 --> 00:08:02.000]  這一等是出於愛心知道我是為辨明福音設立的
[00:08:02.000 --> 00:08:11.000]  那等傳基督是出於嫉妒並不誠實而是要加增我困所的苦楚
[00:08:11.000 --> 00:08:16.000]  這又何妨呢或是假意或是真心
[00:08:16.000 --> 00:08:20.000]  無論怎樣基督究竟被傳開了
[00:08:20.000 --> 00:08:26.000]  為此我就歡喜並且還要歡喜」
[00:08:26.000 --> 00:08:34.000]  有些信徒因為妒忌保羅的名聲和他的影響力
[00:08:34.000 --> 00:08:39.000]  他們傳基督為了要和保羅一較高下
[00:08:39.000 --> 00:08:46.000]  這樣的傳揚基督都是出自個人的私心
[00:08:46.000 --> 00:08:56.000]  但另一些人他們傳耶穌基督是出於好意、愛心
[00:08:56.000 --> 00:08:59.000]  是有神的引導
[00:08:59.000 --> 00:09:06.000]  說道他們對保羅的方工作是存著一個善意
