
[00:00:00.000 --> 00:00:04.340]  早期的教會是有很多的問題出現
[00:00:04.340 --> 00:00:09.140]  就是和我們現代的教會是沒有什麼差別
[00:00:09.140 --> 00:00:12.280]  《使徒行傳》的十五章、十六章
[00:00:12.280 --> 00:00:15.240]  早期的教會是面臨有很多的問題
[00:00:15.240 --> 00:00:20.080]  有內在的、有外在的、有方向的問題
[00:00:20.080 --> 00:00:24.080]  我們要向早期的教會學習
[00:00:24.080 --> 00:00:27.440]  處理這些不同的問題
[00:00:27.440 --> 00:00:29.940]  如果我們處理得好的時候
[00:00:29.940 --> 00:00:32.160]  這些危難、這些問題
[00:00:32.160 --> 00:00:37.800]  都會成為機會給教會成長
[00:00:37.800 --> 00:00:41.000]  早期的教會有什麼問題呢?
[00:00:41.000 --> 00:00:45.000]  第一就是有內部的問題
[00:00:45.000 --> 00:00:46.700]  內部的問題都可以
[00:00:46.700 --> 00:00:49.000]  有些是和真理有關
[00:00:49.000 --> 00:00:52.700]  有些問題是和真理無關
[00:00:52.700 --> 00:00:57.200]  我們先看看和真理有關的問題
[00:00:57.200 --> 00:00:59.760]  有一群律法主義的猶太人
[00:00:59.760 --> 00:01:01.900]  來安提我
[00:01:01.900 --> 00:01:03.560]  教導外邦人
[00:01:03.560 --> 00:01:05.100]  若果你要得救
[00:01:05.100 --> 00:01:08.900]  一定要先行摩西的割禮
[00:01:08.900 --> 00:01:12.700]  這些是耶路撒冷教會的會眾
[00:01:12.700 --> 00:01:17.260]  這些不是耶路撒冷教會派來的使者
[00:01:17.260 --> 00:01:21.460]  《使徒行傳》的十五章二十四節說得很清楚
[00:01:21.460 --> 00:01:25.260]  他們都是和法理賽人同聲同氣
[00:01:25.260 --> 00:01:28.800]  他們都是律法主義的人
[00:01:28.800 --> 00:01:29.800]  我們可以見到
[00:01:29.800 --> 00:01:32.760]  其實這群所謂的教師
[00:01:32.760 --> 00:01:35.260]  其實他們是假的信徒
[00:01:35.260 --> 00:01:37.800]  他們想剝削猶太人
[00:01:37.800 --> 00:01:41.540]  外邦人在主內的自由
[00:01:41.540 --> 00:01:44.200]  在主內的恩典
[00:01:44.200 --> 00:01:45.760]  說到這裡的時候
[00:01:45.760 --> 00:01:49.460]  我就很懷念「戰業姊妹」
[00:01:49.460 --> 00:01:50.760]  不是「戰業姊妹」
[00:01:50.760 --> 00:01:52.600]  我說她是法理賽人
[00:01:52.600 --> 00:01:55.900]  不是說她是那些律法主義
[00:01:55.900 --> 00:01:58.460]  但是「戰業姊妹」以前在這裡的時候
[00:01:58.460 --> 00:02:00.260]  他時時會提醒我們
[00:02:00.260 --> 00:02:04.000]  六十年代的教會是怎樣
[00:02:04.000 --> 00:02:04.760]  他說
[00:02:04.760 --> 00:02:06.960]  人人的衣著都要很整齊
[00:02:06.960 --> 00:02:08.500]  要穿得很漂亮
[00:02:08.500 --> 00:02:12.400]  女生的裙子不可以短過膝蓋
[00:02:12.400 --> 00:02:16.100]  男生的頭髮不可以到領子那裡
[00:02:16.100 --> 00:02:19.360]  不准吸煙、不准喝酒、不准賭錢
