
[00:00:00.000 --> 00:00:04.320]  今天我們分享的題目是領受神的應許
[00:00:04.320 --> 00:00:09.720]  我不知道大家有沒有試過當你聽到一些很棒的東西的時候
[00:00:09.720 --> 00:00:13.000]  自己心動很想去試的
[00:00:13.000 --> 00:00:16.400]  大家應該最近常常都會發生的一個話題
[00:00:16.400 --> 00:00:19.920]  就是聽見別人北上去哪裏玩
[00:00:19.920 --> 00:00:22.320]  於是你聽到別人北上去哪裏玩
[00:00:22.320 --> 00:00:24.120]  北上去哪裏喫
[00:00:24.120 --> 00:00:25.920]  我聽到有些人指着他
[00:00:25.920 --> 00:00:28.120]  他經常北上那裏玩 去那裏喫
[00:00:28.120 --> 00:00:34.120]  你聽到的時候你都心動很想去試一下那些美食
[00:00:34.120 --> 00:00:36.800]  最近我就和一個叔叔聊天
[00:00:36.800 --> 00:00:38.260]  他就跟我說
[00:00:38.260 --> 00:00:41.520]  珍娜聽說你常常北上
[00:00:41.520 --> 00:00:42.720]  我又不是常常
[00:00:42.720 --> 00:00:46.320]  不過很多時候和弟兄之會都相約會北上的
[00:00:46.320 --> 00:00:47.720]  於是他就問我
[00:00:47.720 --> 00:00:50.320]  那你北上有什麼好喫的
[00:00:50.320 --> 00:00:52.320]  我想着大家談談聊聊天
[00:00:52.320 --> 00:00:54.820]  我就說這一間好像挺好
[00:00:54.820 --> 00:00:56.320]  那一間好像挺好
[00:00:56.320 --> 00:00:57.920]  然後他突然很認真
[00:00:57.920 --> 00:00:59.120]  他說 等一下 等一下 等一下
[00:00:59.120 --> 00:01:00.120]  我說做什麼
[00:01:00.120 --> 00:01:02.120]  我要拿個手機出來
[00:01:02.120 --> 00:01:04.120]  逐個你說的寫下來
[00:01:04.120 --> 00:01:07.320]  我說哇 用不着這麼認真
[00:01:07.320 --> 00:01:09.120]  但是他真的寫下來之後
[00:01:09.120 --> 00:01:10.920]  他又真的去喫
[00:01:10.920 --> 00:01:12.520]  喫完之後他又會寫下來
[00:01:12.520 --> 00:01:14.520]  哇 上次聽你說完
[00:01:14.520 --> 00:01:17.320]  試完之後原來真的很棒
[00:01:17.320 --> 00:01:19.720]  我不知道你們有沒有這樣的經歷
[00:01:19.720 --> 00:01:22.720]  最近我就有一個調轉的經歷
[00:01:22.720 --> 00:01:26.320]  就是我和我爸爸一起去了潮汕旅行
[00:01:26.320 --> 00:01:28.720]  很感恩 因爲其實我十幾年
[00:01:28.720 --> 00:01:32.320]  沒試過這樣和爸爸家人和朋友一起去旅行
[00:01:32.320 --> 00:01:36.720]  我就擺了一幅我從全家去了潮汕的照片
[00:01:36.720 --> 00:01:39.320]  這次就輪到不是我告訴別人了
[00:01:39.320 --> 00:01:40.920]  而是弟兄之會告訴我
[00:01:40.920 --> 00:01:43.120]  哇 你去潮汕一定要喫什麼
[00:01:43.120 --> 00:01:43.720]  牛肉
[00:01:43.720 --> 00:01:45.520]  哇 大家都知道了
[00:01:45.520 --> 00:01:48.120]  去潮汕一定要喫牛肉的
[00:01:48.120 --> 00:01:50.920]  於是 然後我另一個就說
[00:01:50.920 --> 00:01:52.320]  不單止喫牛肉
[00:01:52.320 --> 00:01:54.720]  還一定要喫牛丸
[00:01:54.720 --> 00:01:56.520]  那我就心動的很想喫
[00:01:56.520 --> 00:01:58.720]  但是因爲我們這次是跟團的
[00:01:58.720 --> 00:02:00.720]  那我就去了兩天
[00:02:00.720 --> 00:02:03.920]  都沒有機會喫這個潮汕牛肉和牛丸
[00:02:03.920 --> 00:02:04.920]  於是我就想了
[00:02:04.920 --> 00:02:07.320]  究竟有沒有得喫的
[00:02:07.320 --> 00:02:08.520]  那怎知道很感恩
[00:02:08.520 --> 00:02:09.720]  最後那天我就說
[00:02:09.720 --> 00:02:11.120]  我們今天走之前
[00:02:11.120 --> 00:02:14.720]  就帶你們去喫潮汕牛肉和牛丸
[00:02:14.720 --> 00:02:17.120]  那我就帶了我們去一間餐廳
[00:02:17.120 --> 00:02:19.920]  我真的第一次見到桌上
[00:02:19.920 --> 00:02:22.320]  可以有這麼多不同的牛肉
[00:02:22.320 --> 00:02:24.120]  其實我已經不記得起有什麼不同的牛肉
[00:02:24.120 --> 00:02:25.320]  總之這碟又有一個名
[00:02:25.320 --> 00:02:26.520]  那碟又有一個名
[00:02:26.520 --> 00:02:27.320]  總之不要理了
[00:02:27.320 --> 00:02:28.920]  有牛肉就喫吧
[00:02:28.920 --> 00:02:29.720]  我又沒試過
[00:02:29.720 --> 00:02:30.520]  有一張桌子裏面
[00:02:30.520 --> 00:02:33.320]  有這麼多不同種類的牛丸
[00:02:33.320 --> 00:02:35.120]  於是我們就喫啊
[00:02:35.120 --> 00:02:35.720]  喫啊
[00:02:35.720 --> 00:02:36.720]  那我就很開心
[00:02:36.720 --> 00:02:38.120]  去廁所的時候
[00:02:38.120 --> 00:02:40.720]  我牀上的導遊就問
[00:02:40.720 --> 00:02:41.720]  喂 梁先生
[00:02:41.720 --> 00:02:43.120]  你會不會今天這一餐
[00:02:43.120 --> 00:02:45.120]  人均多少錢啊
[00:02:45.120 --> 00:02:47.520]  哇 喫這麼多東西
[00:02:47.520 --> 00:02:49.720]  那我就想一條估高一點點
[00:02:49.720 --> 00:02:51.720]  150元需要嗎
[00:02:51.720 --> 00:02:53.920]  他說90多元一個人而已
[00:02:53.920 --> 00:02:54.920]  100都不用
[00:02:54.920 --> 00:02:57.520]  我就說這麼划算
[00:02:57.520 --> 00:02:59.520]  很多時候我們聽到一些好東西
[00:02:59.520 --> 00:03:02.120]  我們試完我們都覺得很棒
[00:03:02.120 --> 00:03:04.920]  但我不知道我們的信仰生命
[00:03:04.920 --> 00:03:06.520]  你有沒有這樣的經歷
[00:03:06.520 --> 00:03:07.920]  哇 你聽到旁邊那個說
[00:03:07.920 --> 00:03:09.720]  信耶穌很棒啊
[00:03:09.720 --> 00:03:10.920]  於是你就想
[00:03:10.920 --> 00:03:13.720]  信耶穌是不是真的這麼棒啊
[00:03:13.720 --> 00:03:16.520]  我又可不可以經歷這種這麼棒啊
[00:03:16.520 --> 00:03:19.120]  然後你又聽到那個人說見證
[00:03:19.120 --> 00:03:21.120]  哇 他說見證很棒啊
[00:03:21.120 --> 00:03:22.520]  他這樣的經歷神啊
[00:03:22.520 --> 00:03:23.520]  於是你就問
[00:03:23.520 --> 00:03:25.720]  我是可不可以這樣經歷神啊
[00:03:25.720 --> 00:03:29.720]  我最近就見一位新入組的弟兄
[00:03:29.720 --> 00:03:31.120]  我其實就問他
[00:03:31.120 --> 00:03:33.120]  喂 你是怎麼來教會的
[00:03:33.120 --> 00:03:34.320]  他就說
[00:03:34.320 --> 00:03:37.320]  我有一個認識了幾十年的朋友
[00:03:37.320 --> 00:03:38.920]  認識了幾十年
[00:03:38.920 --> 00:03:41.520]  我沒見過他生命這樣改變
[00:03:41.520 --> 00:03:43.120]  他回來教會兩年
[00:03:43.120 --> 00:03:44.920]  他整個人不同了
[00:03:44.920 --> 00:03:46.720]  我不能夠相信他變成這樣
[00:03:46.720 --> 00:03:48.120]  於是我問他去了哪
[00:03:48.120 --> 00:03:49.720]  他說他去教會
[00:03:49.720 --> 00:03:51.320]  那我就問他去哪間
[00:03:51.320 --> 00:03:52.720]  他說他來了這間
[00:03:52.720 --> 00:03:53.720]  那我就來這兒
[00:03:53.720 --> 00:03:54.920]  他就信了耶穌了
[00:03:54.920 --> 00:03:56.320]  就是你聽到我們喫牛丸
[00:03:56.320 --> 00:03:57.320]  你就去那間是嗎
[00:03:57.320 --> 00:03:58.120]  聽到就聽到
[00:03:58.120 --> 00:03:59.920]  給點掌聲我們弟子們的生命啊
[00:03:59.920 --> 00:04:02.120]  好不好啊
[00:04:02.120 --> 00:04:03.720]  是啊 有時候我們聽到
[00:04:03.720 --> 00:04:05.120]  哇 那個人這麼棒 那個人這麼棒
[00:04:05.120 --> 00:04:07.120]  我都很想試啊
[00:04:07.120 --> 00:04:08.120]  但是有時候呢
[00:04:08.120 --> 00:04:10.320]  我又不知道你會不會有另一種想法了
[00:04:10.320 --> 00:04:12.720]  就是哇 他說信耶穌這麼棒
[00:04:12.720 --> 00:04:15.120]  爲什麼好像我沒這麼棒呢
[00:04:15.120 --> 00:04:18.120]  哇 那個人說見證的生命又這麼豐富
[00:04:18.120 --> 00:04:20.520]  爲什麼好像我又沒這麼豐富呢
[00:04:20.520 --> 00:04:23.120]  今天我們會一起去看《列王記》下
[00:04:23.120 --> 00:04:24.720]  六章至到七章
[00:04:24.720 --> 00:04:27.720]  一段以色列被圍困的經文
[00:04:27.720 --> 00:04:30.920]  在裏面我們一起學三個功課
[00:04:30.920 --> 00:04:32.120]  有時候我們想
[00:04:32.120 --> 00:04:35.520]  我們怎麼才能夠去真正領受神的英許呢
