
[00:00:00.000 --> 00:00:09.000]  很久以前,1775年,美國有一個政治家和演說家,
[00:00:09.000 --> 00:00:15.000]  他的名字叫做帕德烈亨利(Patrick Henry)
[00:00:15.000 --> 00:00:18.000]  這個人可能你的名字你不太認得他,
[00:00:18.000 --> 00:00:25.000]  不過他說過一句話,其實之後就成為了不同國家的格言,
[00:00:25.000 --> 00:00:30.000]  甚至把他放到他的國歌裏面,
[00:00:30.000 --> 00:00:35.000]  還有在爭取國家民族獨立革命的時候,
[00:00:35.000 --> 00:00:42.000]  就經常都會引述的,無論是美洲,歐洲,亞洲,都是這樣的。
[00:00:42.000 --> 00:00:48.000]  所以我說這句話你一定聽過,這句話是這樣說的,
[00:00:48.000 --> 00:00:53.000]  「不自由」是甚麼呢?「無寧死」是吧?
[00:00:53.000 --> 00:00:59.000]  正因為這麼多人覺得自由這麼重要,
[00:00:59.000 --> 00:01:06.000]  所以現在很多人都把他提升成為普世價值,
[00:01:06.000 --> 00:01:09.000]  都覺得大家都是認同的了,
[00:01:09.000 --> 00:01:15.000]  不過如果我們再想深一層,如果自由真的這麼重要,
[00:01:15.000 --> 00:01:24.000]  那我們會不會覺得未曾在裏面得到自由,同樣是這麼重要呢?
[00:01:24.000 --> 00:01:26.000]  就是說我改一改這句話,
[00:01:26.000 --> 00:01:31.000]  「不從罪裏面得到自由,就無寧死」,
[00:01:31.000 --> 00:01:34.000]  哇,嚴重啊,是吧?
[00:01:34.000 --> 00:01:42.000]  唉,隨便吧,能夠在罪裏面得著,釋放,有自由,都是好的,
[00:01:42.000 --> 00:01:48.000]  不過就算不行,算了,任由它吧。
[00:01:48.000 --> 00:01:52.000]  這是不是我們今天這樣的想法呢?
[00:01:52.000 --> 00:01:54.000]  今天我和大家要分享的經文
[00:01:54.000 --> 00:01:59.000]  在《提摩太前書》第1章12-17節,
[00:01:59.000 --> 00:02:06.000]  容讓我們先想一下保羅他自己對於救恩的體會,
[00:02:06.000 --> 00:02:08.000]  究竟給了我們甚麼提醒?
[00:02:08.000 --> 00:02:12.000]  我們一起讀一讀這幾節聖經,預備起!
[00:02:12.000 --> 00:02:17.000]  我感謝那給我力量的,我們主基督耶穌,
[00:02:17.000 --> 00:02:21.000]  因他以我有忠心,派我服侍他。
[00:02:21.000 --> 00:02:27.000]  我從前是褻瀆神的,逼百人的,武萬人的,
[00:02:27.000 --> 00:02:34.000]  然而我還夢了憐憫,因我是不信不明白的時候而造的,
[00:02:34.000 --> 00:02:43.000]  並且我主的恩是格外豐盛,使我在基督耶穌裏有信心和愛心。
[00:02:43.000 --> 00:02:47.000]  基督耶穌降世,為要拯救罪人,
[00:02:47.000 --> 00:02:54.000]  這話是可信的,是十分可佩服的,在罪人中,我是個罪魁。
[00:02:54.000 --> 00:03:01.000]  然而我夢了憐憫,是因耶穌基督要在我這罪魁身上
[00:03:01.000 --> 00:03:08.000]  顯明他一切的忍耐,給後來信他得永生的人作榜樣。
[00:03:08.000 --> 00:03:16.000]  但願尊貴榮耀歸於那不能扭壞,不能看見,永世的君王,
[00:03:16.000 --> 00:03:20.000]  獨一的神,直到永永遠遠,阿們。
[00:03:20.000 --> 00:03:25.000]  經文在第十二節這樣說:
[00:03:25.000 --> 00:03:30.000]  我感謝那給我力量的,我們主基督耶穌,
[00:03:30.000 --> 00:03:35.000]  因他以我有忠心,派我服侍他。
[00:03:35.000 --> 00:03:40.000]  保羅一輩子都去不同的地方傳福音,去建立教會,
[00:03:40.000 --> 00:03:48.000]  但整個過程不斷都被人質疑他的身份。
[00:03:48.000 --> 00:03:56.000]  所以除了幾個星期前,徐先生和我們分享《提摩太前書》一章一節,
[00:03:56.000 --> 00:04:03.000]  他講到很鄭重提出自己服侍的慰份。
[00:04:03.000 --> 00:04:08.000]  他說他自己是基督耶穌的使徒之外,
[00:04:08.000 --> 00:04:13.000]  來到第十二節這裏,他又再一次強調,
