
[00:00:00.000 --> 00:00:02.000]  耶穌多謝你
[00:00:02.000 --> 00:00:05.000]  因為你所給我們的愛
[00:00:05.000 --> 00:00:08.000]  是一份很偉大的愛
[00:00:08.000 --> 00:00:11.000]  是一份很豐富的愛
[00:00:11.000 --> 00:00:15.000]  主,我求祢讓我們在祢的愛裡面
[00:00:15.000 --> 00:00:18.000]  主,祢不斷地更新我們的心思意念
[00:00:18.000 --> 00:00:21.000]  祢不斷更新我們對祢的認識
[00:00:21.000 --> 00:00:26.000]  和不斷地更新我們能夠認識祢的心意
[00:00:26.000 --> 00:00:28.000]  主,有時我們對祢的心意我們不了解
[00:00:28.000 --> 00:00:30.000]  我們不明白
[00:00:30.000 --> 00:00:32.000]  神,求祢讓我們在祢的愛裡面
[00:00:32.000 --> 00:00:35.000]  領受更多祢的心意
[00:00:35.000 --> 00:00:38.000]  祢的心意必定是一個愛的心意
[00:00:38.000 --> 00:00:39.000]  求祢恩代我們
[00:00:39.000 --> 00:00:40.000]  祝福我們
[00:00:40.000 --> 00:00:41.000]  帶領我們以下的時間
[00:00:41.000 --> 00:00:43.000]  聽我們祈禱奉耶穌基督的聖名
[00:00:43.000 --> 00:00:44.000]  Amen
[00:00:44.000 --> 00:00:45.000]  請坐
[00:00:54.000 --> 00:00:58.000]  好,今天跟大家分享的題目是
[00:00:58.000 --> 00:01:01.000]  「發揮神所給你的恩賜」
[00:01:01.000 --> 00:01:04.000]  基本上都是剛才說的三個問題
[00:01:04.000 --> 00:01:09.000]  我有三點很想回應一下
[00:01:09.000 --> 00:01:12.000]  三個問題是什麼呢?
[00:01:12.000 --> 00:01:15.000]  我有沒有恩賜呢?
[00:01:15.000 --> 00:01:21.000]  我有什麼恩賜呢?
[00:01:21.000 --> 00:01:23.000]  還有最吊詭的例子
[00:01:23.000 --> 00:01:27.000]  為什麼我沒有其他人有那些恩賜呢?
[00:01:27.000 --> 00:01:29.000]  我就很想用這三個問題
[00:01:29.000 --> 00:01:31.000]  跟大家分享三點
[00:01:31.000 --> 00:01:33.000]  那三點是什麼呢?
[00:01:33.000 --> 00:01:37.000]  第一,恩賜是神給我們的禮物
[00:01:37.000 --> 00:01:41.000]  而且是已經給了我們
[00:01:41.000 --> 00:01:46.000]  第二,恩賜是要祝福人的
[00:01:46.000 --> 00:01:50.000]  祝福我們自己和祝福其他的人
[00:01:50.000 --> 00:01:53.000]  第三,不知道大家有沒有想過
[00:01:53.000 --> 00:01:58.000]  恩賜是要配合地使用
[00:01:58.000 --> 00:02:00.000]  配合地使用的恩賜
[00:02:00.000 --> 00:02:03.000]  可以帶來更大的祝福
[00:02:03.000 --> 00:02:06.000]  我們分別看這三段經文
[00:02:06.000 --> 00:02:08.000]  哥倫多田書十二章一到十二節
[00:02:08.000 --> 00:02:11.000]  先讀一到三節,好嗎?
[00:02:11.000 --> 00:02:12.000]  預備,一二三
[00:02:12.000 --> 00:02:15.000]  弟兄們,論到屬靈的恩賜
[00:02:15.000 --> 00:02:18.000]  我不希望你們不知道
[00:02:18.000 --> 00:02:22.000]  你們知道,你們還是外族人的時候
[00:02:22.000 --> 00:02:26.000]  往往遭受迷惑,被引入歧途
[00:02:26.000 --> 00:02:30.000]  去拜那些不能說話的偶像
[00:02:30.000 --> 00:02:32.000]  所以我要讓你們知道
[00:02:32.000 --> 00:02:35.000]  被神的靈感動而說話的
[00:02:35.000 --> 00:02:40.000]  沒有一個會說:耶穌該受救助
[00:02:40.000 --> 00:02:43.000]  若不是被聖靈感動
[00:02:43.000 --> 00:02:48.000]  也沒有一個能說:耶穌是主
