
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹,早晨
[00:00:02.000 --> 00:00:06.000]  今天是一年一度的盛事
[00:00:06.000 --> 00:00:07.000]  知不知道什麼盛事?
[00:00:07.000 --> 00:00:09.000]  就是渣打馬拉松
[00:00:09.000 --> 00:00:11.000]  我想問問在在有沒有頂姐妹
[00:00:11.000 --> 00:00:14.000]  今早一早已經參與了這個盛事呢?
[00:00:14.000 --> 00:00:16.000]  舉舉手好不好?
[00:00:16.000 --> 00:00:18.000]  都有一些的頂姐妹
[00:00:18.000 --> 00:00:21.000]  我相信如果你參加開馬拉松的話
[00:00:21.000 --> 00:00:24.000]  每一年,其實在去年的時候
[00:00:24.000 --> 00:00:28.000]  你已經開始去到為自己有一些的目標了
[00:00:28.000 --> 00:00:30.000]  你不會是臨跑之前一個星期
[00:00:30.000 --> 00:00:32.000]  你才來練習的
[00:00:32.000 --> 00:00:35.000]  你一定會去到去預備
[00:00:35.000 --> 00:00:40.000]  怎樣來去到在今年或者在今天裡面
[00:00:40.000 --> 00:00:43.000]  比去年跑得更快
[00:00:43.000 --> 00:00:46.000]  同樣在過去一個月裡面
[00:00:46.000 --> 00:00:50.000]  其實我們已經大大話話經歷了兩個的新年
[00:00:50.000 --> 00:00:55.000]  我不知道你在剛剛這一年的開始裡面
[00:00:55.000 --> 00:00:59.000]  你有沒有去為自己訂立一些的目標、方向
[00:00:59.000 --> 00:01:02.000]  特別在你的屬靈生命裡面
[00:01:02.000 --> 00:01:04.000]  我想我們都會盼望
[00:01:04.000 --> 00:01:08.000]  我們會能夠有更生和突破
[00:01:08.000 --> 00:01:13.000]  很希望今年能夠比去年更加去到經歷神
[00:01:13.000 --> 00:01:17.000]  猶太人有一個迎接猶太歷新年的習俗
[00:01:17.000 --> 00:01:20.000]  我也覺得很值得我們去參考
[00:01:20.000 --> 00:01:23.000]  他們很重視除舊
[00:01:23.000 --> 00:01:27.000]  說的不是環境的潔淨
[00:01:27.000 --> 00:01:30.000]  而是說自己內心的潔淨
[00:01:30.000 --> 00:01:35.000]  在新年期間猶太人會很嚴肅地去到有一個內省的禱告
[00:01:35.000 --> 00:01:39.000]  去思想過去一年他們的生命
[00:01:39.000 --> 00:01:42.000]  一些成功或者失敗的經歷
[00:01:42.000 --> 00:01:45.000]  在家庭的宴會或者在會堂的崇拜裡面
[00:01:45.000 --> 00:01:49.000]  他們都會去中讀一些特別的禱文或者經文
[00:01:49.000 --> 00:01:53.000]  去思想上帝的權能
[00:01:53.000 --> 00:01:55.000]  特別他們都會去到上帝的面前
[00:01:55.000 --> 00:02:01.000]  再一次去承認自己的過犯、認罪、悔改
[00:02:01.000 --> 00:02:05.000]  求神去到赦免和饒恕
[00:02:05.000 --> 00:02:09.000]  一直持續若干的日子
[00:02:09.000 --> 00:02:15.000]  所以雖然今天距離大年初一已經過了十五天
[00:02:15.000 --> 00:02:19.000]  但我仍然盼望聖靈能夠透過詩篇第八十一篇
[00:02:19.000 --> 00:02:22.000]  幫助我們這一班天路客
[00:02:22.000 --> 00:02:27.000]  我們在屬靈的生命裡面有一個大掃除
[00:02:27.000 --> 00:02:29.000]  在新的一年的裡面
[00:02:29.000 --> 00:02:34.000]  我們能夠識主更深、愛主更切
[00:02:34.000 --> 00:02:40.000]  詩篇八十一篇其實就是一首慶祝節日的讚美詩
[00:02:40.000 --> 00:02:45.000]  詩人一開頭的時候就呼籲百姓一起來去到讚美神
[00:02:45.000 --> 00:02:49.000]  這個慶祝是出於上帝的吩咐
[00:02:49.000 --> 00:02:52.000]  在後半段更加以上帝的角度
[00:02:52.000 --> 00:02:58.000]  去描寫神對以色列民的拯救和大能
[00:02:58.000 --> 00:03:02.000]  提醒以色列民要聽從上帝的吩咐
[00:03:02.000 --> 00:03:07.000]  以致他們能夠得著拯救和保護
[00:03:07.000 --> 00:03:11.000]  讓我們一起翻開聖經詩篇第八十一篇
[00:03:11.000 --> 00:03:16.000]  記載在舊約的聖經第七百五十九頁
[00:03:16.000 --> 00:03:19.000]  當你翻開的時候就不要蓋上
[00:03:19.000 --> 00:03:25.000]  我們會一起去看第一到第十六節
[00:03:25.000 --> 00:03:27.000]  詩篇第八十一篇
[00:03:27.000 --> 00:03:31.000]  請我們一起同聲讀出第一到第四節
[00:03:31.000 --> 00:03:37.000]  你們當向神我們的力量大聲歡呼
[00:03:37.000 --> 00:03:40.000]  向雅各的神發聲歡樂
[00:03:40.000 --> 00:03:45.000]  唱起詩歌、打手鼓、彈美琴與瑟
[00:03:45.000 --> 00:03:48.000]  當在越索並越忙
[00:03:48.000 --> 00:03:51.000]  我們過節的日期催國
[00:03:51.000 --> 00:03:55.000]  因這是為以色列定的律例
[00:03:55.000 --> 00:03:58.000]  是雅各神的典章
[00:03:58.000 --> 00:04:00.000]  詩人以祭司的身份
[00:04:00.000 --> 00:04:03.000]  來呼召以色列人前來守節
[00:04:03.000 --> 00:04:07.000]  在這裡提到當在過節的日期催國
[00:04:07.000 --> 00:04:11.000]  這個節日是從越索開始
[00:04:11.000 --> 00:04:13.000]  如果看回猶太的年曆
[00:04:13.000 --> 00:04:16.000]  是指他們的七月一日
[00:04:16.000 --> 00:04:20.000]  正正對應我們大概是九月中的時候
[00:04:20.000 --> 00:04:23.000]  從催國引進的所有活動
[00:04:23.000 --> 00:04:28.000]  月望是指他們的七月十五日
[00:04:28.000 --> 00:04:33.000]  這一段時間正正就是猶太人過年的時候
[00:04:33.000 --> 00:04:36.000]  有學者認為他們所慶祝的節期
[00:04:36.000 --> 00:04:38.000]  應該是鑄盤節
[00:04:38.000 --> 00:04:41.000]  因為正正是秋天的節期
[00:04:41.000 --> 00:04:43.000]  是以催國日來開始
[00:04:43.000 --> 00:04:45.000]  接著就有贖罪日
[00:04:45.000 --> 00:04:47.000]  鑄盤節
[00:04:47.000 --> 00:04:51.000]  守節是為了紀念上帝和以色列民
[00:04:51.000 --> 00:04:54.000]  在出埃及時所立的文約
[00:04:54.000 --> 00:04:58.000]  當我們來看一場足球比賽的時候
[00:04:58.000 --> 00:05:01.000]  我們都會有我們喜歡的隊伍
[00:05:01.000 --> 00:05:03.000]  特別是世界盃的時候
[00:05:03.000 --> 00:05:05.000]  每個頂姐妹可能都有一隊
