
[00:00:00.000 --> 00:00:04.800]  大家好,我是拍手Jacky,聖誕快樂!
[00:00:04.800 --> 00:00:09.800]  未到啊,不過預祝,因為下星期我就應該不在這裡了,所以跟你們說一聲
[00:00:09.800 --> 00:00:14.900]  下星期你們就互相祝賀,聖誕快樂!
[00:00:14.900 --> 00:00:18.000]  我們
[00:00:18.000 --> 00:00:21.000]  開道神說,以前我們做過祈禱,好嗎?
[00:00:21.000 --> 00:00:22.800]  親愛的上帝,我們感謝你
[00:00:22.800 --> 00:00:26.500]  今天讓我們有機會可以一起在這裡敬拜你的時候
[00:00:26.500 --> 00:00:28.400]  讓我們都是同心合意
[00:00:28.400 --> 00:00:31.300]  讓我們敬拜不是一個單獨個人的敬拜
[00:00:31.300 --> 00:00:34.900]  因為上帝呼召我們進入這個群體的時候
[00:00:34.900 --> 00:00:41.300]  我們就一心一意地去讚美你自己
[00:00:41.300 --> 00:00:47.400]  父,讓我們在領受你話語的時候,求主你打開我們的心
[00:00:47.400 --> 00:00:50.800]  在這個聖誕佳節的時候,特別主啊
[00:00:50.800 --> 00:00:55.800]  讓我們配感的是耶穌基督你的臨在,那種的同在
[00:00:55.800 --> 00:00:59.600]  讓我們今天充滿你自己在我們的當中
[00:00:59.600 --> 00:01:03.300]  因為主啊,聖靈啊,我們沒有你在我們當中的時候
[00:01:03.300 --> 00:01:06.800]  我們不能作什麼,我們連敬拜你都不能夠
[00:01:06.800 --> 00:01:09.300]  但我們感謝你,你就充滿我們
[00:01:09.300 --> 00:01:11.800]  讓我們有著你的果子
[00:01:11.800 --> 00:01:15.600]  祈禱教託奉主命求,阿們
[00:01:15.600 --> 00:01:24.200]  好,今天就和大家分享一個聖誕節很熟悉的信息,叫以馬來尼
[00:01:24.200 --> 00:01:28.700]  在還沒說以馬來尼是什麼來之前
[00:01:28.700 --> 00:01:32.400]  大家覺得以馬來尼就是神義我們同在
[00:01:32.400 --> 00:01:36.200]  但當時其實是什麼意思呢?我們稍後會去探討
[00:01:36.200 --> 00:01:40.700]  但是在說以馬來尼之前,我們剛才看到的那個影片
[00:01:40.700 --> 00:01:47.500]  就是一整年,哇,我們教會五個分堂做了很多事情
[00:01:47.500 --> 00:01:52.600]  我想這個影片也是匯點歷史以來一個最長的影片
[00:01:52.600 --> 00:01:54.900]  在崇拜的時候
[00:01:54.900 --> 00:02:02.700]  當中有很多的回顧,是我們教會一些的點滴
[00:02:02.700 --> 00:02:08.200]  但是,過去今年,已經是過去十二個月了
[00:02:08.200 --> 00:02:12.100]  轉眼就年近歲晚
[00:02:12.100 --> 00:02:16.600]  到底在二零二二今年,你要回顧的
[00:02:16.600 --> 00:02:19.900]  在上帝面前是回顧什麼呢?
[00:02:19.900 --> 00:02:22.500]  我們先看看這個世界發生什麼事,好嗎?
[00:02:22.500 --> 00:02:24.900]  其實大家都知道的
[00:02:24.900 --> 00:02:29.000]  發生的是俄烏戰爭,今年一開始的時候
[00:02:29.000 --> 00:02:33.000]  哇,就影響了整個世界
[00:02:33.000 --> 00:02:36.300]  很多人因為這個戰爭受到影響
[00:02:36.300 --> 00:02:41.300]  不單止是那兩個國家,我們也會受到影響,間接地
[00:02:41.300 --> 00:02:49.400]  今年時代雜誌《時代雜誌》封了它的年度風雲人物
[00:02:49.400 --> 00:02:54.300]  有人知道是誰嗎?
[00:02:54.300 --> 00:02:57.700]  Person of the Year,就是那個司機
[00:02:57.700 --> 00:02:59.700]  就是那個雜年司機
[00:02:59.700 --> 00:03:05.400]  雜年司機就是被今年評為年度風雲人物
[00:03:05.400 --> 00:03:08.200]  做風雲人物是不容易的
[00:03:08.200 --> 00:03:13.800]  要經過很多的磨難,很多的掙扎
[00:03:13.800 --> 00:03:18.200]  很多的挑戰才可以做到這個風雲人物
[00:03:18.200 --> 00:03:23.700]  如果你問他今年過得怎麼樣,不知道他怎麼回答
[00:03:23.700 --> 00:03:30.500]  今年你會發覺有很多風雲人物,過去的風雲人物
[00:03:30.500 --> 00:03:33.500]  也都離開了
[00:03:33.500 --> 00:03:37.200]  英女皇,伊利七反二世
[00:03:37.200 --> 00:03:44.100]  前國家主席江澤民,也是雜,很雜
[00:03:44.100 --> 00:03:47.000]  這兩個人是有一個共同點的
[00:03:47.000 --> 00:03:49.500]  知道這個共同點是什麼嗎?
[00:03:49.500 --> 00:03:54.200]  很難想,是不是?一男一女,一個女皇,一個主席
[00:03:54.200 --> 00:03:58.500]  都是九十六歲,對,剛才也聽到
[00:03:58.500 --> 00:04:02.600]  但他們兩個都是九十六歲離開,九十六
[00:04:02.600 --> 00:04:06.300]  不單止這兩個風雲人物
[00:04:06.300 --> 00:04:13.600]  過去,你也知道,蘇聯的戈爾巴喬夫
[00:04:13.600 --> 00:04:18.000]  日本的安倍晉三,如此
[00:04:18.000 --> 00:04:21.600]  很多事情都很震撼,很多人離世
[00:04:21.600 --> 00:04:29.100]  讓大家都覺得,哇,為什麼前一代的領導人現在都走了
[00:04:29.100 --> 00:04:34.400]  不單止是這些風雲人物,國家領導
[00:04:34.400 --> 00:04:39.300]  很多天災也好,人禍也好,也都發生在今年,二零二二
[00:04:39.300 --> 00:04:46.200]  最出名,最震撼的就是這個,是不是?南韓的梨泰園
[00:04:46.200 --> 00:04:50.600]  踩踏事件,死了很多人
[00:04:50.600 --> 00:04:55.700]  很多很多令人覺得很惋惜的事,是不是?
[00:04:55.700 --> 00:04:58.200]  對你更加貼身的會是什麼?今年
[00:04:58.200 --> 00:05:02.300]  就是那些,不斷地在加息,是不是?
[00:05:02.300 --> 00:05:09.800]  那個FTX也破產了,FTX是虛擬貨幣市場交易所
[00:05:09.800 --> 00:05:13.500]  今年一開始就很快倒閉
[00:05:13.500 --> 00:05:17.800]  很多人的投資都在這裡蒸發了
[00:05:17.800 --> 00:05:19.500]  影響很大
[00:05:19.500 --> 00:05:22.300]  無論是人生經濟,是不是?
[00:05:22.300 --> 00:05:27.200]  我想今年唯一比較值得一提的
[00:05:27.200 --> 00:05:32.500]  這個sign,我打算播出來,不過現在不可以說了
[00:05:32.500 --> 00:05:36.200]  剛才弟兄說不要說result
[00:05:36.200 --> 00:05:38.200]  其實我昨天已經預測了result
[00:05:38.200 --> 00:05:42.400]  我今天是中了,但是這個sign,我skip了
[00:05:42.400 --> 00:05:46.600]  可能今年,你能夠比較,今年冬奧,冬奧運
[00:05:46.600 --> 00:05:53.000]  冬季奧運會,年頭,還有今天的world cup
[00:05:53.000 --> 00:05:55.300]  可能是令你有些開心
[00:05:55.300 --> 00:05:57.300]  當然我不知道你捧哪一隊,是不是?
[00:05:57.300 --> 00:06:00.300]  有人開心,就有人愁
[00:06:00.300 --> 00:06:03.900]  無論如何,今年你看過去這麼多
[00:06:03.900 --> 00:06:09.000]  這些事發生的時候,你會有些什麼感覺呢?
[00:06:09.000 --> 00:06:12.500]  其實都很無奈,有些悲哀
[00:06:12.500 --> 00:06:18.000]  就是2022就不容易過
[00:06:18.000 --> 00:06:23.500]  可能剛才我所說的,你都覺得沒有關係
[00:06:23.500 --> 00:06:29.500]  但其實你都仍然有很多的重擔,很多的前壘在你生命當中
[00:06:29.500 --> 00:06:34.200]  去到十二月的時候,你怎樣進入2023呢?
[00:06:34.200 --> 00:06:38.500]  有些什麼過去,真的能夠你拿著,走到2023
[00:06:38.500 --> 00:06:40.900]  是讓你繼續前進的呢?
[00:06:40.900 --> 00:06:43.600]  上帝給了你什麼呢?
[00:06:43.600 --> 00:06:48.500]  我作為一個牧師,你叫我去回顧2022
[00:06:48.500 --> 00:06:57.300]  我自己覺得都是在受浸當中,我見到每一個新的生命的誕生
[00:06:57.300 --> 00:07:01.300]  聖誕節就是一個新的生命的誕生
[00:07:01.300 --> 00:07:11.500]  無論今年如何,明年我們就在這個新生命開始進入2023
[00:07:11.500 --> 00:07:14.600]  今年受浸有很多人,其實都比起前兩年
[00:07:14.600 --> 00:07:17.100]  因為前兩年疫情
[00:07:17.100 --> 00:07:20.100]  今年開始我們多了弟兄姊妹受浸
[00:07:20.100 --> 00:07:28.700]  有無神論的弟兄,信耶穌,接受贈禮,有一個新的生命
[00:07:28.700 --> 00:07:31.300]  也有些信佛的,後來又歸信了耶穌
[00:07:31.300 --> 00:07:33.500]  他講了很多見證在當中
[00:07:33.500 --> 00:07:36.700]  他怎樣信耶穌,又有一個新的生命
