
[00:00:00.000 --> 00:00:02.000]  各位兩法堂的弟兄姊妹平安
[00:00:02.000 --> 00:00:06.000]  很高興在快六十週年慶典的時候
[00:00:06.000 --> 00:00:08.000]  跟大家分享上帝的說話
[00:00:08.000 --> 00:00:12.000]  林牧師告訴我
[00:00:12.000 --> 00:00:15.000]  大概這幾個星期大家會說什麼題目
[00:00:15.000 --> 00:00:19.000]  我就想究竟跟大家分享什麼好呢
[00:00:19.000 --> 00:00:23.000]  想著想著我就想到這段聖經
[00:00:23.000 --> 00:00:24.000]  跟大家分享一下
[00:00:24.000 --> 00:00:28.000]  題目就是「屬靈成長的秘訣」
[00:00:29.000 --> 00:00:31.000]  大家可能都會
[00:00:31.000 --> 00:00:33.000]  如果有小朋友
[00:00:33.000 --> 00:00:35.000]  可能小朋友都會學東西
[00:00:35.000 --> 00:00:39.000]  包括學什麼呢
[00:00:39.000 --> 00:00:41.000]  譬如學琴
[00:00:41.000 --> 00:00:44.000]  有些就開始學
[00:00:44.000 --> 00:00:46.000]  慢慢就越學越高級了
[00:00:46.000 --> 00:00:48.000]  甚至學到八級
[00:00:48.000 --> 00:00:50.000]  或者學其他樂器
[00:00:50.000 --> 00:00:51.000]  或者一種運動
[00:00:51.000 --> 00:00:54.000]  譬如學空手道就有不同段數
[00:00:54.000 --> 00:00:57.000]  最後可能希望
[00:00:57.000 --> 00:00:59.000]  最後拿到黑帶
[00:00:59.000 --> 00:01:01.000]  甚至做教練
[00:01:01.000 --> 00:01:06.000]  基督徒有沒有這些信仰成長的階梯呢
[00:01:06.000 --> 00:01:09.000]  有人就這樣形容
[00:01:09.000 --> 00:01:12.000]  一個人做基督徒的時候
[00:01:12.000 --> 00:01:14.000]  首先參加教會
[00:01:14.000 --> 00:01:16.000]  做的就叫做「教友」
[00:01:16.000 --> 00:01:20.000]  就是和教會做朋友
[00:01:20.000 --> 00:01:21.000]  做了教友
[00:01:21.000 --> 00:01:22.000]  只是回崇拜
[00:01:22.000 --> 00:01:24.000]  那他就做「信徒」了
[00:01:24.000 --> 00:01:26.000]  就是說他的信仰是強了的
[00:01:26.000 --> 00:01:28.000]  有這種信仰的關係
[00:01:28.000 --> 00:01:30.000]  不只是做了朋友
[00:01:30.000 --> 00:01:32.000]  好了,做了信徒或基督徒
[00:01:32.000 --> 00:01:35.000]  再深入一點就叫做「門徒」
[00:01:35.000 --> 00:01:38.000]  其實都有一個進展
[00:01:38.000 --> 00:01:43.000]  我不知道劉法堂有沒有舉行過門徒課程
[00:01:43.000 --> 00:01:47.000]  巡導委理會發展了一種叫門徒課程
[00:01:47.000 --> 00:01:49.000]  有不同階段的
[00:01:49.000 --> 00:01:50.000]  首先讀紅色
[00:01:50.000 --> 00:01:51.000]  讀完紅色就讀綠色
[00:01:51.000 --> 00:01:52.000]  讀完綠色就讀紫色
[00:01:52.000 --> 00:01:54.000]  讀完紫色就讀金色
[00:01:54.000 --> 00:01:57.000]  大概如果你讀完就要十年
[00:01:57.000 --> 00:02:00.000]  這個都是一個成長的一些階段
[00:02:00.000 --> 00:02:04.000]  聖經有沒有呢?
[00:02:04.000 --> 00:02:06.000]  今天就和大家讀了一段
[00:02:06.000 --> 00:02:09.000]  這段就是一個成長的一些階段
[00:02:09.000 --> 00:02:13.000]  你可以叫做八部曲
[00:02:13.000 --> 00:02:15.000]  首先就是信心
[00:02:15.000 --> 00:02:17.000]  信心之後就德行
[00:02:17.000 --> 00:02:18.000]  德行之後就智識
[00:02:18.000 --> 00:02:20.000]  智識之後就節制
[00:02:20.000 --> 00:02:21.000]  節制之後忍耐
[00:02:21.000 --> 00:02:22.000]  忍耐之後乾淨
[00:02:22.000 --> 00:02:23.000]  接著愛大興的心
[00:02:23.000 --> 00:02:25.000]  接著愛眾人的心
[00:02:25.000 --> 00:02:28.000]  一共就有八部
[00:02:28.000 --> 00:02:32.000]  那是不是我們的宿命成長
[00:02:32.000 --> 00:02:34.000]  就是會好像這裡那樣
[00:02:34.000 --> 00:02:36.000]  做做基督徒就會一樣加上一樣
[00:02:36.000 --> 00:02:38.000]  第二樣加上第三樣
[00:02:38.000 --> 00:02:40.000]  最後尾就去到第八樣
